Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | entity: Golang - none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。 
Fellaini Fellaini | w_freq: 12 - 9 | wiki_freq: 171 - 0 | sentence_idx: 930410 | align_1: 4-2 | align_2: 5-7 | entity: Fellaini - none |    If ( Marouane ) Fellaini gets through the session today , it 's more or less a full squad . ||| 如果 [Maraoune] Fellaini 今天 （ 周五 ） 参加 会议 ， 那 或多或少 是 一个 完整 的 阵容 。 

Smurfy Smurfy | w_freq: 1 - 1 | wiki_freq: 19 - 1 | sentence_idx: 939817 | align_1: 4-4 | align_2: 5-11 | entity: Smurfy - none |    " I 'm Too Smurfy " Right Said Fred 2:46 ||| 10 . I'm Too Smurfy （ 英语 ： I'm Too Sexy ） Right Said Fred （ 英语 ： Right Said Fred ） 2:46 

EC2 EC2 | w_freq: 18 - 17 | wiki_freq: 292 - 48 | sentence_idx: 942779 | align_1: 13-9 | align_2: 14-14 | entity: Amazon EC2 - none |    In the future , the program hopes to expand its use of Amazon EC2 to include other remote sensing applications . ||| 今后 ， 该 计划 希望 扩展 其 对 Amazon EC2 的 使用 范围 ， 以 包含 其他 遥感 应用 程序 。 

Kovach 科瓦奇 | w_freq: 2 - 4 | wiki_freq: 205 - 63 | sentence_idx: 946310 | align_1: 13-14 | align_2: 14-18 | entity: Kovach - 科瓦奇 |    Although she has seen a lot of tactical growth in her squad , Kovach believes the most valuable training was the time she spent building trust with her troops . ||| 虽然 她 在 班组 中 看到 了 很多 战术 上 的 成长 ， 但 科瓦奇 说 ， 她 认为 最 有 价值 的 训练 是 她 与 部队 建立 信任 的 时间 。 

Keiss Keiss | w_freq: 1 - 1 | wiki_freq: 71 - 0 | sentence_idx: 953699 | align_1: 9-7 | align_2: 10-11 | entity: Keiss - none |    " I can not in any case agree with Keiss that my whole conception of the external world has been derived from perceptions . ||| “ 无论如何 ， 我 不 能 同意 Keiss 的 观点 ， 即 我 对外部 世界 的 整个 概念 都 源于 感知 。 

Macalester 马卡莱斯特 | w_freq: 2 - 1 | wiki_freq: 741 - 0 | sentence_idx: 955724 | align_1: 15-13 | align_2: 16-18 | entity: Macalester - 马卡莱斯特 |    If I do n’t have any additional questions , why should I get on the Macalester mailing list ? ||| 问 ： 如果 我 没有 其他 问题 了 ， 为什么 我 还要 加入 马卡莱斯特 的 邮件 列表 ( mailing list ) ？ 

Degrees Degrees | w_freq: 33 - 17 | wiki_freq: 4212 - 36 | sentence_idx: 956317 | align_1: 12-10 | align_2: 13-21 | entity: Degrees - none |    " Thank God I Found You " ( featuring Joe & 98 Degrees ) ||| Thank God I Found You - Featuring Joe & 98 Degrees （ * 全 美 热门 单曲榜 1周 冠军 ， 2000 ） 

Tuna 金枪鱼 | w_freq: 8 - 45 | wiki_freq: 2459 - 179 | sentence_idx: 957317 | align_1: 20-17 | align_2: 21-22 | entity: Southern Bluefin Tuna - none |    In the last decade , the CCSBT has introduced mandatory Catch Documentation Schemes , enabling the traceability of Southern Bluefin Tuna and ensuring that fish caught outside of the quota system can not be sold . ||| 在 过去 十 年中 ， CCSBT 实行 了 强制性 的 渔获量 文件 制度 ， 使 南方 蓝鳍 金枪鱼 能够 被 追踪 ， 并 确保 在 配额 制度 之外 捕捞 的 鱼 不 能 被 出售 。 

EUSS EUSS | w_freq: 2 - 2 | wiki_freq: 7 - 0 | sentence_idx: 959618 | align_1: 13-10 | align_2: 14-15 | entity: EUSS - none |    “ The focus should be on offering reassurances and avoiding misconceptions about the EUSS and on ensuring that EU member states step up and provide a similar level of reassurance for UK nationals . ” ||| “ 重点 应该 放 在 提供 保证 和 避免 对 EUSS 的 误解 上 ， 并 确保 欧盟 成员国 加紧 为 英国 国民 提供 类似 水平 的 保证 。 

Cop Cop | w_freq: 3 - 2 | wiki_freq: 4409 - 41 | sentence_idx: 962136 | align_1: 13-13 | align_2: 14-19 | entity: Giant Cop - none |    One of the most fun VR experiences I ’ve tried is called Giant Cop . ||| 我 尝试 过 的 最 有趣 的 VR 体验 之一 就是 《 Giant Cop ( 巨人 警察 ) 》 。 

EARTH 末宗 | w_freq: 8 - 1 | wiki_freq: 148 - 4 | sentence_idx: 962446 | align_1: 6-2 | align_2: 7-13 | entity: EARTH - 何以 末宗 |    Why would it say let the EARTH bring forth ? ||| 然 何以 末宗 说 「 亦 有 中 有 」 ， 「 大地 劫住 。 

RMIT RMIT | w_freq: 4 - 4 | wiki_freq: 1769 - 12 | sentence_idx: 974814 | align_1: 6-6 | align_2: 7-10 | entity: RMIT - none |    “ When I first came to RMIT I did n’t even know we had an art collection , ” she said . ||| “ 当 我 第一 次 来到 RMIT 的 时候 ， 我 甚至 不 知道 我们 有 如此 丰富 的 艺术 收藏 ， ” 她 说 。 

Mishra Mishra | w_freq: 2 - 1 | wiki_freq: 4777 - 11 | sentence_idx: 984042 | align_1: 2-3 | align_2: 3-7 | entity: Mishra - none |    According to Mishra , “ Some believe machines will replace humans , and others believe machines will merely supplement humans . ||| 根据 米斯拉 ( Mishra ) 的 说法 ： “ 有些 人 相信 机器 将 取代 人类 ， 而 另 一些 人 则 认为 机器 只 会 补充 人类 。 

Steinem 阿武 | w_freq: 6 - 2 | wiki_freq: 866 - 96 | sentence_idx: 997607 | align_1: 0-1 | align_2: 1-6 | entity: Steinem - 莫 阿武 |    Steinem said , “ Be thankful . ” ||| 莫 阿武 没有 推辞 ， 恭敬 说道 ： “ 多谢 老板 。 

MTN MTN | w_freq: 3 - 3 | wiki_freq: 1640 - 23 | sentence_idx: 998487 | align_1: 0-0 | align_2: 1-5 | entity: MTN - none |    MTN remains committed to building and maintaining cordial relationships with all regulatory authorities in Nigeria . ||| MTN 表示 ， 它 将 继续 致力于 与 尼日利亚 所有 监管 机构 建立 和 保持 友好 关系 。 

Qur’an 蔚宗论之 | w_freq: 176 - 1 | wiki_freq: 541 - 0 | sentence_idx: 998502 | align_1: 1-1 | align_2: 2-6 | entity: Qur’an - 范 蔚宗论之 |    The Qur’an mandates “ peace is a word from a merciful God . ” ||| 范 蔚宗论之 ， 以为 ： 「 所谈者 仁义 ， 所 传者 圣法 也 。 

