café Café | w_freq: 82 - 139 | wiki_freq: 10709 - 11741 | sentence_idx: 438 | align_1: 8-6 | align_2: 9-11 |    For instance , think of a small neighborhood café that you love . ||| Denken Sie beispielsweise an ein kleines Café in der Nachbarschaft , das sie lieben . 

millionaire Millionär | w_freq: 154 - 134 | wiki_freq: 5580 - 1823 | sentence_idx: 501583 | align_1: 5-3 | align_2: 6-7 |    The secret to become a millionaire lies in these business strategies and habits ||| Das Geheimnis , Millionär Zu Werden , Liegt In Diesen Geschäftsstrategien Und -gewohnheiten 

horrible schrecklich | w_freq: 295 - 434 | wiki_freq: 5772 - 1026 | sentence_idx: 502113 | align_1: 21-19 | align_2: 22-24 |    " Since the Second World War , Germans have preferred not to think about their past , because it is too horrible to contemplate . ||| Seit dem Zweiten Weltkrieg haben die Deutschen es vorgezogen , nicht über ihre Vergangenheit nachzudenken , da sie zu schrecklich ist , um sie zu betrachten . 

Considering Anbetracht | w_freq: 119 - 170 | wiki_freq: 5212 - 2270 | sentence_idx: 502968 | align_1: 0-1 | align_2: 1-5 |    Considering that this declaration is incompatible with the 1960 Treaty concerning the establishment of the Republic of Cyprus and the 1960 Treaty of Guarantee , ||| in Anbetracht der Tatsache , dass diese Erklärung mit dem Abkommen von 1960 zur Gründung der Republik Zypern und dem Garantieabkommen von 1960 nicht vereinbar ist , 

Understand Jedem | w_freq: 99 - 48 | wiki_freq: 1032 - 1569 | sentence_idx: 503238 | align_1: 0-0 | align_2: 1-4 |    Understand that it is unrealistic to expect the outcome of final status negotiations to be a full and complete return to the armistice lines of 1949 . ||| Jedem ist klar , dass es unrealistisch ist , zu erwarten , dass das Ergebnis der abschließenden Statusverhandlungen eine volle und vollständige Rückkehr zu den Waffenstillstandslinien von 1949 bedeutet . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 503257 | align_1: 0-0 | align_2: 1-4 |    Remember that the client is still hearing your voice as if you were in the same room . ||| Denken sie daran , dass der kunde immer noch ihre stimme hört , als ob sie im selben raum wären . 

hunter Marktjäger | w_freq: 40 - 1 | wiki_freq: 13131 - 0 | sentence_idx: 503406 | align_1: 11-10 | align_2: 12-14 |    He supported his growing family in these years as a market hunter . ||| Er unterstützte seine wachsende Familie in diesen Jahren als ein Marktjäger ( Jagd ) . 

yesterday gestern | w_freq: 704 - 699 | wiki_freq: 3562 - 1180 | sentence_idx: 503823 | align_1: 9-7 | align_2: 10-12 |    Today I am strong , and what scared me yesterday is now just a part of my routine . ||| Heute bin ich stark und was mich gestern noch erschreckt hat , ist nun Teil meiner Routine . 

Mammon Mammon | w_freq: 4 - 9 | wiki_freq: 421 - 149 | sentence_idx: 504430 | align_1: 10-11 | align_2: 11-16 |    " Those who set out to serve both God and Mammon soon discover that there is n't a God " ||| „ Die , die sich daran machen , Gott und dem Mammon zu dienen , werden bald entdecken , dass es keinen Gott gibt “ 

Offices Büros | w_freq: 22 - 331 | wiki_freq: 6981 - 11243 | sentence_idx: 505084 | align_1: 3-3 | align_2: 4-7 |    11 Companies with Offices We Ca n’t Believe Are Real ||| 10 Unternehmen mit Büros , von denen wir nicht glauben können , dass sie real sind 

genders Geschlechter | w_freq: 52 - 113 | wiki_freq: 4447 - 7427 | sentence_idx: 505287 | align_1: 17-17 | align_2: 18-21 |    " Society needs a strong family for stability ; kids needs the model of parents of different genders interacting . ||| " Die Gesellschaft braucht eine starke Familie für Stabilität ; Kinder brauchen das Modell der Eltern verschiedener Geschlechter , die miteinander interagieren . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 506567 | align_1: 0-0 | align_2: 1-4 |    Remember that the results are also largely dependent on your response to whatever happens . ||| Denken Sie daran , dass die Ergebnisse auch weitgehend von Ihrer Antwort auf was auch immer passiert abhängen . 

truthful gezeugt | w_freq: 137 - 25 | wiki_freq: 2359 - 1013 | sentence_idx: 506639 | align_1: 5-5 | align_2: 6-9 |    By Allah , he is truthful and they are liars . ||| " " " Allah hat gezeugt " " ; und sie sind wahrlich Lügner . " 

Speer Speer | w_freq: 22 - 34 | wiki_freq: 3185 - 4180 | sentence_idx: 506718 | align_1: 10-9 | align_2: 11-15 |    She refused several offers from others , such as Albert Speer , to have the children smuggled out of Berlin . ||| Sie lehnte mehrere Angebote von anderen , wie Albert Speer ( Albert Speer ) ab , um aus Berlin geschmuggelte Kinder zu haben . 

Remember Vergessen | w_freq: 1149 - 339 | wiki_freq: 9753 - 1305 | sentence_idx: 507323 | align_1: 0-0 | align_2: 1-4 |    Remember that power , control and sensitivity are the most important in this area and not the intensity of stimulation . ||| Vergessen Sie nicht , dass die Macht , die Kontrolle und die Sensitivität die wichtigsten Elemente in diesem Bereich sind und nicht die Intensität der Stimulation . 

imperative zwingend | w_freq: 118 - 86 | wiki_freq: 6309 - 5807 | sentence_idx: 507444 | align_1: 3-3 | align_2: 4-7 |    " It is imperative you have reserve funds for unexpected disasters like this , " Watson said . ||| " Es ist zwingend notwendig , dass Sie Reservefonds für unerwartete Katastrophen wie diese haben " , sagte Watson . 

Suppose Nehmen | w_freq: 121 - 569 | wiki_freq: 5239 - 469 | sentence_idx: 509570 | align_1: 0-0 | align_2: 1-5 |    Suppose you are no longer interested in the weather of Hayward . ||| Nehmen wir an , dass Sie das Wetter in Hayward nicht mehr interessiert . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 509978 | align_1: 0-0 | align_2: 1-4 |    Remember that there will always be multiple people playing the same bingo game at the same time . ||| Denken Sie daran , dass immer mehrere Personen gleichzeitig das gleiche Bingo Spiel spielen werden . 

forget Vergesst | w_freq: 1965 - 42 | wiki_freq: 12667 - 62 | sentence_idx: 510426 | align_1: 2-0 | align_2: 3-5 |    Do n’t forget to share if you also believe that love overcomes all obstacles ! ||| Vergesst nicht , diese Geschichte zu teilen , wenn ihr auch denkt , dass Liebe alle Hindernisse überwinden kann ! 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 510731 | align_1: 0-0 | align_2: 1-4 |    Remember the Caroni 13 year old , the Renegade line , or even ( bow head here ) the Longpond 1941 ? ||| Denken Sie daran , die Caroni 13 jahre alt , die Renegade Linie , oder auch ( Bogen Kopf hier ) die Longpond 1941 ? 

Commandments2:83 2:83 | w_freq: 1 - 1 | wiki_freq: 0 - 3 | sentence_idx: 511213 | align_1: 1-0 | align_2: 2-7 |    The Commandments2:83 We made a covenant with the Children of Israel : " You shall not worship except GOD . ||| 2:83 „ Und ( damals ) als wir die Verpflichtung der Kinder Israels ( auf folgende Gebote ) entgegennahmen : Ihr sollt nur ( dem alleinigen ) Gott dienen . 

confidantes Vertrauten | w_freq: 1 - 10 | wiki_freq: 180 - 2905 | sentence_idx: 511705 | align_1: 13-12 | align_2: 14-17 |    You may have chosen to tell no one , a small group of confidantes or to speak to the authorities about your sexual assault . ||| Möglicherweise haben Sie sich entschieden , niemandem , einer kleinen Gruppe von Vertrauten , davon zu erzählen oder mit den Behörden über Ihre sexuellen Übergriffe zu sprechen . 

prophecy Prophetie | w_freq: 183 - 36 | wiki_freq: 7971 - 500 | sentence_idx: 512095 | align_1: 17-16 | align_2: 18-21 |    It is not the way to understand any part of the Bible , least of all perhaps prophecy . ||| Das ist nicht der Weg , irgendeinen Teil der Bibel , und am wenigsten vielleicht die Prophetie , verstehen zu können . 

announce ankündigen | w_freq: 318 - 56 | wiki_freq: 14722 - 354 | sentence_idx: 512409 | align_1: 5-5 | align_2: 6-9 |    “ We are excited to announce that the third series of All or Nothing will feature the Dallas Cowboys . ||| “ Wir freuen uns , ankündigen zu können , dass in der dritten Staffel von ‘ All or Nothing ’ die Dallas Cowboys zu sehen sein werden . 

UNLIKE gegensatz | w_freq: 1 - 110 | wiki_freq: 2 - 4 | sentence_idx: 512872 | align_1: 0-1 | align_2: 1-5 |    UNLIKE what John said , you SHOULDN’T use sex to “ trap ” men into relationships . ||| Im gegensatz zu dem , was john sagte , sollten sie sex nicht benutzen , um männer in beziehungen " einzufangen " . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 513417 | align_1: 0-0 | align_2: 1-4 |    Remember that before you can reach this , you have to begin with an initial 5 % rate . ||| Denken Sie daran , dass , bevor Sie dies erreichen können , müssen Sie mit einem ersten 5 % Rate beginnen . 

ungrateful undankbar | w_freq: 25 - 18 | wiki_freq: 609 - 137 | sentence_idx: 513438 | align_1: 18-22 | align_2: 19-28 |    Almighty Allah says : “ Verily , We showed him the way , whether he be grateful or ungrateful ” . ||| Gott sagt hierzu folgendes : „ Wir haben ihm ja den ( rechten ) Weg gezeigt , ob er nun dankbar oder undankbar ( dafür ) ist . “ ( Al-Insan | 76:3 ) . 

horrible schrecklich | w_freq: 295 - 434 | wiki_freq: 5772 - 1026 | sentence_idx: 513827 | align_1: 20-19 | align_2: 21-24 |    Since the Second World War , Germans have preferred not to think about their past , because it is too horrible to contemplate . ||| Seit dem Zweiten Weltkrieg haben die Deutschen es vorgezogen , nicht über ihre Vergangenheit nachzudenken , da sie zu schrecklich ist , um sie zu betrachten . 

imagine stelle | w_freq: 1110 - 291 | wiki_freq: 9379 - 3298 | sentence_idx: 514245 | align_1: 1-1 | align_2: 2-5 |    I imagine that some people have a third eye . ||| Ich stelle mir vor , daß manche Leute ein drittes Auge haben . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 514257 | align_1: 0-0 | align_2: 1-4 |    Remember that negative and positive body language comes across in any language and in any circumstances . ||| Denken sie daran , dass negative und positive körpersprache in jeder sprache und unter allen umständen vorkommt . 

Israelis Israelis | w_freq: 498 - 499 | wiki_freq: 6972 - 1597 | sentence_idx: 514934 | align_1: 19-21 | align_2: 20-26 |    This is especially important because our task in Israel today is not so much to convince the majority of Israelis that peace is good and the price acceptable , but first that peace is possible at all . ||| Dies ist besonders wichtig , weil unsere Aufgabe hier und heute in Israel nicht so sehr ist , die Mehrheit der Israelis davon zu überzeugen , dass Frieden gut sei und der Preis dafür akzeptabel , sondern dass Frieden überhaupt möglich ist . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 514975 | align_1: 0-0 | align_2: 1-4 |    Remember that this is the price of attending the so-called Clay University . ||| Denken Sie daran , dass dies der Preis für die Teilnahme an der so genannten Clay University ist . 

suppose gehe | w_freq: 197 - 569 | wiki_freq: 5598 - 5850 | sentence_idx: 516125 | align_1: 1-1 | align_2: 2-5 |    I suppose that it will go again back and the number of issues will be the same in 2020 . “ ( Textile machines , 0 % growth to 2020 ) ||| Ich gehe davon aus , dass es wieder zurückgehen wird und 2020 auch bei derselben Stückzahl sein wird . “ ( Textilmaschinen , 0 % Wachstum bis 2020 ) 

Think Denken | w_freq: 618 - 1801 | wiki_freq: 12764 - 11243 | sentence_idx: 516380 | align_1: 0-0 | align_2: 1-4 |    Think this notorious killer died with the Middle Ages ? ||| Denken Sie , dass dieser notorische Mörder mit dem Mittelalter gestorben ist ? 

graffiti Schablonen-Graffiti | w_freq: 35 - 1 | wiki_freq: 9881 - 4 | sentence_idx: 516757 | align_1: 15-13 | align_2: 16-18 |    ‘ I hate the fact that now everyone sees a bit of graffiti or stencil graffiti they think it ’s Banksy . ’ ||| " Ich hasse die Tatsache , dass jetzt jeder ein bisschen Graffiti oder Schablonen-Graffiti sieht , von denen sie denken , dass es Banksy ist . " 

shepherd Hirten | w_freq: 22 - 44 | wiki_freq: 5489 - 4794 | sentence_idx: 516783 | align_1: 7-10 | align_2: 8-19 |    Then I will put over them one shepherd , my servant David . ||| Und weiter : » Ich setze für sie einen einzigen Hirten ein , der sie auf die Weide führt , meinen Knecht David . 

zarzuelas zarzuela | w_freq: 1 - 1 | wiki_freq: 262 - 4 | sentence_idx: 518009 | align_1: 6-5 | align_2: 7-10 |    He also wrote at least five zarzuelas , of which all but two are now lost . ||| Er schrieb auch mindestens fünf zarzuela ( Zarzuela ) s , von dem alle außer zwei jetzt verloren werden . 

Whenever Immer | w_freq: 273 - 537 | wiki_freq: 5099 - 9281 | sentence_idx: 518319 | align_1: 0-0 | align_2: 1-5 |    Whenever the EU is in a ‘ bad ’ mood , especially shortly before the European elections , the subsidiarity principle is discovered . ||| Immer dann , wenn es der EU schlecht geht – vor allem kurz vor Europawahlen – entdeckt man das Subsidiaritätsprinzip . 

cruel grausame | w_freq: 268 - 96 | wiki_freq: 11483 - 1277 | sentence_idx: 519135 | align_1: 4-4 | align_2: 5-9 |    Equally shocking is the cruel way fish are killed . ||| Ebenso schockierend ist die grausame Art und Weise , wie Fische getötet werden . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 519158 | align_1: 0-0 | align_2: 1-4 |    Remember that what happened with the last relationships does not dictate what happens with the new ones- YOU DO . ||| Denken Sie daran , dass das , was mit den letzten Beziehungen passiert ist , nicht diktiert , was mit den neuen passiert - DU TUN . 

NGO Nichtregierungsorganisation | w_freq: 126 - 19 | wiki_freq: 12094 - 1521 | sentence_idx: 519318 | align_1: 4-4 | align_2: 5-8 |    Red Deporte is an NGO partly funded by the FIFA Foundation ||| Red Deporte ist eine Nichtregierungsorganisation , die zum Teil von der FIFA-Stiftung finanziert wird 

oppression Unterdrückung | w_freq: 178 - 257 | wiki_freq: 11833 - 6091 | sentence_idx: 519425 | align_1: 16-15 | align_2: 17-19 |    We fight for our fundamental rights of freedom , peace and justice despite the suppression and oppression we still face in this 21st century . ||| Wir kämpfen für unsere Grundrechte auf Freiheit , Frieden und Gerechtigkeit trotz der Ausbeutung und Unterdrückung , mit denen wir in diesem 21. Jahrhundert noch konfrontiert sind . 

guess raten | w_freq: 641 - 173 | wiki_freq: 8827 - 640 | sentence_idx: 520254 | align_1: 13-13 | align_2: 14-17 |    You 're probably hoping that your reunions will be absolutely perfect , but guess what ? ||| Du hoffst wahrscheinlich , dass deine wiedervereinigungen absolut perfekt sein werden , aber raten sie mal , was . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 521757 | align_1: 0-0 | align_2: 1-5 |    Remember a reflection is not only like the original ; it exists in the original—in eye of the observer . ||| Denken Sie daran , dass eine Widerspiegelung nicht nur wie das Original ist ; sie existiert im Original – im Auge des Betrachters . 

calculation berechnung | w_freq: 202 - 11 | wiki_freq: 13533 - 0 | sentence_idx: 522155 | align_1: 5-5 | align_2: 6-9 |    This is the only realistic calculation available since the Nevada Gaming Commission does not provide more detail . ||| Dies ist die einzige realistische berechnung , die zur verfügung steht , da die nevada gaming commission nicht näher über details verfügt . 

clarity Klarheit | w_freq: 272 - 289 | wiki_freq: 9025 - 2757 | sentence_idx: 522167 | align_1: 18-17 | align_2: 19-22 |    I think that already St. Paul offers , yeah , St. John Paul II that give all the clarity is we need this . ||| Ich denke , dass schon St. Paul bietet , ja , Johannes Paul II. , Der alle Klarheit gibt , ist , dass wir dies brauchen . 

seminar Seminar | w_freq: 147 - 137 | wiki_freq: 7832 - 13124 | sentence_idx: 522640 | align_1: 5-4 | align_2: 6-10 |    I attended a success resources seminar where many wealthy entrepreneurs explained to us how they became so successful in their field . ||| Ich nahm an einem Seminar zu Erfolgsressourcen teil , bei dem uns viele wohlhabende Unternehmer erklärten , wie sie auf ihrem Gebiet so erfolgreich wurden . 

swear schwöre | w_freq: 306 - 235 | wiki_freq: 5814 - 145 | sentence_idx: 523243 | align_1: 11-13 | align_2: 12-18 |    After dealing with the public for over 20 years , I swear most people think [ … ] ||| Nachdem ich mich seit über 20 Jahren mit der Öffentlichkeit auseinandergesetzt habe , schwöre ich , dass die meisten Leute denken [ … ] 

hesitation zögern | w_freq: 89 - 174 | wiki_freq: 3485 - 403 | sentence_idx: 523734 | align_1: 3-6 | align_2: 4-10 |    Wager then without hesitation that He is . ” ||| Setzen Sie also , ohne zu zögern , darauf , dass er ist . " 

Assad Assad | w_freq: 308 - 240 | wiki_freq: 4150 - 670 | sentence_idx: 523796 | align_1: 6-5 | align_2: 7-11 |    Is the idea of speaking with Assad a completely wrong approach ? ||| Ist die Überlegung , mit Assad zu sprechen , dann sogar der völlig falsche Ansatz ? 

wonder frage | w_freq: 1132 - 1000 | wiki_freq: 10438 - 380 | sentence_idx: 523950 | align_1: 2-1 | align_2: 3-6 |    I still wonder what the hell Michael York ’s problem is at the end , when he goes all distant at the picnic . ||| Ich frage mich immer noch , was zur hölle michael yorks problem am ende ist , wenn er beim picknick ganz weit weg geht . 

Remember Erinnern | w_freq: 1149 - 201 | wiki_freq: 9753 - 488 | sentence_idx: 525199 | align_1: 0-0 | align_2: 1-6 |    Remember two years ago hardly anyone had heard of Twitter . ||| Erinnern sie sich , dass vor zwei jahren kaum jemand von twitter gehört hatte . 

assassinations Morde | w_freq: 14 - 102 | wiki_freq: 3539 - 4951 | sentence_idx: 525224 | align_1: 7-6 | align_2: 8-10 |    The time for the first of the assassinations I spoke to you about last February will take place shortly . ||| Der Zeitpunkt für den ersten der Morde , von denen Ich zu dir im vergangenen Februar gesprochen habe , tritt in Kürze ein . 

bloggers Blogger | w_freq: 190 - 276 | wiki_freq: 3191 - 999 | sentence_idx: 526107 | align_1: 4-6 | align_2: 5-10 |    More importantly , those bloggers you look up to took several years to achieve the success they have and it did n’t happen overnight . ||| Noch wichtiger ist , dass die Blogger , zu denen man aufschaut , mehrere Jahre brauchten , um den Erfolg zu erzielen , den sie haben , und es geschah nicht über Nacht . 

spill verschüttung | w_freq: 20 - 1 | wiki_freq: 8714 - 0 | sentence_idx: 526397 | align_1: 7-7 | align_2: 8-11 |    Everywhere is dirty , everything is a spill waiting to happen , and deciding to wash them with something besides 100 % white clothing is a risk . ||| Überall ist dreckig , alles ist eine verschüttung , die darauf wartet , passiert zu sein , und zu entscheiden , sie mit etwas anderem als 100 % weißer kleidung zu waschen , ist ein risiko . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 527298 | align_1: 0-0 | align_2: 1-4 |    Remember that the main thing is to make the visitor doubt for a minute that your website is not just another black project . ||| Denken Sie daran , dass die Hauptsache ist , den Besucher für eine Minute zu zweifeln lassen , dass Ihre Website nicht nur ein schwarzes Projekt ist . 

Think Denken | w_freq: 618 - 1801 | wiki_freq: 12764 - 11243 | sentence_idx: 527931 | align_1: 2-0 | align_2: 3-5 |    Do You Think Using Tech to Predict Crime Is a Good Idea ? ||| Denken Sie , dass die Verwendung von Tech zur Vorhersage von Kriminalität eine gute Idee ist ? 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 528508 | align_1: 0-0 | align_2: 1-4 |    Remember that most cyber-criminals rely on automated computer programs to do their dirty work for them , and these programs ca n't think for themselves ( at least , as far as we know ) . ||| Denken sie daran , dass die meisten cyberkriminellen auf automatisierte computerprogramme angewiesen sind , um ihre schmutzige arbeit für sie zu erledigen , und diese programme können nicht für sich selbst denken ( zumindest soweit wir wissen ) . 

SOTT.net Sott.net | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 528605 | align_1: 22-18 | align_2: 23-23 |    Thus , the reason for our inclusion of complete articles from other authors is rather specific , and is essential to make SOTT.net what it is ! ||| Daher ist der Grund für unsere Verwendung vollständiger Artikel anderer Autoren ziemlich spezifisch und essenziell dafür , aus Sott.net das zu machen , was es ist ! 

Britney Britney | w_freq: 29 - 25 | wiki_freq: 5084 - 769 | sentence_idx: 529400 | align_1: 4-2 | align_2: 5-6 |    ‘ What happened to Britney was a year ago and people need to get with the times . ||| „ Was Britney widerfahren ist , ist vor einem Jahr passiert und die Leute müssen mit der Zeit gehen . 

laptop Laptop | w_freq: 247 - 181 | wiki_freq: 6881 - 829 | sentence_idx: 529968 | align_1: 8-7 | align_2: 9-13 |    It ’s the closest thing to a perfect laptop I ’ve used in a long time and it ’s better than all of the other options in its class . ||| Es ist das , was einem perfekten Laptop am nächsten kommt , den ich seit langem benutze , und es ist besser als alle anderen Optionen in seiner Klasse . 

behaved verhielt | w_freq: 42 - 26 | wiki_freq: 3166 - 1722 | sentence_idx: 530035 | align_1: 1-1 | align_2: 2-5 |    Johnson behaved as he did because he feared the Jews . ||| Johnson verhielt sich so , wie er es tat , weil er die Juden fürchtete . 

virginity jungfräulichkeit | w_freq: 45 - 21 | wiki_freq: 3476 - 0 | sentence_idx: 532357 | align_1: 16-17 | align_2: 17-21 |    Young girls bragged proudly of their perversion ; to be sixteen and still under suspicion of virginity would have been a disgrace . ||| Junge mädchen prahlten stolz mit ihrer perversion ; sechzehn zu sein und noch unter dem verdacht der jungfräulichkeit zu stehen , wäre eine schande gewesen . 

X. X. | w_freq: 30 - 24 | wiki_freq: 10942 - 9813 | sentence_idx: 534849 | align_1: 0-0 | align_2: 1-5 |    X. whereas discrimination , along with linguistic , educational and institutional factors , is one of the most significant barriers preventing migrants in general from fully participating in the labour market and in society(9 ) ; ||| X. in der Erwägung , dass Diskriminierung neben sprachlichen , bildungsbezogenen und institutionellen Faktoren eine der signifikantesten Hürden ist , die Migranten im Allgemeinen daran hindert , vollständig am Arbeitsmarkt und der Gesellschaft teilzuhaben(9 ) ; 

Eco-Audit Öko-Audits | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 536205 | align_1: 5-4 | align_2: 6-8 |    The requirements of the current Eco-Audit have been our philosophy for a long time . ||| Die Anforderungen aus heutigen Öko-Audits zu erfüllen , ist schon lange unsere Philosophie . 

Imagine Stellt | w_freq: 325 - 70 | wiki_freq: 5922 - 590 | sentence_idx: 536505 | align_1: 0-0 | align_2: 1-4 |    Imagine how many billions you rescue if the planet is still alive . ||| Stellt euch vor , wie viele Milliarden ihr rettet , wenn der Planet weiterlebt . 

Sounds Hört | w_freq: 81 - 57 | wiki_freq: 12750 - 197 | sentence_idx: 536976 | align_1: 1-1 | align_2: 2-7 |    “ Sounds like our Croatian hippie got what he deserved . ” ||| » Hört sich ganz so an , als hätte unser kroatischer Hippie endlich mal bekommen , was er verdient . « 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 539000 | align_1: 0-0 | align_2: 1-4 |    Remember that all online parties have expectations . ||| Denken sie daran , dass alle online-parteien erwartungen haben . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 541975 | align_1: 0-0 | align_2: 1-4 |    Remember that it ’s equally as important to make short-term and long-term lists as it is to prioritize tasks , especially in a small business . ||| Denken Sie daran , dass es ebenso wichtig ist , kurz- und langfristige Listen zu erstellen , wie die Priorisierung von Aufgaben , insbesondere in einem kleinen Unternehmen . 

LiSEC LiSEC | w_freq: 5 - 5 | wiki_freq: 0 - 11 | sentence_idx: 542748 | align_1: 7-7 | align_2: 8-11 |    They invested in a complete system from LiSEC in two phases , 1999 and 2000 . ||| Sie investierten in ein komplettes System von LiSEC , und zwar in zwei Phasen , 1999 und 2000. 

joyous freuen | w_freq: 22 - 1063 | wiki_freq: 2235 - 1321 | sentence_idx: 542851 | align_1: 5-2 | align_2: 6-7 |    This is why we are joyous that a special spiritual intervention is currently underway . ||| Und deshalb freuen wir uns darüber , dass jetzt eine besondere spirituelle Intervention auf dem Wege ist ! 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 543584 | align_1: 0-0 | align_2: 1-4 |    Remember how you walked away from that terrible car crash . ||| Denken Sie daran , wie Sie von diesem schrecklichen Autounfall weggelaufen sind . 

Thou Du | w_freq: 74 - 7886 | wiki_freq: 3379 - 13553 | sentence_idx: 544182 | align_1: 0-0 | align_2: 1-4 |    Thou seekest to destroy a city and a mother in Israel ! ||| Du [ aber ] trachtest danach , eine Stadt und Mutter in Israel zu töten . 

bitcoins Bitcoins | w_freq: 66 - 138 | wiki_freq: 342 - 209 | sentence_idx: 546651 | align_1: 1-1 | align_2: 2-5 |    Your bitcoins already deposited with us are stored in a cold wallet and can not be affected . ’ ||| Die Bitcoins , die Sie bereits bei uns gespeichert haben , sind in einer Cold Wallet und können nicht betroffen sein . ” 

Hauser Hauser | w_freq: 12 - 12 | wiki_freq: 3702 - 3709 | sentence_idx: 546679 | align_1: 8-6 | align_2: 9-12 |    It would be fantastic to find a Kaspar Hauser who had never seen a film and ask him to do a film . ||| Es wäre fantastisch , einen Kaspar Hauser des Kinos zu finden , der nie zuvor einen Film gesehen hat , und ihn aufzufordern , einen Film zu machen . 

hell Hölle | w_freq: 440 - 499 | wiki_freq: 14163 - 6495 | sentence_idx: 546755 | align_1: 10-7 | align_2: 11-15 |    But the woman is twice as much a son of hell than he is , because she has to suffer hell already here on earth . ||| Aber die Frau ist eine Kind der Hölle , das doppelt so schlimm dran ist wie er , weil sie bereits die Hölle hier auf Erden zu erleiden hat . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 547238 | align_1: 0-0 | align_2: 1-4 |    Remember that match times are in the UK , so the US will get them in the morning and afternoon , rather than the afternoon and evening . ||| Denken Sie daran , dass die Spielzeiten in Großbritannien liegen , also werden die USA sie vormittags und nachmittags anstatt nachmittags und abends erhalten . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 547468 | align_1: 0-0 | align_2: 1-4 |    Remember that compromising does not mean that you 've lost and another family member has won , but that you have created a new solution . ||| Denken Sie daran , dass ein Kompromiss nicht bedeutet , dass Sie verloren haben und ein anderes Familienmitglied gewonnen hat , sondern dass Sie eine neue Lösung erstellt haben . 

recanted erwischt | w_freq: 4 - 148 | wiki_freq: 1385 - 2080 | sentence_idx: 547953 | align_1: 13-8 | align_2: 14-16 |    If they were lying , surely at least one of them would have recanted . ||| Wird einer von ihnen jedoch konkret beim Lügen erwischt , so schlägt er wild um sich . 

Think Denken | w_freq: 618 - 1801 | wiki_freq: 12764 - 11243 | sentence_idx: 548886 | align_1: 0-0 | align_2: 1-4 |    Think this Management Game can move your organisation and your participants forward ? ||| Denken Sie , dass dieses Management Game Ihre Organisation und Ihre Teilnehmer weiterbringen kann ? 

Palestinians Palästinenser | w_freq: 1112 - 941 | wiki_freq: 12372 - 1852 | sentence_idx: 549057 | align_1: 6-9 | align_2: 7-14 |    ' it 's time for the Palestinians to stop denying history . ||| " Es ist an der Zeit , dass die Palästinenser aufhören , die Geschichte zu leugnen . " 

Bonus Bonus | w_freq: 100 - 264 | wiki_freq: 5997 - 1794 | sentence_idx: 549363 | align_1: 0-0 | align_2: 1-4 |    Bonus being they could be a fruit or vegetable you ’re not be familiar with ; local variety is the spice of life ! ||| Bonus könnte sein , dass sie eine Frucht oder ein Gemüse sein könnten , mit denen du nicht vertraut bist ; lokale Vielfalt ist die Würze des Lebens ! 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 549764 | align_1: 0-0 | align_2: 1-5 |    Remember no one can see your profile or your choices until you start talking to them . ||| Denken Sie daran , dass niemand Ihr Profil oder Ihre Auswahl sehen kann , bis Sie anfangen , mit ihnen zu sprechen . 

laughter Lachen | w_freq: 124 - 285 | wiki_freq: 5512 - 2710 | sentence_idx: 549872 | align_1: 6-5 | align_2: 7-10 |    The therapist must also control their laughter while reinforcing a type of patient intervention . ||| Der Therapeut muss auch sein Lachen unter Kontrolle halten , während er gleichzeitig eine Art von Patientenintervention verstärkt . 

