Jurij Jurijus | w_freq: 1 - 2 | wiki_freq: 607 - 1 | sentence_idx: 1040 | align_1: 1-1 | align_2: 2-6 | entity: Jurij Veklenko - none |    Lithuania Jurij Veklenko " Run with the Lions " English 11 93 ||| 立陶宛 Jurijus （ 英语 ： Jurijus Veklenko ） " Run with the Lions （ 英语 ： Run with the Lions ） " 英语 11 93 
Besserer Besserer | w_freq: 1 - 2 | wiki_freq: 84 - 1 | sentence_idx: 402007 | align_1: 6-7 | align_2: 7-15 | entity: Eugenie Besserer - Eugenie Besserer |    Jack and his mother ( Eugenie Besserer ) ||| Jack 与 他 的 母亲 （ Eugenie Besserer （ 英语 ： Eugenie Besserer ） 饰演 ） 

Cartier-Bresson Henri-Cartier | w_freq: 3 - 1 | wiki_freq: 520 - 0 | sentence_idx: 402233 | align_1: 12-11 | align_2: 13-25 | entity: Henri Cartier-Bresson - none |    “ Your first 10,000 photographs are your worst . ” ― Henri Cartier-Bresson . ||| “ Your first 10000 photographs are your worst . “ - Henri-Cartier - Bresson 你 拍 的 前 一万 张 照片 都 是 烂 的 。 

Montalais deMontalais | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 409019 | align_1: 33-19 | align_2: 34-23 | entity: Mademoiselle de Montalais - none |    He took it up in a tone so cold and embarrassed , that if they had been thus surprised , the whole court would have no doubt about the proceedings of Mademoiselle de Montalais . ||| 他 的 语气 如此 寒冷 和 尴尬 , 如果 他们 已经 因此 惊讶 整个 法院 会 有 毫无疑问 小姐 deMontalais 学报 》 上 。 

Rumple 墨阳 | w_freq: 2 - 3 | wiki_freq: 170 - 3 | sentence_idx: 409512 | align_1: 8-6 | align_2: 9-14 | entity: Rumple - 墨阳 |    But Bae calls upon dark magic , and Rumple appears . ||| 天昌盛 赶紧 求饶 ， 一旁 的 墨阳 看 着 这 一 幕 ， 异常 闹心 。 

GUARDINO 瓜迪诺 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 413511 | align_1: 1-0 | align_2: 2-7 | entity: none - 瓜迪诺 |    MR GUARDINO :    Secretary Pompeo , our next Commonwealth Club / Silicon Valley Leadership Group question reads :    “ Is there a plan to harden security for our infrastructure such as water , electrical , telecommunications ?    And if so , will there be funding associated with this effort ? ” ||| 瓜迪诺 先生 （ 以 英语 发言 ） ：     庞培 秘书 ， 下 一个 英 联邦 俱乐部 / 硅谷 领导 小组 的 问题 是 ： “ 是否 有 计划 加强 我们 的 基础 设施 的 安全性 ， 例如 水 ， 电 ， 电信 ？ 如果 是 这样 ， 这项 工作会 不 会 有 资金 ？ ” 

ISIC ISIC | w_freq: 3 - 2 | wiki_freq: 112 - 5 | sentence_idx: 414927 | align_1: 18-16 | align_2: 19-22 | entity: ISIC - none |    To mark the 8th UNESCO Youth Forum , the International Student Identity Card Association , better known as ISIC , uniting over 5 million student card-holders , has launched a youth photo competition ! ||| 为了 庆祝 第八 届 教科文 组织 青年 论坛 ， 国际 学生证 协会 （ 因 其 简称 ISIC 而 被 人 熟知 ） ， 召集 超过 500万 学生 卡持 有人 ， 发起 了 青年 摄影 比赛 ！ 

Oork 窦尔墩 | w_freq: 1 - 1 | wiki_freq: 0 - 2 | sentence_idx: 415777 | align_1: 3-0 | align_2: 4-8 | entity: Oork - 窦尔墩 |    [ 82 ] Oork , tributary of the Marne . ||| 窦尔墩 （ 蓝 花 三 块 瓦脸 ） ， 《 盗御 马 》 中 人物 。 

HOUSE 弗雷泽 | w_freq: 7 - 16 | wiki_freq: 203 - 553 | sentence_idx: 420087 | align_1: 0-2 | align_2: 1-6 | entity: HOUSE - 弗雷泽 百货 |    HOUSE of Fraser has fallen into administration , endangering the future of 17,000 staff . ||| 与此同时 ， 弗雷泽 百货 ( House of Fraser ) 陷入 破产 管理 ， 危及 1.7万 名 员工 的 未来 。 

DanielIdodo 喜讯 | w_freq: 1 - 11 | wiki_freq: 0 - 157 | sentence_idx: 423687 | align_1: 0-1 | align_2: 1-8 | entity: DanielIdodo - none |    DanielIdodo [ 19 February 2018 , 14:06:54 ] ||| 【 喜讯 】 秀珀尔 荣获 “ 2019年 … [ 2019-12-13 09:54:32 ] 

DanielIdodo 秀珀尔 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 423687 | align_1: 0-3 | align_2: 1-8 | entity: DanielIdodo - 秀珀尔 |    DanielIdodo [ 19 February 2018 , 14:06:54 ] ||| 【 喜讯 】 秀珀尔 荣获 “ 2019年 … [ 2019-12-13 09:54:32 ] 

Gramsci Gramsci狱 | w_freq: 4 - 2 | wiki_freq: 797 - 0 | sentence_idx: 425083 | align_1: 8-8 | align_2: 9-17 | entity: Antonio Gramsci - Gramsci狱 |    So I ’ve come lately to cite Antonio Gramsci : " I am a pessimist because of intelligence , but an optimist because of will . ” ||| 最近 阅读 文章 ， 看到 意大利 哲学家 Antonio Gramsci狱 中 书信 里 发人深省 的 一句话 ， 写道 ： I ’ m a pessimist be cause of intelligence , but an optimist be cause of will 。 

AUBREY 艾莉森·奥布里 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 427483 | align_1: 1-0 | align_2: 2-5 | entity: none - 艾莉森·奥布里 |    ALLISON AUBREY , BYLINE : When the Women 's Health Initiative study began back in the 1990s , about 20,000 women were put on a diet . ||| 艾莉森·奥布里 ( Allison Aubrey ) ， 旁白 ： 早 在 20 世纪 90年代 ， 妇女 健康 倡议 研究 就 开始 了 ， 当时 约 有 2万 名 妇女 在 节食 。 

Romanek Romanek | w_freq: 2 - 2 | wiki_freq: 319 - 2 | sentence_idx: 430115 | align_1: 3-5 | align_2: 4-13 | entity: Mark Romanek - none |    For director Mark Romanek ( “ One Hour Photo , ” “ Never Let Me Go ” ) , virtual reality has long been a fixation . ||| 对 导演 马克·罗曼尼克 【 Mark Romanek ， 代表作 《 一 小时 快相 》 ( One Hour Photo ) 、 《 别 让 我 走 》 ( Never Let Me Go ) 】 来说 ， 虚拟 现实 是 一个 长期以来 的 执念 。 

Sedona Sedona | w_freq: 4 - 2 | wiki_freq: 936 - 4 | sentence_idx: 430351 | align_1: 10-15 | align_2: 11-26 | entity: Sedona - none |    God created the Grand Canyon , but He lives in Sedona . ||| 当地人 很 喜欢 说 ： God created the Grand Canyon , but He lives in Sedona . 上帝 创造 了 大峡谷 ， 可是 祂住 在 喜多娜 。 

Kirton Kirton | w_freq: 1 - 1 | wiki_freq: 678 - 1 | sentence_idx: 434880 | align_1: 15-18 | align_2: 16-23 | entity: Muriel Kirton - Muriel Kirton |    One day over tea at a café , I sat down with local teacher Muriel Kirton . ||| 一 天 我 在 咖啡馆 里 喝茶 ， 我 跟 一 位 当地 的 老师 穆里尔·柯顿 （ Muriel Kirton ） 坐 在 一块儿 。 

Meme Meme | w_freq: 6 - 8 | wiki_freq: 613 - 33 | sentence_idx: 436453 | align_1: 12-11 | align_2: 13-16 | entity: Meme - none |    An infodump at the beginning tells us that aliens called Meme ( Meme ? ||| 一 开始 的 信息 转储 告诉 我们 外星人 称之为 Meme （ Meme ） ？ 真的 吗 ? 

Winnick 温尼克 | w_freq: 2 - 3 | wiki_freq: 272 - 25 | sentence_idx: 437449 | align_1: 0-0 | align_2: 1-4 | entity: Winnick - 温尼克 |    Winnick accused the US of wanting to use it as a weapon against Russia ||| 温尼克 （ Vinnik ） 指控 美国 想 将 其 用作 对付 俄罗斯 的 武器 

List- List | w_freq: 1 - 40 | wiki_freq: 1 - 413 | sentence_idx: 437817 | align_1: 2-8 | align_2: 3-14 | entity: Bucket List- - none |    The Bucket List- Have you found joy in your life ? ||| 最 喜欢 的 一句话 是 电影 The Bucket List ( 2007 ) 中 “ Have you found joy in your life ? 

Blacc Blacc | w_freq: 6 - 5 | wiki_freq: 368 - 1 | sentence_idx: 438759 | align_1: 16-20 | align_2: 17-29 | entity: Aloe Blacc - none |    “ I need a dollar dollar , a dollar is what I need , ” Aloe Blacc sang back in 2010 . ||| “ I need a dollar dollar , a dollar is what I need ” R & B歌手 布莱克 （ Aloe Blacc ） 2010年 在 一 首 歌 中 如是 唱 到 。 

Halestorm Halestorm | w_freq: 1 - 1 | wiki_freq: 293 - 4 | sentence_idx: 439892 | align_1: 0-0 | align_2: 1-6 | entity: Halestorm - none |    Halestorm , Killing Ourselves to Live ||| Halestorm 发行 最新 专辑 " Vicious " 释出 单曲 " Killing Ourselves To Live " 

Genentech 泰克 | w_freq: 11 - 6 | wiki_freq: 616 - 133 | sentence_idx: 445981 | align_1: 20-18 | align_2: 21-23 | entity: Genentech - 基因 泰克 公司 |    “ The feeling [ there ] was that , ‘ You guys in the management team are in love with Genentech and you do n’t care about us anymore . ’ ||| “ 人们 的 感觉 是 ： ‘ 你们 这些 身 在 管理 团队 的 家伙们 明显 偏爱 基因 泰克 公司 的 人 ， 而且 已经 不再 在乎 我们 了 。 

Kessels Kessels | w_freq: 2 - 1 | wiki_freq: 92 - 0 | sentence_idx: 446003 | align_1: 1-1 | align_2: 2-7 | entity: Erik Kessels - none |    Erik Kessels , In almost every picture # 11 , 2012 ||| Erik Kessels 的 系列 作品 《 Valerie , in almost every picture # 11 》 

Sjahrir Sjahrir | w_freq: 1 - 1 | wiki_freq: 416 - 2 | sentence_idx: 448176 | align_1: 13-13 | align_2: 14-17 | entity: Pandu Sjahrir - Pandu Sjahrir |    Meanwhile , according to Indonesian Coal Mining Association ( ICMA ) Chairman Pandu Sjahrir , the policy was “ too harsh ” and would work better with a 6 - 9 month transition period allowing miners time to develop alternative hauling strategies . ||| 与此同时 ， 根据 印尼 煤矿业 协会 （ ICMA ） 主席 潘杜•赫利尔 （ Pandu Sjahrir ） 的 说法 ， 该 政策 “ 过于 苛刻 ” ， 并且 在 应该 允许 6-9 个 月 的 过渡期 内 以便 使 矿工 有 时间 制定 替代 运输 策略 。 

Columna Columna | w_freq: 1 - 1 | wiki_freq: 196 - 4 | sentence_idx: 458617 | align_1: 6-7 | align_2: 7-11 | entity: La Columna - none |    My own communal council , La Columna , covering four blocks of central Merida , has gone from meetings of five to 12 people in 2012 , to around 90 . ||| 我 自己 的 社区 委员会 ， La Columna （ 拉柱 ） ， 覆盖 了 梅里达 中央 的 四 块 地区 ， 已经 从 2012年 5 至 12 人 的 会议 增至 到 了 90 人 。 

GUN 十杆枪 | w_freq: 1 - 1 | wiki_freq: 160 - 0 | sentence_idx: 462266 | align_1: 5-4 | align_2: 6-9 | entity: AMERICAN GUN - none |    “ As you read AMERICAN GUN , I hope you feel the presence of Chris with you . ||| 当 你 读 《 十杆枪 》 这 本书 时 ， 我 希望 你 能 感到 克里斯 与 你 同在 。 

Roginsky Roginsky | w_freq: 3 - 1 | wiki_freq: 95 - 2 | sentence_idx: 463359 | align_1: 19-17 | align_2: 20-23 | entity: Mikhail Roginsky - none |    At the same time one could also see a growing interest in pop art as it shown by Mikhail Roginsky ’s The Door ( 1965 ) . ||| 与此同时 ， 也 能 看到 人们 对 波普 艺术 越来越 感 兴趣 ， 正如 米哈伊尔·罗金斯基 （ Mikhail Roginsky ） 的 画作 “ 门 ” （ The Door ， 1965 ） 所 表明 的 。 

Roginsky roginsky | w_freq: 3 - 1 | wiki_freq: 95 - 0 | sentence_idx: 463360 | align_1: 19-17 | align_2: 20-23 | entity: Mikhail Roginsky - mikhail roginsky |    At the same time one could also see a growing interest in pop art as it shown by Mikhail Roginsky ’s The Door ( 1965 ) . ||| 与此同时 ， 也 能 看到 人们 对 波普 艺术 越来越 感 兴趣 ， 正如 米哈伊尔·罗金斯基 （ mikhail roginsky ） 的 画作 “ 门 ” （ the door ， 1965 ） 所 表明 的 。 

Shoppers Shoppers | w_freq: 11 - 2 | wiki_freq: 819 - 3 | sentence_idx: 463872 | align_1: 16-18 | align_2: 17-23 | entity: none - Free Shoppers |    On November 7 , 1960 , Robert Miller and Charles Feeney opened the first Duty Free Shoppers store at Hong Kong airport . ||| 1960年 11月 7日 ， Robert Miller 和 Charles Feeney 在 香港 机场 开设 了 第一 家 Duty Free Shoppers （ 免税 购物 ） 商店 。 

Spalletti Spalletti | w_freq: 6 - 1 | wiki_freq: 202 - 1 | sentence_idx: 467387 | align_1: 2-4 | align_2: 3-9 | entity: Luciano Spalletti - Luciano Spalletti |    Under Luciano Spalletti , they are maturing into a team that not only has potential but is also starting to entertain . ||| 在 卢西亚诺·斯帕莱蒂 （ Luciano Spalletti ） 的 领导 下 ， 他们 正 逐渐 成长 为 一 支 不仅 具有 潜力 ， 而且 还 开始 娱乐 的 球队 。 

BISHOPS 主教团 | w_freq: 2 - 9 | wiki_freq: 18 - 487 | sentence_idx: 468907 | align_1: 2-4 | align_2: 3-17 | entity: none - 菲律宾 主教团 |    25 CATHOLIC BISHOPS ' CONFERENCE OF THE PHILIPPINES , Pastoral Letter What is Happening to our Beautiful Land ? ( 29 January 1988 ) . ||| [ 25 ] 菲律宾 主教团 会议 ， 《 我们 的 美丽 家园 出 了 甚么 问题 ？ 》 牧函 （ What is Happening to our Beautiful Land ？ ） （ 1988年 1月 29日 ） 。 

Nurr1 Nurr1 | w_freq: 6 - 2 | wiki_freq: 7 - 0 | sentence_idx: 469348 | align_1: 5-4 | align_2: 6-12 | entity: Nurr1 - none |    Researchers have modified the protein Nurr1 so that it can enter cells from the outside . ||| 研究 人员 对 蛋白质 Nurr1 进行 了 修饰    , 使 其 可以 从 外部 进入 细胞      。 

Chinchon Chinchon | w_freq: 1 - 2 | wiki_freq: 27 - 1 | sentence_idx: 470966 | align_1: 2-2 | align_2: 3-10 | entity: Chinchon - none |    Countess of Chinchon ( 1800 ) ||| Countess of Chinchon （ 英语 ： Countess of Chinchon ） （ 1800年 ） 

GRACE 恩典 | w_freq: 7 - 583 | wiki_freq: 231 - 869 | sentence_idx: 471028 | align_1: 1-3 | align_2: 2-11 | entity: none - 恩典 |    • GRACE , is the Love of God shown to the unlovely ||| Grace 应该 是 恩典 的 意思 ， 刚刚 查 了 查 ， Grace is the love of God shown to the unlovely 。 

Equipement Equipement | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 471545 | align_1: 25-26 | align_2: 26-31 | entity: Time Displacement Equipement - none |    Appearently someone ( or something ? ) was sent back from the future to the year 1963 , to build a TDE ( Time Displacement Equipement ) inside a vault in a bank . ||| • 肯定 有 什么 人 或者 什么 东西 从 未来 被 送回 1963年 ， 在 一家 银行 的 保险库 中 建造 了 TDE （ Time Displacement Equipement ， 时间 转移 装置 ） 。 

Vipp Vipp | w_freq: 1 - 1 | wiki_freq: 1 - 2 | sentence_idx: 472749 | align_1: 0-4 | align_2: 1-9 | entity: Vipp ’s - none |    Vipp ’s Plug and Play Getaway Shelter ||| 本文 链接 地址 : Vipp 工业化 住宅 VIPP ’ S PLUG AND PLAY GETA WAY SHELTER 

Mahdî 善导 | w_freq: 1 - 2 | wiki_freq: 0 - 187 | sentence_idx: 476259 | align_1: 0-0 | align_2: 1-5 | entity: Mahdî - none |    Mahdî : Guided , rightly guided . ||| 善导 之 “ 导 ” 是 疏导 ， 是 引导 。 

Igersheim 伊格尔斯海姆 | w_freq: 2 - 2 | wiki_freq: 14 - 0 | sentence_idx: 481788 | align_1: 16-3 | align_2: 17-11 | entity: Igersheim - 伊格尔斯海姆 |    The welfare of a society ( which may be , for example , the inhabitants of Igersheim or the entire population of China ) is closely linked to the capability of developing and using new technologies and products . ||| 社会 （ 无论是 伊格尔斯海姆 的 居民     ， 还是 中国 人民 ） 的 幸福 安宁 都 与 开发 和 运用 新 技术 和 产品 的 能力 紧密 相关  。 

Alexandrovitch 阿列克谢·亚历山德罗维奇 | w_freq: 36 - 22 | wiki_freq: 46 - 2 | sentence_idx: 484863 | align_1: 23-24 | align_2: 24-29 | entity: Alexey Alexandrovitch - 阿列克谢·亚历山德罗维奇 |    " I did not tell you yesterday , " she began , breathing quickly and painfully , " that coming home with Alexey Alexandrovitch I told him everything . . . told him I could not be his wife , that . . . and told him everything . " ||| “ 我 昨天 没有 告诉 你 ， ” 她 开口 说 ， 迅速 而 又 痛苦 地 呼吸 着 ， “ 在 我 和 阿列克谢·亚历山德罗维奇 回家 的 路上 ， 我 把 一切 都 告诉 他 了 …… 告诉 他 我 不 能 做 他 的 妻子 了 …… 把 一切 都 告诉 他 了 。 

TNP TNP | w_freq: 5 - 5 | wiki_freq: 116 - 5 | sentence_idx: 489005 | align_1: 10-8 | align_2: 11-12 | entity: TNP - none |    The researchers still need to figure out how to deliver TNP ’s effects only to MSCs , instead of the entire body , given that it sometimes blocks other enzymes along with IP6K1 . ||| 研究 人员 还 需要 弄 清楚 如何 将 TNP （ 苦味酸 ） 的 作用 仅仅 传递 给 MSCs ， 而 不是 整个 身体 ， 因为 它 有时 会 与 IP6K 1一 起 阻止 其他 酶 的 活性 。 

CSR2 CSR2 | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 489556 | align_1: 12-14 | align_2: 13-19 | entity: CSR2 - none |    To conclude celebrations of Italy ’s iconic contribution to sports cars , CSR2 brings you a finale to remember . ||| 为了 向 意大利 对 跑车 发展 所 做出 的 卓越 贡献 致敬 ， 《 CSR2 》 将 为 您 带来 一 场 令 人 难忘 的 决赛 。 

Aduanas Aduanas | w_freq: 1 - 1 | wiki_freq: 17 - 1 | sentence_idx: 490424 | align_1: 27-18 | align_2: 28-22 | entity: Dirección General de Aduanas - Dirección General de Aduanas ( DGA |    According to the Argentine Customs Code , importers and exporters must be listed in the registry of importers and exporters at Argentine customs ( Dirección General de Aduanas ) . ||| 根据 阿根廷 《 海关 法典 》 ， 进口商 和 出口商 必须 在 海关 总署 ( Dirección General de Aduanas ( DGA ) ) 的 进口商 和 出口商 登记册 上 登记 。 

Chieza Chieza | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 494723 | align_1: 2-2 | align_2: 3-8 | entity: Chieza - none |    Natsai Audrey Chieza Fashion has a pollution problem — can biology fix it ? ||| 2017 年 Chieza 在 TED 的 演讲 - Fashion has a pollution problem —— Can biology fix It ？ 

Warnes- Warnes | w_freq: 1 - 2 | wiki_freq: 0 - 5 | sentence_idx: 494877 | align_1: 4-6 | align_2: 5-13 | entity: Jennifer Warnes- - Jennifer Warnes |    Joe Cocker and Jennifer Warnes- Up Where We Belong ||| 06 . Joe Cocker , Jennifer Warnes / 乔库克 + 珍妮 佛温拿斯 - Up Where We Belong 

Qaf 顾况 | w_freq: 3 - 1 | wiki_freq: 87 - 48 | sentence_idx: 496212 | align_1: 3-0 | align_2: 4-6 | entity: Qaf - 顾况 |    ( By ) Qaf and the glorious Quran ( 50:1 ) . ||| 顾况 （ 生卒年 不详 ）  ， 字 逋翁  ， 号 华阳 真逸 （ 一 说 华阳 真隐 ）  。 

Trans4mind Trans4mind | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 505493 | align_1: 3-3 | align_2: 4-11 | entity: Trans4mind - none |    So when a Trans4mind reader , Bob T. , wrote me from Nevada , I was delighted . ||| 所以 当 一个 Trans4mind （ © 真 我 品位 ） 的 读者 鲍勃 从 内 达 华州 写信 给 我 时 ， 我 非常 高兴 。 

Houston-based 休斯敦 | w_freq: 2 - 60 | wiki_freq: 536 - 848 | sentence_idx: 505760 | align_1: 1-2 | align_2: 2-7 | entity: Houston-based - 休斯敦 |    The Houston-based Friedkin Group is the investment group believed to be seeking a significant portion of Roma shares . ||| 总部 位于 休斯敦 的 弗里德金 集团 （ Friedkin Group ） 是 一家 投资 集团 ， 据信 正在 寻求 罗姆人 的 大部分 股份 。 

Houston-based 休斯敦 | w_freq: 2 - 60 | wiki_freq: 536 - 848 | sentence_idx: 505761 | align_1: 1-2 | align_2: 2-7 | entity: Houston-based - 休斯敦 |    The Houston-based Friedkin Group is the investment group believed to be seeking a significant portion of Roma shares . ||| 总部 位于 休斯敦 的 弗里德金 集团 （ Friedkin Group ） 是 一家 投资 集团 ， 据信 正在 寻求 罗姆人 的 大部分 股份 。 

EGF EGF | w_freq: 29 - 30 | wiki_freq: 539 - 26 | sentence_idx: 511402 | align_1: 0-0 | align_2: 1-8 | entity: EGF - none |    EGF stands for epidermal growth factor . ||| EGF ( 表皮 细胞 生长 因子 ) ， 是 英文 Epidermal Growth Factor 的 简称 。 

Qi’da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 514116 | align_1: 9-6 | align_2: 10-11 | entity: Qi’da - none |    Thus , Sunday will be the 30th of Zhil Qi’da and Monday the first day of Zhil Hijjah . ” ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 

POTUS FC转GBA | w_freq: 9 - 1 | wiki_freq: 177 - 0 | sentence_idx: 516407 | align_1: 4-0 | align_2: 5-6 | entity: POTUS - none |    FC was appointed by POTUS , and he can only lose it the same way . ||| FC转GBA 《 真 侍魂 》 黑屏 ， 只能 把 《 侍魂 》 放 进去 。 

WTH 谢德·西莫夫 | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 520804 | align_1: 2-0 | align_2: 3-11 | entity: none - 谢德·西莫夫 |    Home World WTH What Every Man Thinks About Apart From Sex ||| 谢德·西莫夫 《 除了性 每个 男人 还 在 想 什么 》 （ What Every Man Thinks About Apart from Sex ） 

ho'oponopono oponopono | w_freq: 3 - 3 | wiki_freq: 2 - 0 | sentence_idx: 521768 | align_1: 24-28 | align_2: 25-33 | entity: none - ' oponopono |    Blaming is much easier than total responsibility , but speaking with Dr. Len , I started to realize that healing for him and in ho'oponopono means loving yourself . ||| 责怪 比 「 完全 负责 」 容易 得 多 ， 但是 当 我 与 Len医师 谈话 时 ， 我 开始 了解 ， 对 他 与 「 ho ' oponopono 」 而言 ， 治愈 意味着 「 爱 你 自己 」 。 

Zilpah 2�3i | w_freq: 1 - 1 | wiki_freq: 91 - 0 | sentence_idx: 527059 | align_1: 82-128 | align_2: 83-135 | entity: Zilpah - none |    Now the sons of Jacob were twelve [ and at least one daughter , Dinah ] : The sons of Leah ; Reuben , Jacob 's firstborn , and Simeon , and Levi , and Judah [ the line of Jesus Christ ] , and Issachar , and Zebulun : The sons of Rachel ; Joseph , and Benjamin : And the sons of Bilhah , Rachel 's handmaid [ servant ] ; Dan , and Naphtali : And the sons of Zilpah , Leah 's handmaid [ servant ] : Gad , and Asher : these are the sons of Jacob , which were born to him in Padan-aram . ~ Genesis 35:22 - 26 ||| 一 . 选择题 ： 本题 共 12 小题 ， 每 小 题 5 分 ， 在 每 小 题 给出 的 四 个 选项 中 ， 只有 一 项 是 符合 题 目 要求 . 1 ． 已 知 集合 A={1 ， 2 ， 3 } ， B={1 ， 3 } ， 则 A∩B = （ ） A．{2 } B．{1 ， 2 } C．{1 ， 3 } D．{1 ， 2 ， 3 } 【 考点 】 交集 及其 运算 ． 【 分析 】 直接 利用 集合 的 交集 的 求法 求解 即可 ． 【 解答 】 解 ： 集合 A={1 ， 2 ， 3 } ， B={1 ， 3 } ， 则 A∩B = { 1 ， 3 } ． 故选 ： C ． 2．若（1+i ） + （ 2�3i ） =a+bi （ a ， b∈R ， i 是 虚数 单位 ） ， 则 a ， b 的 值 分别 等于 （ A．3 ， � 2 B．3 ， 2 C．3 ， � 3 D．�1 ， 4 ） 

Veloce Veloce | w_freq: 5 - 5 | wiki_freq: 366 - 2 | sentence_idx: 531178 | align_1: 15-11 | align_2: 16-15 | entity: Veloce - none |    Forking out the money for something you believe is a 1960 Alfa Romeo Giulietta Spider Veloce only to learn that it is a replica or fake can be a very costly mistake . ||| 花钱 买 一些 您 认为 是 1960 Alfa Romeo Giulietta Spider Veloce 的 东西 ， 只是 要 知道 这是 假货 可能 是 一个 非常 昂贵 的 错误 。 

Lappin Lappin | w_freq: 1 - 1 | wiki_freq: 338 - 1 | sentence_idx: 531269 | align_1: 1-6 | align_2: 2-19 | entity: Elena Lappin - Elena Lappin |    Elena Lappin — Author of What Language Do I Dream In ? ||| 我 喜欢 叶 连娜·拉平 （ Elena Lappin ） 的 《 我 梦 到 了 哪 种 语言 ？ 》 （ What Language Do I Dream In ? 

Parfumeur Parfumeur | w_freq: 2 - 4 | wiki_freq: 30 - 0 | sentence_idx: 531982 | align_1: 16-28 | align_2: 16-43 | entity: Parfumeur - none |    Reviews of the The Diary of a Nose : A Year in the Life of a Parfumeur ||| 作品 ： 调香师 日记 : 爱马仕 香水 大师 艾连纳 的 创作 生活 与 哲学 、 The Diary of a Nose : A Year in the Life of a Parfumeur 、 The Diary of a Nose : A Year in the Life of a Parfumeur 

EHR EHR | w_freq: 6 - 8 | wiki_freq: 554 - 13 | sentence_idx: 532958 | align_1: 14-16 | align_2: 15-22 | entity: EHR - none |    Cerner convened a team of 24 technology businesses to support its work on the EHR modernization project , which will begin at test sites in 2020 . ||| 塞纳 召集 了 一个 由 24 家 技术 企业 组成 的 团队 ， 以 支持 其 EHR （ 电子 健康 档案 ） 现代化 项目 的 工作 ， 该 项目 将 于 2020年 在 测试点 启动 。 

Pratice Practice | w_freq: 1 - 22 | wiki_freq: 1 - 130 | sentence_idx: 536643 | align_1: 9-18 | align_2: 10-22 | entity: Ashtanga Yoga Pratice - none |    21 Things to Know Before Starting an Ashtanga Yoga Pratice . ||| 著有 《 阿斯坦加 瑜伽 的 二十一 诀窍 》 （ 21 Things to Know Before Starting an Ashtanga Yoga Practice ） 一 书 。 

Bizzy Bizzy | w_freq: 1 - 2 | wiki_freq: 339 - 6 | sentence_idx: 540672 | align_1: 2-5 | align_2: 3-11 | entity: Bizzy Bear - none |    Title : Bizzy Bear : Let 's Go and Play ||| 首页 > 热门 系列 > Bizzy Bear 忙碌 小熊 > Bizzy Bear : Let ’ s Go and Play ! 

Prosecco 普内利亚诺 | w_freq: 3 - 1 | wiki_freq: 265 - 0 | sentence_idx: 542489 | align_1: 16-15 | align_2: 17-20 | entity: Prosecco - 普内利亚诺 |    If you love wine and Italian “ Cicchetti ” , you must go to the “ Prosecco and Colli of Conegliano Valdobbiadene wine route ” in order to taste the famous Prosecco and our local food specialties . ||| 如果 您 喜欢 葡萄酒 和 意大利 的 “ Cicchetti ” ， 您 必须 去 “ 普内利亚诺 ， 瓦尔多比亚德尼 的 罗赛克科 和 科利 的 葡萄酒 之 路 ” ， 以便 于 品尝 著名 的 普罗赛克 和 我们 当地 的 特色 菜 。 

Lukoil 卢克 | w_freq: 1 - 56 | wiki_freq: 567 - 420 | sentence_idx: 545473 | align_1: 12-10 | align_2: 13-16 | entity: Lukoil - 卢克 石油 公司 |    Later , the American company increased its stake to 20 % in Lukoil and sold to the Russian company part of its network of gas stations in the United States and Western Europe . ||| 后来 ， 这家 美国 公司 将 其 股权 增加 到 卢克 石油 公司 的 20％ ， 并 将 其 出售 给 俄罗斯 公司 部分 美国 和 西欧 的 加油站 网络 。 

ACUMEN ACUMEN | w_freq: 2 - 4 | wiki_freq: 4 - 0 | sentence_idx: 546556 | align_1: 8-11 | align_2: 9-16 | entity: ACUMEN - ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 |    Allegis Global Solutions developed its analytics program , ACUMEN Workforce Intelligence , with the goal of understanding three things : How are programs performing ? ||| Allegis Global Solutions 公司 开发 了 个 分析 项目 ， 即 ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 ， 其 目标 是 掌握 三 件 事情 ： 项目 是 如何 执行 的 ? 

