Qi'da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 4806 | align_1: 8-6 | align_2: 9-11 | entity: Zhil Qi'da - none |    Thus Sunday will be the 30th of Zhil Qi'da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 
valtalaki 瓦尔塔拉基 | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 459614 | align_1: 10-8 | align_2: 11-12 | entity: none - 瓦尔塔拉基 |    When Finnish socialists refused to back down or renounce the valtalaki , Finland ’s liberals and conservatives seized the moment . ||| 当 芬兰 社会党人 拒绝 退缩 或 放弃 《 瓦尔塔拉基 法案 》 时 ， 芬兰 的 自由主义者 和 保守主义者 抓住 了 时机 。 

Diamandis Diamand | w_freq: 4 - 2 | wiki_freq: 606 - 1 | sentence_idx: 459834 | align_1: 2-2 | align_2: 3-10 | entity: Peter Diamandis - Peter Diamand |    As Peter Diamandis wrote in Abundance : “ Technology is a resource-liberating mechanism . ||| 正如 Peter Diamand is 在 “ 富余 ” 中 所 写 ： “ 技术 是 一 种 资源 解放 机制 。 

CENTCOM Centcom | w_freq: 6 - 2 | wiki_freq: 480 - 0 | sentence_idx: 460519 | align_1: 1-0 | align_2: 2-4 | entity: CENTCOM - none |    " CENTCOM will restore service to its Twitter and YouTube accounts as quickly as possible . ||| Centcom 表示 ， 它 将 “ 尽快 ” 恢复 其 Twitter 和 YouTube 帐户 的 服务 。 

Agilulf Agilulf | w_freq: 1 - 2 | wiki_freq: 151 - 3 | sentence_idx: 461207 | align_1: 0-0 | align_2: 1-6 | entity: Agilulf - none |    Agilulf ( 591 - c.616 ) , cousin of previous ||| Agilulf （ 英语 ： Agilulf ） ( 591 - c.616 ) , cousin of previous 

Allâh 安拉 | w_freq: 43 - 159 | wiki_freq: 36 - 280 | sentence_idx: 466966 | align_1: 13-16 | align_2: 14-24 | entity: Allâh - 安拉 |    And Moses said , ` O my people ! put your trust in Allâh , if you have ( really ) believed in Him ( and ) if you have ( truly ) submitted ( to His will ) . ' ||| 安拉 说 ： “ 穆萨 说 ： ‘ 我 的 宗族 啊 ！ 如果 你们 信仰 安拉 ， 你们 就 应当 只 信赖 他 ， 如果 你们 是 归顺 的 。 

.net net | w_freq: 9 - 28 | wiki_freq: 166 - 406 | sentence_idx: 467371 | align_1: 0-1 | align_2: 1-7 | entity: none - . net |    .net Networks ( the backbone of the Internet ) ||| . net ： 网络 服务商 （ Net works ( the backbone of the Internet ) ） 

Clodagh 克洛达 | w_freq: 2 - 2 | wiki_freq: 227 - 0 | sentence_idx: 468537 | align_1: 10-10 | align_2: 11-15 | entity: Clodagh - 克洛达 |    For each writer , whether you are starting out like Clodagh or finishing up like me , we are always worried about the next book . ||| 对于 每 位 作家 来说 ， 无论 你 是 像 克洛达 一样 刚刚 开始 ， 还是 像 我 一样 已经 有所 成就 ， 我们 都会 担心 自己 的 下 本书 。 

CancelTheContract CancelTheContract | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 472233 | align_1: 24-21 | align_2: 25-28 | entity: CancelTheContract - none |    Color of Change , Fight for the Future , Center for Media Justices , and other groups have been collecting signatures for the # CancelTheContract campaign . ||| Color of Change 、 Fight for the Future 、 Center for Media Justices ， 以及 其他 组织 一直 在 为 # CancelTheContract （ 取消 合同 ） 这 一 活动 征集 签名 。 

Burberry Burberry | w_freq: 17 - 17 | wiki_freq: 909 - 89 | sentence_idx: 475342 | align_1: 12-8 | align_2: 13-17 | entity: Burberry - none |    This logic is also applicable to the new Celine and the new Burberry . ||| 此番 逻辑 应用 到 新 Celine 和 新 Burberry 身上 ， 也 是 说 得 通 的 。 

Carpo Carpo | w_freq: 1 - 1 | wiki_freq: 49 - 3 | sentence_idx: 480129 | align_1: 1-3 | align_2: 2-7 | entity: Mario Carpo - Mario Carpo |    Mario Carpo explores the reasons why . ||| 马里奥·卡波 （ Mario Carpo ） 带 您 探究 其中 的 原因 。 

CarsBlues CarsBlues | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 482215 | align_1: 8-14 | align_2: 9-18 | entity: CarsBlues - none |    Privacy4Cars warns that a new Bluetooth technology called CarsBlues could affect millions of cars . ||| Privacy4Cars 警告 说 ， 一 种 新 的 蓝牙 黑客 技术 ， 被 称为 CarsBlues ， 有 可能 会 影响 数百万 辆 汽车 。 

Neb Neb | w_freq: 2 - 2 | wiki_freq: 147 - 1 | sentence_idx: 485536 | align_1: 34-26 | align_2: 35-31 | entity: Neb - none |    If you ’re lucky enough to live in the path of the total solar eclipse , peak darkness will last a bit longer than a minute ( more if you live in Scottsbluff , Neb ) . ||| 如果 你 足够 幸运 地 生活 在 日全食 的 道路 上 ， 高峰 黑暗 将 持续 一点 多于 一 分钟 （ 如果 你 住在 Scottsbluff ， Neb ， 则 更 多 ） 。 

Matlab Matlab语言 | w_freq: 4 - 2 | wiki_freq: 374 - 1 | sentence_idx: 486933 | align_1: 3-3 | align_2: 4-9 | entity: Matlab - none |    If you use Matlab you will need your own licence . ||| 如果 你 使用 Matlab语言    ， 则 你 将 需要 自备 许可证  。 

Ballaro Ballaro | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 491072 | align_1: 22-15 | align_2: 23-19 | entity: Ballaro Robert - none |    You also have a chance to look at the ship in the form in which it was opened 24 years ago gaze Ballaro Robert and Jean Louis Michel . ||| 您 也 有 机会 看 船 在 它 被 打开 了 24年 前 的 目光 Ballaro （ 巴拉罗 ） 罗伯特 和 Jean 路易·米歇尔 的 形式 。 

Taza 塔查 | w_freq: 4 - 2 | wiki_freq: 485 - 6 | sentence_idx: 494051 | align_1: 5-5 | align_2: 6-11 | entity: Taza - 塔查 |    PISA needs more buyers like Taza to grow its business and expand its environmental and social impact . ||| PISA 需要 更 多 如同 塔查 巧克力 一样 的 客户 ， 以 扩大 其 营运 并 拓展 其 环境 及 社会 影响力 。 

Samay Samay | w_freq: 5 - 10 | wiki_freq: 299 - 0 | sentence_idx: 496959 | align_1: 4-4 | align_2: 5-11 | entity: Soluna Samay - none |    15 Denmark English Soluna Samay " Should 've Known Better " — 23 21 ||| 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 23 21 

Murdstone JaneMurdstone | w_freq: 21 - 1 | wiki_freq: 120 - 0 | sentence_idx: 500985 | align_1: 23-34 | align_2: 24-38 | entity: Jane Murdstone - none |    ' I will have a respectful , prompt , and ready bearing towards myself , ' he continued , ' and towards Jane Murdstone , and towards your mother . ||| ” “ 我 会 有 礼貌 的  ， 提示   ， 并 为 自己 准备 好的 方位   ， “ 他 继续 说    ， ” 朝向 简·莫德斯通 ( JaneMurdstone )   ， 朝着 你 的 母亲 走   。 

Murdstone 简·莫德斯通 | w_freq: 21 - 1 | wiki_freq: 120 - 0 | sentence_idx: 500985 | align_1: 23-32 | align_2: 24-38 | entity: Jane Murdstone - 简·莫德斯通 |    ' I will have a respectful , prompt , and ready bearing towards myself , ' he continued , ' and towards Jane Murdstone , and towards your mother . ||| ” “ 我 会 有 礼貌 的  ， 提示   ， 并 为 自己 准备 好的 方位   ， “ 他 继续 说    ， ” 朝向 简·莫德斯通 ( JaneMurdstone )   ， 朝着 你 的 母亲 走   。 

Gramsci Gramsci狱 | w_freq: 4 - 2 | wiki_freq: 797 - 0 | sentence_idx: 504784 | align_1: 1-8 | align_2: 2-16 | entity: Antonio Gramsci - Gramsci狱 |    Antonio Gramsci wrote , “ I ’m a pessimist because of intelligence , but an optimist because of will . ” ||| 最近 阅读 文章 ， 看到 意大利 哲学家 Antonio Gramsci狱 中 书信 里 发人深省 的 一句话 ， 写道 ： I ’ m a pessimist be cause of intelligence , but an optimist be cause of will 。 

CENTCOM Centcom | w_freq: 6 - 2 | wiki_freq: 480 - 0 | sentence_idx: 520942 | align_1: 1-0 | align_2: 2-4 | entity: CENTCOM - none |    “ CENTCOM will restore service to its Twitter and YouTube accounts as quickly as possible . ||| Centcom 表示 ， 它 将 “ 尽快 ” 恢复 其 Twitter 和 YouTube 帐户 的 服务 。 

Jorginho Jorginho | w_freq: 14 - 14 | wiki_freq: 305 - 1 | sentence_idx: 527218 | align_1: 12-6 | align_2: 13-11 | entity: Jorginho - none |    It is therefore no surprise to see United linked not only with Jorginho but also with Radja Nainggolan . ||| 因此 ， 看到 曼联 不仅 与 Jorginho 联系 在 一起 ， 而且 与 Radja Nainggolan 联系 在一起 也 就 不足为奇 了 

World-Energy Energy | w_freq: 2 - 137 | wiki_freq: 0 - 505 | sentence_idx: 530298 | align_1: 7-11 | align_2: 8-18 | entity: World-Energy - World - Energy |    As a globally influential energy portal , World-Energy has tens of thousands of visits from countries and regions all over the world every day and continues to grow . ||| 作为 具有 全球 影响力 的 能源 门户 网站 ， World - Energy （ 世界 能源网 ） 每天 都会 有 来自 世界 各个 国家 和 地区 数万 次 的 访问量 ， 并 持续 在 增长 。 

Lobb Lobb | w_freq: 3 - 3 | wiki_freq: 609 - 4 | sentence_idx: 534064 | align_1: 1-5 | align_2: 2-10 | entity: John Lobb - none |    John Lobb made him unable to buy more new shoes . ||| 这就 是 他 对于 John Lobb 的 抱怨 ， 我们 让 他 没法 买 更 多 的 新鞋 了 。 

Borrego Borrego | w_freq: 2 - 2 | wiki_freq: 703 - 2 | sentence_idx: 535842 | align_1: 5-6 | align_2: 6-10 | entity: Jose Borrego - Jose Borrego |    According to state spokesperson Jose Borrego , the migrants have been kept at an unused factory to block other incoming migrant groups from trying to cross the border . ||| 根据 国家 发言人 何塞·博雷戈 （ Jose Borrego ） 的 说法 ， 移民 被 关押 在 一家 未 使用 的 工厂 ， 以 阻止 其他 外来 移民 群体 试图 越境 。 

Oury Oury | w_freq: 2 - 1 | wiki_freq: 277 - 8 | sentence_idx: 537681 | align_1: 12-11 | align_2: 13-17 | entity: Gérard Oury - Gérard Oury |    She then lived with actor / writer / film director , Gérard Oury until he died in 2006 . ||| 然后 ， 她 与 电影 演员 / 作家 杰拉德·欧利 （ Gérard Oury ） 住 在 一起 ， 直到 他 在 2006年 死亡 。 

Tronc Tronc | w_freq: 3 - 3 | wiki_freq: 83 - 1 | sentence_idx: 541563 | align_1: 13-15 | align_2: 14-22 | entity: Tronc - none |    The New York Daily News was cut in half by something called a Tronc . ||| 《 纽约 每日 新闻 》 （ New York Daily News ） 因为 一个 叫做 「 Tronc 」 的 东西 而 规模 减半 。 

ALLAH 安拉 | w_freq: 21 - 159 | wiki_freq: 27 - 280 | sentence_idx: 546110 | align_1: 19-19 | align_2: 20-33 | entity: none - 安拉 |    You did not think that they would go forth and they thought that their fortresses would defend them against ALLAH . ||| 你们 没有 猜想 到 他们 会 退 出去 ， 他们 猜想 自己 的 堡垒 能 防御 真主 ； 但 安拉 的 刑罚 ， 竟 从 他们 料 不 到 的 地方 降临 他们 。 

Muruganantham TED | w_freq: 1 - 64 | wiki_freq: 39 - 274 | sentence_idx: 551615 | align_1: 0-6 | align_2: 1-17 | entity: Muruganantham - none |    Muruganantham How I started a sanitary napkin revolution ! ||| ‧ 【 英语 教室 】 【 TED 】 我 如何 开始 一 场 卫生棉 革命 ？ ( How I started a sanitary napkin revolution ! 

Octa 奥克塔 | w_freq: 3 - 2 | wiki_freq: 155 - 20 | sentence_idx: 552254 | align_1: 6-4 | align_2: 7-9 | entity: Octa - 奥克塔 |    I considered telling Annie about Madam Octa but decided to wait a while longer . ||| 我 想 告诉 安妮 奥克塔 夫人 的 事 ， 但 决定 再 等 一会儿 。 

Abraham—and 亚伯拉罕 | w_freq: 1 - 244 | wiki_freq: 0 - 946 | sentence_idx: 552668 | align_1: 24-29 | align_2: 25-35 | entity: Abraham—and - 亚伯拉罕 |    I had a real happy feeling then , because I thought the whole thing had just been a test of faith—like when God tested Abraham—and Ron had just passed the test . ||| 那时 我 有 一 种 真正 快乐 的 感觉   ， 因为 我 认为 整个 事情 只是 对 信心 的 考验   ， 就 像 上帝 考验 亚伯拉罕 一样   ， 而 罗恩 刚刚 通过 了 考验  。 

Hooperman Hooperman | w_freq: 1 - 2 | wiki_freq: 48 - 0 | sentence_idx: 553545 | align_1: 1-2 | align_2: 2-9 | entity: Hooperman - none |    1988 Hooperman Himself Episode : " High Noon " ||| 1988 - Hooperman （ 英语 ： Hooperman ） 他 自己 集数 ： " High Noon " 

Casca 凯歇斯 | w_freq: 1 - 1 | wiki_freq: 283 - 0 | sentence_idx: 555127 | align_1: 2-7 | align_2: 3-24 | entity: Casca - 凯歇斯 |    He told Casca “ why should Caesar be a tyrant then ? ||| 莎士比亚 在 《 恺撒大帝 》 中 关于 凯歇斯 在 挑拨 凯斯卡 刺杀 凯撒 的 对话 中 ， 有 一 段 非常 精彩 的 描写 ： And why should Caesar be a tyrant then ? 

Donepezil Donepezil | w_freq: 1 - 2 | wiki_freq: 32 - 1 | sentence_idx: 578059 | align_1: 8-2 | align_2: 9-7 | entity: Donepezil Study Group - none |    In addition , we contacted members of the Donepezil Study Group and Eisai Inc. ||| 也 联络 Donepezil 研究 小组 ( Donepezil Study Group ) 与 Eisai Inc 的 成员 。 

ANANDA 阿南达 | w_freq: 1 - 1 | wiki_freq: 3 - 21 | sentence_idx: 579388 | align_1: 18-22 | align_2: 19-26 | entity: ANANDA - 阿南达 |    That is why Buddha never says that in that state , the ultimate state , there will be ANANDA -- bliss . ||| 那 就是 为什么 佛陀 从来 不说 ： 在 那个 状态 里 ， 在 那个 最终 的 状态 里 ， 将 会 有 阿南达 （ ananda ） —— 喜乐 。 

MouseEvent MouseEvent | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 586111 | align_1: 11-7 | align_2: 12-12 | entity: MouseEvent - none |    For example , the " click " event belongs to the MouseEvent object . ||| 例如 ， " click " 事件 属于 MouseEvent ( 鼠标 事件 ) 对象 。 

Clam Clam | w_freq: 2 - 3 | wiki_freq: 950 - 12 | sentence_idx: 591307 | align_1: 3-3 | align_2: 4-11 | entity: Clam - none |    " Do the Clam " / " You 'll Be Gone " ||| 〈 Do the Clam （ 英语 ： Do the Clam ） 〉 / 〈 You'll Be Gone （ 英语 ： You'll Be Gone ） 〉 

Jor-el 乔˙艾尔 | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 592905 | align_1: 13-13 | align_2: 14-18 | entity: Jor-el - 乔˙艾尔 |    I was actually born on Krypton and sent here by my father , Jor-el , to save the Planet Earth . " ||| 其实 我 是 出生 在 氪普顿 星球 上 ， 然后 被 我 父亲 乔˙艾尔 （ 超人 的 生父 ） 派 过来 拯救 这个 星球 － 地球 」 。 

Bayrle Bayrle | w_freq: 1 - 1 | wiki_freq: 30 - 0 | sentence_idx: 594490 | align_1: 1-6 | align_2: 2-10 | entity: Thomas Bayrle - Thomas Bayrle |    Thomas Bayrle “ One Day on Success Street ” ||| 【 实况 】 托马斯·拜勒 （ Thomas Bayrle ） 个 展 “ 在 成功 大街 上 的 一 天 ” 

Annabeth 阿比之意 | w_freq: 22 - 1 | wiki_freq: 452 - 0 | sentence_idx: 606773 | align_1: 4-2 | align_2: 5-7 | entity: Annabeth - none |    And certainly not by Annabeth . ||| 然 无 阿比之意 ， 故 不 党 。 

Abeba 亚的斯亚贝巴 | w_freq: 3 - 15 | wiki_freq: 329 - 196 | sentence_idx: 611549 | align_1: 3-1 | align_2: 4-6 | entity: Addis Abeba - 亚的斯亚贝巴 |    Ethiopia in Addis Abeba and Ethiopia outside of Addis Abeba are different . ||| 在 亚的斯亚贝巴 看到 的 埃塞俄比亚 ， 和亚 的 斯亚贝巴 以外 的 埃塞俄比亚 是 截然不同 的 。 

Airbnb Airbnb | w_freq: 163 - 176 | wiki_freq: 845 - 97 | sentence_idx: 622755 | align_1: 1-2 | align_2: 2-23 | entity: Airbnb - none |    The Airbnb Story : How three guys disrupted an industry , made billions of dollars … and plenty of enemies ||| 作品 ： Airbnb 创业 生存 法则 : 多次 启动 、 敏捷 应变 、 超速 成长 的 新 世代 商业 模式 、 The Airbnb Story : How Three Guys Disrupted an Industry , Made Billions of Dollars ... and Plenty of Enemies 

Madiba 马迪巴 | w_freq: 6 - 6 | wiki_freq: 108 - 4 | sentence_idx: 630054 | align_1: 6-5 | align_2: 7-9 | entity: Madiba - 马迪巴 |    " Over the past 24 years Madiba taught us how to come together and to believe in ourselves and each other . ||| “ 过去 24年 来 ， 马迪巴 （ 曼德拉 ） 教会 我们 如何 团结 ， 如何 相信 自己 和 彼此 。 

KUNDALINI 亢达 | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 630671 | align_1: 5-6 | align_2: 6-12 | entity: KUNDALINI - none |    In yoga we call it KUNDALINI - the serpent power . ||| 瑜伽 中 我们 称 它 做 亢达 �堨 均 ] Kundalini ） —— 蛇 的 力量 。 

Asla Asla | w_freq: 3 - 3 | wiki_freq: 40 - 1 | sentence_idx: 631977 | align_1: 2-2 | align_2: 3-8 | entity: York Banks Asla - none |    York Banks Asla , welcome to the world . ” ||| York Banks Asla ( 她 的 儿子 ) ， 欢迎 来到 这个 世界 。 

Asla Asla | w_freq: 3 - 3 | wiki_freq: 40 - 1 | sentence_idx: 631978 | align_1: 2-2 | align_2: 3-8 | entity: Asla - none |    York Banks Asla , welcome to the world . " ||| York Banks Asla ( 她 的 儿子 ) ， 欢迎 来到 这个 世界 。 

Barquisimeto Barquisimeto | w_freq: 1 - 1 | wiki_freq: 498 - 0 | sentence_idx: 635957 | align_1: 3-5 | align_2: 4-9 | entity: Barquisimeto - none |    I am in Barquisimeto because I came to look for you to come out to the streets . ||| 我 之所以 在 巴埠 （ Barquisimeto ） ， 是 因为 我 来 找 他们 一起 走上 街头 。 

Mounsey Mounsey | w_freq: 2 - 2 | wiki_freq: 396 - 2 | sentence_idx: 637785 | align_1: 11-11 | align_2: 12-18 | entity: William Mounsey - William Mounsey |    After the repairs she was commissioned in November 1811 under William Mounsey . ||| 维修 后 ， 她 于 1811年 11月 在 威廉·蒙西 （ William Mounsey ） 的 委托 下 进行 调试 。 

Karayannis–an Karayannis | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 639588 | align_1: 37-28 | align_2: 38-33 | entity: Karayannis–an - none |    Automated , on the other hand , refers to something that uses a machine to do the work of a human , hence , it should be referenced as–at least for the next 30-ish years , added Karayannis–an automated and not an autonomous vehicle . ||| 自动化 的 另一方面 ， 是 指 使用 机器 来 完成 人类 工作 的 事物 ， 因此 ， 至少 在 接下来 的 30年 里 ， 应 将 其 称为 Karayannis ， 这是 一 种 自动化 而 非 自治 车辆 。 

Fatasia 李斯特 | w_freq: 1 - 6 | wiki_freq: 1 - 815 | sentence_idx: 640002 | align_1: 2-8 | align_2: 3-13 | entity: Fatasia - 李斯特 |    Fugue from Fatasia on ' Ad nos , ad salutarem undam ||| 演奏 最 难 的 管风琴 作品 之一 : 李斯特 《 Fantasia and Fugue on “ Ad nos ， ad salut arem undam ” 》 

R&D&I I+D+I | w_freq: 1 - 1 | wiki_freq: 22 - 0 | sentence_idx: 640754 | align_1: 6-3 | align_2: 7-9 | entity: R&D&I Department - none |    From 1999 ( foundation of the R&D&I Department ) to 2018 , the main projects completed or being developed are : ||| 自 1999年 （ I+D+I （ 研发 和 创新 ） 部门 成立 ） 至 2018年 ， 已经 开发 或 正在 开发 的 主要 项目 为 ： 

Lucerna Lucerna | w_freq: 1 - 2 | wiki_freq: 163 - 0 | sentence_idx: 661416 | align_1: 12-14 | align_2: 13-19 | entity: Lucerna Music Bar - none |    The festival is held in several venues across Prague but mostly at Lucerna Music Bar ( various venues ; website ) . ||| 这个 节日 在 布拉格 的 几 个 场地 举办 ， 但是 大部分 是 在 Lucerna 音乐 酒吧 - Lucerna Music Bar （ 各个 场地 ； website ） 。 

Sinek Sinek | w_freq: 1 - 1 | wiki_freq: 76 - 1 | sentence_idx: 662269 | align_1: 6-7 | align_2: 7-13 | entity: Simon Sinek - none |    ( Start with Why , Simon Sinek ) . ||| ( 意译 Start With Why , Simon Sinek 著 , 第 41 页 ) 。 

Iblis 易卜劣斯 | w_freq: 10 - 3 | wiki_freq: 539 - 23 | sentence_idx: 663425 | align_1: 0-0 | align_2: 1-13 | entity: Iblis - 易卜劣斯 |    Iblis was then banished from paradise because of his defiance . ||| 易卜劣斯 因为 拒绝 真主 的 跪拜 阿丹 （ 亚当 ） 的 命令 而 被 逐出 伊甸园 。 

Ignorabimus ignorambinus | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 663976 | align_1: 14-13 | align_2: 15-18 | entity: Ignorabimus - none |    You can find it by pure thinking , since in mathematics there is no Ignorabimus ! ” ||| 你 能够 通过 纯 思维 找到 它 ， 因为 在 数学 中 没有 ignorambinus ( 不可 知 ) ！ ” 

Barcelona-Catalunya Barcelona-Catalunya | w_freq: 1 - 1 | wiki_freq: 239 - 0 | sentence_idx: 666046 | align_1: 19-17 | align_2: 20-24 | entity: Circuit de Barcelona-Catalunya - none |    Q : We are staying in Catalonia with our motorbikes and would like to run at the Circuit de Barcelona-Catalunya . ||| 问 ： 我们 现在 带 着 我们 的 摩托车 住 在 加泰罗尼亚 ， 想要 在 Circuit de Barcelona-Catalunya （ 加泰罗尼亚 赛道 ） 上 骑车 。 

Ethereum Ethereum | w_freq: 109 - 40 | wiki_freq: 652 - 12 | sentence_idx: 681163 | align_1: 11-12 | align_2: 12-17 | entity: Ethereum - none |    First way is called Baby Zoe ( Zoe = Zcash on Ethereum ) . ||| 第一 种 方法 叫做 Baby Zoe （ Zoe 即 " Zcash on Ethereum " 的 首字母 缩写 ） 。 

Collapsed Collapsed | w_freq: 5 - 1 | wiki_freq: 141 - 1 | sentence_idx: 682082 | align_1: 1-2 | align_2: 2-6 | entity: Collapsed - none |    In Collapsed you play as one of 4 unique Hunters who have to track down their prey . ||| 在 《 Collapsed 》 中 ， 你 需要 扮演 4 个 独特 猎人 中 的 一 位 ， 追踪 猎物 。 

Poupon 灰锅 | w_freq: 2 - 1 | wiki_freq: 87 - 0 | sentence_idx: 684629 | align_1: 5-3 | align_2: 6-10 | entity: Grey Poupon - none |    It is because of Grey Poupon that the standard American supermarket today has an entire mustard section . ||| 正是 由于 “ 灰锅 ” 的 缘故    ， 今天 的 标准 美国 超市 才 拥有 完整 的 芥末 部分  。 

Madiba 马迪巴 | w_freq: 6 - 6 | wiki_freq: 108 - 4 | sentence_idx: 686773 | align_1: 5-5 | align_2: 6-9 | entity: Madiba - 马迪巴 |    Over the past 24 years Madiba taught us how to come together and to believe in ourselves and each other . ||| “ 过去 24年 来 ， 马迪巴 （ 曼德拉 ） 教会 我们 如何 团结 ， 如何 相信 自己 和 彼此 。 

Omega-3 Omega-3 | w_freq: 11 - 19 | wiki_freq: 144 - 9 | sentence_idx: 687042 | align_1: 1-1 | align_2: 2-11 | entity: Omega-3 - none |    “ Omega-3 Content of Frequently Consumed Seafood Products . ” ||| 有关 Omega-3 含量 的 详细 海鲜 种类 ， 请 参考 Omega-3 Content of Frequently Consumed Seafood Products 。 

Sigeium 日干 | w_freq: 1 - 2 | wiki_freq: 0 - 15 | sentence_idx: 689765 | align_1: 0-3 | align_2: 1-9 | entity: Sigeium - none |    Sigeium , by the Hienses on account of the refractory disposi- ||| “ 辛 ” 日干 与 “ 丙 ” 合 ， “ 辛 ” 又 以 “ 丙 ” 为 “ 正 夫星 ” ； 

Allaah 安拉 | w_freq: 53 - 159 | wiki_freq: 28 - 280 | sentence_idx: 693551 | align_1: 1-4 | align_2: 2-9 | entity: Allaah - 安拉 |    And Allaah is the Guide to the straight path . ||| 顺服 安拉 ： “ 安拉 的 引导 ， 才 是 正导 。 

Anunnaki 安德丝 | w_freq: 7 - 1 | wiki_freq: 141 - 8 | sentence_idx: 704417 | align_1: 1-0 | align_2: 2-6 | entity: Anunnaki - 安德丝 |    and Anunnaki refuses to gaze upon . ||| 安德丝 （ 谐音 脱衣 ） ， 拒绝 脱衣 。 

Gatsas Gatsas | w_freq: 1 - 1 | wiki_freq: 58 - 0 | sentence_idx: 706686 | align_1: 17-17 | align_2: 18-27 | entity: Ted Gatsas - none |    Says crime is ‘ rising ’ in Manchester and has gone up 19 percent under Mayor Ted Gatsas . ||| 据称 曼彻斯特 的 犯罪率 正在 “ 上升 ”   ， 并且 在 市长 泰德·加特斯 （ Ted Gatsas ） 的 带领 下 上涨 了 19％   。 

Jalife Jalife | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 711861 | align_1: 4-4 | align_2: 5-8 | entity: Carlos Jalife - Carlos Jalife |    Q : ( Carlos Jalife ) Max , I was wondering , the pass was deemed illegal , although everybody liked it in Austin , but what can be done , what deterrent can be used so that this does n't happen again - for all the drivers . ||| 问 ： （ Carlos Jalife - Fast Mag ） 马克斯 ， 我 想 知道 ， 这个 传球 被 认为 是 非法 的 ， 尽管 每个 人 都 喜欢 它 在 奥斯汀 ， 但是 可以 做 些 什么 ， 可以 使用 什么 威慑力 来 让 这不 会 再 发生 - 对 所有人 来说 司机 。 

Thalians 塔利亚人 | w_freq: 1 - 1 | wiki_freq: 24 - 0 | sentence_idx: 719957 | align_1: 13-12 | align_2: 14-17 | entity: The Thalians - 塔利亚人 |    In 1955 , she and other young stars established a charity called The Thalians to fight the stigma of mental illness . ||| 1955年 ， 她 和 其他 年轻 的 明星 建立 了 一个 叫做 塔利亚人 的 慈善 机构 ， 以 对抗 精神 疾病 的 耻辱感 。 

Jahilia Jahilia | w_freq: 1 - 1 | wiki_freq: 6 - 0 | sentence_idx: 721257 | align_1: 15-19 | align_2: 16-23 | entity: Jahilia - none |    But in Yathrib the women are different , you do n’t know , here in Jahilia you ’re used to ordering your females about but up there they wo n’t put up with it . ||| 但是 在 Yathrib  ， 女人 是 不同 的  ， 你 不 知道    ， 在 Jahilia   ， 你 习惯于 命令 你 的 女性   ， 但 在 那里 他们 不 会 容忍    。 

L’Espadon L'Espadon | w_freq: 1 - 1 | wiki_freq: 0 - 6 | sentence_idx: 724763 | align_1: 15-17 | align_2: 16-22 | entity: L’Espadon - none |    When he opened the hotel 's new restaurant , in 1956 , Charles named it L’Espadon . ||| 正 因 如此 ， 1956年 酒店 新 餐厅 开业 之 时 ， 查尔斯 将 之 命名 为 L'Espadon （ 剑 鱼 ） 。 

HOTELS HOTELS | w_freq: 1 - 1 | wiki_freq: 28 - 1 | sentence_idx: 726592 | align_1: 7-5 | align_2: 8-9 | entity: HOTELS - HOTELS 《 酒店 》 杂志 |    In 2005 , he introduced the famous HOTELS magazine of the United States into China . ||| 2005年 引进 美国 著名 的 HOTELS 《 酒店 》 杂志 进入 中国 。 

ColsonCenter.org Center.org | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 727204 | align_1: 28-25 | align_2: 29-31 | entity: ColsonCenter.org - none |    This may be American as apple pie , but as I explain today in my “ Two-Minute Warning , ” which I urge you to go see at ColsonCenter.org , there ’s nothing Christian about it . ||| 这 可能 像 苹果派 一样 具有 美国 特色 ， 但 就 如 今天 我 在 我 的 “ 2 分钟 警告 ” （ 见 Colson Center.org ） 中 所 解释 的 ， 这 和 基督徒 毫无 关系 。 

