Moody 穆迪 | w_freq: 54 - 38 | wiki_freq: 13986 - 245 | sentence_idx: 394 | align_1: 17-14 | align_2: 18-18 | entity: Moody - 穆迪 |    Vance said he had to make peace with his father 's death , but has no doubt Moody is guilty . ||| 万斯 说 , 他 与 他 父亲 的 死使 和平 , 但 毫无疑问 , 穆迪 说 , 他 是 有罪 的 。 
Resurrection 复明日 | w_freq: 85 - 4 | wiki_freq: 7651 - 0 | sentence_idx: 369556 | align_1: 11-10 | align_2: 12-15 | entity: Day of Resurrection - none |    5 He asks : " When will be this Day of Resurrection ? " ||| 《 明日 歌 》 里 有 说 : “ 明日 复明日 ， 明日 何其 多 ? 

Analytics Analytics | w_freq: 189 - 104 | wiki_freq: 3180 - 60 | sentence_idx: 369693 | align_1: 12-13 | align_2: 13-17 | entity: Analytics - none |    Home | ANALYTICS | Partner Experience | Worldwide | Ready for IBM Analytics is now live on PartnerWorld ! ||| 首页 | 分析 | 合作 伙伴 体验 | 世界 各地 | 准备 IBM Analytics （ 分析 ） 是 现在 住 上 的 Partner World ! 

Judgment 修善 | w_freq: 82 - 5 | wiki_freq: 7235 - 37 | sentence_idx: 370834 | align_1: 8-4 | align_2: 9-15 | entity: Day of Judgment - none |    They have no fear of the Day of Judgment and no dread of hell . ||| 平日 不 肯 积福 修善 ， 诵经 念佛 ， 临命 终 时 ， 地狱 相现 ， 悔惧 交至 。 

Judgment 临命 | w_freq: 82 - 2 | wiki_freq: 7235 - 30 | sentence_idx: 370834 | align_1: 8-9 | align_2: 9-15 | entity: Day of Judgment - none |    They have no fear of the Day of Judgment and no dread of hell . ||| 平日 不 肯 积福 修善 ， 诵经 念佛 ， 临命 终 时 ， 地狱 相现 ， 悔惧 交至 。 

Scripture 圣经 | w_freq: 233 - 1632 | wiki_freq: 5477 - 11680 | sentence_idx: 384190 | align_1: 5-2 | align_2: 6-10 | entity: Scripture - none |    We believe that all of Scripture is God ’s perfect Word . ||| 我们 认定 圣经 整本 ( in its entirety ) 都 是 神 的 启示 。 

Bayán OOo,汪汪队 | w_freq: 2 - 1 | wiki_freq: 80 - 0 | sentence_idx: 384720 | align_1: 6-1 | align_2: 7-5 | entity: Bayán - none |    Say : O people of the Bayán ! ||| 汪汪队 OOo,汪汪队 oooo ， 汪汪队 。 

Bayán 汪汪队 | w_freq: 2 - 2 | wiki_freq: 80 - 33 | sentence_idx: 384720 | align_1: 6-0 | align_2: 7-5 | entity: Bayán - 汪汪队 |    Say : O people of the Bayán ! ||| 汪汪队 OOo,汪汪队 oooo ， 汪汪队 。 

Salah Salah | w_freq: 21 - 16 | wiki_freq: 4517 - 19 | sentence_idx: 390760 | align_1: 5-10 | align_2: 6-16 | entity: Mo Salah - none |    “ Mo Salah , Mo Salah , running down the wing , ||| 加油 加油 ！ 埃及 埃及 ！ Mo Salah , Mo Salah （ 埃及 球星 穆罕默德·萨拉赫 ） , flying down the wing ~ 

Qur'an 伪物语 | w_freq: 127 - 1 | wiki_freq: 6037 - 11 | sentence_idx: 394551 | align_1: 7-1 | align_2: 8-7 | entity: Qur'an - none |    That is why the rejecter of the Qur'an is a Kaafir . ||| 《 伪物语 》     是 “ 伪物     的 物语 ( 伪即 不 真实     ， 不 成熟     ， 虚伪     的 ) ”     。 

Kaafir 伪物 | w_freq: 1 - 1 | wiki_freq: 23 - 11 | sentence_idx: 394551 | align_1: 10-9 | align_2: 11-44 | entity: Kaafir - none |    That is why the rejecter of the Qur'an is a Kaafir . ||| 《 伪物语 》     是 “ 伪物     的 物语 ( 伪即 不 真实     ， 不 成熟     ， 虚伪     的 ) ”     。 

Robbins AnthonyRobbins | w_freq: 36 - 1 | wiki_freq: 12232 - 0 | sentence_idx: 396379 | align_1: 1-0 | align_2: 2-7 | entity: Anthony Robbins - none |    Anthony Robbins used to say that if you spend 1 hour a day learning about a particular topic , you ’d know more about that subject than 99.999 % of the world within a year . ||| AnthonyRobbins （ 美国 作家 、 演说家 ） 曾 说 ， 如果 你 每天 花 1 小时 来 学习 关于 某个 主题 的 知识 ， 一 年后 ， 在 这 方面 ， 你 所 获得 的 知识 将 会 比 世界 上 99.999% 的 人 都 要 多 。 

Eugenie Eugenie | w_freq: 5 - 3 | wiki_freq: 2119 - 17 | sentence_idx: 402007 | align_1: 5-6 | align_2: 6-12 | entity: Eugenie Besserer - Eugenie Besserer |    Jack and his mother ( Eugenie Besserer ) ||| Jack 与 他 的 母亲 （ Eugenie Besserer （ 英语 ： Eugenie Besserer ） 饰演 ） 

Besserer Besserer | w_freq: 1 - 2 | wiki_freq: 84 - 1 | sentence_idx: 402007 | align_1: 6-7 | align_2: 7-15 | entity: Eugenie Besserer - Eugenie Besserer |    Jack and his mother ( Eugenie Besserer ) ||| Jack 与 他 的 母亲 （ Eugenie Besserer （ 英语 ： Eugenie Besserer ） 饰演 ） 

Rumple 墨阳 | w_freq: 2 - 3 | wiki_freq: 170 - 3 | sentence_idx: 409512 | align_1: 8-6 | align_2: 9-14 | entity: Rumple - 墨阳 |    But Bae calls upon dark magic , and Rumple appears . ||| 天昌盛 赶紧 求饶 ， 一旁 的 墨阳 看 着 这 一 幕 ， 异常 闹心 。 

SOS SOS | w_freq: 18 - 19 | wiki_freq: 4308 - 221 | sentence_idx: 409845 | align_1: 9-11 | align_2: 10-15 | entity: SOS Kinderdorf - none |    CLICK HERE to find out how we have supported SOS Kinderdorf through our projects . ||| 点击 此 处以 了解 我们 如何 通过 我们 的 项目 支持 SOS 儿童村 ( SOS Kinderdorf ) 。 

Wentworth 温特沃斯 | w_freq: 14 - 3 | wiki_freq: 10281 - 63 | sentence_idx: 413624 | align_1: 1-0 | align_2: 2-6 | entity: Wentworth Falls - 温特沃斯 瀑布 步道 |    The Wentworth Falls walk is particularly lovely . ||| 温特沃斯 瀑布 步道 ( Went worth Falls walk ) 的 景色 格外 可爱 。 

ISIC ISIC | w_freq: 3 - 2 | wiki_freq: 112 - 5 | sentence_idx: 414927 | align_1: 18-16 | align_2: 19-22 | entity: ISIC - none |    To mark the 8th UNESCO Youth Forum , the International Student Identity Card Association , better known as ISIC , uniting over 5 million student card-holders , has launched a youth photo competition ! ||| 为了 庆祝 第八 届 教科文 组织 青年 论坛 ， 国际 学生证 协会 （ 因 其 简称 ISIC 而 被 人 熟知 ） ， 召集 超过 500万 学生 卡持 有人 ， 发起 了 青年 摄影 比赛 ！ 

Gallup Gallup | w_freq: 51 - 14 | wiki_freq: 3918 - 29 | sentence_idx: 416686 | align_1: 5-5 | align_2: 6-11 | entity: Gallup - none |    Earlier this year , a Gallup poll posed the question of whether or not we should continue to remotely blow up ‘ suspected terrorists ’ in faraway countries . ||| 今年 早些时候 ， 盖洛普 ( Gallup ) 的 一 项 民意 调查 提出 了 这样 一个 问题 : 我们 是否 应该 继续 在 遥远 的 国家 远程 炸死 “ 恐怖 分子 嫌疑人 ” 。 

Immofinanz 不动产 | w_freq: 1 - 33 | wiki_freq: 13 - 1180 | sentence_idx: 419570 | align_1: 5-4 | align_2: 6-12 | entity: Immofinanz - 奥地利 房地产 投资 基金 不动产 投资 基金 |    Austrian real estate investment fund Immofinanz wants to bring to Romania a network of small-sized shopping centers , a plan which was delayed during the crisis . ||| 奥地利 房地产 投资 基金 不动产 投资 基金 （ 不动产 投资 基金 ） 想 将 一个 小型 购物 中心 的 网络 带到 罗马尼亚 ， 这个 计划 在 危机 期间 被 推迟 了 。 

Immofinanz 基金 | w_freq: 1 - 2052 | wiki_freq: 13 - 14941 | sentence_idx: 419570 | align_1: 5-6 | align_2: 6-12 | entity: Immofinanz - 奥地利 房地产 投资 基金 不动产 投资 基金 |    Austrian real estate investment fund Immofinanz wants to bring to Romania a network of small-sized shopping centers , a plan which was delayed during the crisis . ||| 奥地利 房地产 投资 基金 不动产 投资 基金 （ 不动产 投资 基金 ） 想 将 一个 小型 购物 中心 的 网络 带到 罗马尼亚 ， 这个 计划 在 危机 期间 被 推迟 了 。 

HOUSE 弗雷泽 | w_freq: 7 - 16 | wiki_freq: 203 - 553 | sentence_idx: 420087 | align_1: 0-2 | align_2: 1-6 | entity: HOUSE - 弗雷泽 百货 |    HOUSE of Fraser has fallen into administration , endangering the future of 17,000 staff . ||| 与此同时 ， 弗雷泽 百货 ( House of Fraser ) 陷入 破产 管理 ， 危及 1.7万 名 员工 的 未来 。 

Ede 以止 | w_freq: 1 - 1 | wiki_freq: 1328 - 3 | sentence_idx: 429996 | align_1: 1-4 | align_2: 2-12 | entity: Ede - none |    Follow Ede , then follow the signs that say “ ReeHorst ” . ||| ( 46 ) 随 以止 ： 随 ， 跟随 （ 别人 ） ， “ 随 ” 字 后面 省略 “ 之 ” 。 

Romanek Romanek | w_freq: 2 - 2 | wiki_freq: 319 - 2 | sentence_idx: 430115 | align_1: 3-5 | align_2: 4-13 | entity: Mark Romanek - none |    For director Mark Romanek ( “ One Hour Photo , ” “ Never Let Me Go ” ) , virtual reality has long been a fixation . ||| 对 导演 马克·罗曼尼克 【 Mark Romanek ， 代表作 《 一 小时 快相 》 ( One Hour Photo ) 、 《 别 让 我 走 》 ( Never Let Me Go ) 】 来说 ， 虚拟 现实 是 一个 长期以来 的 执念 。 

Baroness 男爵 | w_freq: 14 - 62 | wiki_freq: 9882 - 3414 | sentence_idx: 430144 | align_1: 0-1 | align_2: 1-6 | entity: Baroness Amos - none |    Baroness Amos , a UK Foreign Office Minister , was the last to speak during the one and a half hour debate . ||| ” 男爵 夫人 爱 莫丝 （ Amos ） ， 英国 外交大臣 ， 是 一个半 小时 辩论 中 最后 发言 的 一 位 。 

Sedona Sedona | w_freq: 4 - 2 | wiki_freq: 936 - 4 | sentence_idx: 430351 | align_1: 10-15 | align_2: 11-26 | entity: Sedona - none |    God created the Grand Canyon , but He lives in Sedona . ||| 当地人 很 喜欢 说 ： God created the Grand Canyon , but He lives in Sedona . 上帝 创造 了 大峡谷 ， 可是 祂住 在 喜多娜 。 

Step Step | w_freq: 213 - 51 | wiki_freq: 11874 - 263 | sentence_idx: 434161 | align_1: 3-6 | align_2: 4-10 | entity: Next Step - none |    In the Next Step we will improve the quality of our lights and add reflective lighting to our apartment . ||| 在 下 一 步 （ Next Step ） 中 ， 我们 将 提高 我们 光源 的 质量 ， 并 向 我们 的 公寓 添加 反射 照明 。 

Winnick 温尼克 | w_freq: 2 - 3 | wiki_freq: 272 - 25 | sentence_idx: 437449 | align_1: 0-0 | align_2: 1-4 | entity: Winnick - 温尼克 |    Winnick accused the US of wanting to use it as a weapon against Russia ||| 温尼克 （ Vinnik ） 指控 美国 想 将 其 用作 对付 俄罗斯 的 武器 

Rosey 罗斯 | w_freq: 2 - 166 | wiki_freq: 724 - 2983 | sentence_idx: 438084 | align_1: 3-2 | align_2: 4-8 | entity: Rosey - 罗斯 |    Maybe apart from Rosey because he 's won the last two starts . ||| 也许 除了 罗斯 之外    ， 因为 他 赢 了 过去 参加 的 2 场 比赛  。 

Halestorm Halestorm | w_freq: 1 - 1 | wiki_freq: 293 - 4 | sentence_idx: 439892 | align_1: 0-0 | align_2: 1-6 | entity: Halestorm - none |    Halestorm , Killing Ourselves to Live ||| Halestorm 发行 最新 专辑 " Vicious " 释出 单曲 " Killing Ourselves To Live " 

Qur’an 古兰经 | w_freq: 172 - 345 | wiki_freq: 541 - 2268 | sentence_idx: 444023 | align_1: 7-7 | align_2: 8-12 | entity: Qur’an - none |    A person who has memorised the entire Qur’an . ||| 倘若 连 一个 能 背诵 全部 《 古兰经 》 的 人 都 没 

Maryam 穆罕默德 | w_freq: 43 - 218 | wiki_freq: 2582 - 3522 | sentence_idx: 445628 | align_1: 4-7 | align_2: 5-16 | entity: Maryam - 穆罕默德 |    The Qur’an clarifies that Maryam was the result of a supplication that her own mother made . ||| ” 《 古兰经 》 —— 这 一 穆罕默德 ( 祈主 福安 之 ) 接受 的 启示 已经 荣耀 了 耶稣 ( 祈主 赐 其 平安 ) 及其 母亲 玛丽亚 。 

Kessels Kessels | w_freq: 2 - 1 | wiki_freq: 92 - 0 | sentence_idx: 446003 | align_1: 1-1 | align_2: 2-7 | entity: Erik Kessels - none |    Erik Kessels , In almost every picture # 11 , 2012 ||| Erik Kessels 的 系列 作品 《 Valerie , in almost every picture # 11 》 

Catalunya Catalunya | w_freq: 4 - 2 | wiki_freq: 4806 - 32 | sentence_idx: 447293 | align_1: 1-1 | align_2: 2-5 | entity: Catalunya - none |    From Catalunya you need to the Green Line Metro to Liceu . ||| 在 Catalunya （ 加泰罗尼亚 ） 您 需要 达成 地铁 绿线 到 Liceu 。 

Sartre 萨特 | w_freq: 14 - 10 | wiki_freq: 2842 - 285 | sentence_idx: 453270 | align_1: 2-1 | align_2: 3-5 | entity: Sartre - 萨特 |    According to Sartre " the duty of the intellectual is to denounce injustice wherever it occurs . " ||| 正如 萨特 所 说 ， “ 知识分子 的 天职 就是 谴责 不 公正 现象 ， 不管 它 在 哪儿 发生 ” 。 

Database 数据库 | w_freq: 97 - 1545 | wiki_freq: 8660 - 5431 | sentence_idx: 459646 | align_1: 6-4 | align_2: 7-14 | entity: Internet Movie Database - none |    Charles Lindbergh at the Internet Movie Database Retrieved : June 17 , 2009 . ||| 查尔斯·林德伯格 在 互联网 电影 数据库 （ IMDb ） 上 的 资料 （ 英文 ） Retrieved : June 17 , 2009 . 

Database 数据库 | w_freq: 97 - 1545 | wiki_freq: 8660 - 5431 | sentence_idx: 459647 | align_1: 6-4 | align_2: 7-14 | entity: Internet Movie Database - none |    Charles Lindbergh at the Internet Movie Database Retrieved : June 17 , 2009 . ||| 查尔斯·林德伯格 在 互联网 电影 数据库 （ IMDb ） 上 的 资料 （ 英文 ） Retrieved : June 17 , 2009 . 

GUN 十杆枪 | w_freq: 1 - 1 | wiki_freq: 160 - 0 | sentence_idx: 462266 | align_1: 5-4 | align_2: 6-9 | entity: AMERICAN GUN - none |    “ As you read AMERICAN GUN , I hope you feel the presence of Chris with you . ||| 当 你 读 《 十杆枪 》 这 本书 时 ， 我 希望 你 能 感到 克里斯 与 你 同在 。 

Lime Lime | w_freq: 25 - 23 | wiki_freq: 5408 - 97 | sentence_idx: 462805 | align_1: 4-5 | align_2: 5-16 | entity: Harry Lime - none |    The Adventures of Harry Lime ( 1951~2 ) ||| 《 The Adventures of Harry Lime （ 英语 ： The Adventures of Harry Lime ） 》 （ 1951-1952 ） 

Roginsky Roginsky | w_freq: 3 - 1 | wiki_freq: 95 - 2 | sentence_idx: 463359 | align_1: 19-17 | align_2: 20-23 | entity: Mikhail Roginsky - none |    At the same time one could also see a growing interest in pop art as it shown by Mikhail Roginsky ’s The Door ( 1965 ) . ||| 与此同时 ， 也 能 看到 人们 对 波普 艺术 越来越 感 兴趣 ， 正如 米哈伊尔·罗金斯基 （ Mikhail Roginsky ） 的 画作 “ 门 ” （ The Door ， 1965 ） 所 表明 的 。 

Roginsky roginsky | w_freq: 3 - 1 | wiki_freq: 95 - 0 | sentence_idx: 463360 | align_1: 19-17 | align_2: 20-23 | entity: Mikhail Roginsky - mikhail roginsky |    At the same time one could also see a growing interest in pop art as it shown by Mikhail Roginsky ’s The Door ( 1965 ) . ||| 与此同时 ， 也 能 看到 人们 对 波普 艺术 越来越 感 兴趣 ， 正如 米哈伊尔·罗金斯基 （ mikhail roginsky ） 的 画作 “ 门 ” （ the door ， 1965 ） 所 表明 的 。 

Nurr1 Nurr1 | w_freq: 6 - 2 | wiki_freq: 7 - 0 | sentence_idx: 469348 | align_1: 5-4 | align_2: 6-12 | entity: Nurr1 - none |    Researchers have modified the protein Nurr1 so that it can enter cells from the outside . ||| 研究 人员 对 蛋白质 Nurr1 进行 了 修饰    , 使 其 可以 从 外部 进入 细胞      。 

Chinchon Chinchon | w_freq: 1 - 2 | wiki_freq: 27 - 1 | sentence_idx: 470966 | align_1: 2-2 | align_2: 3-10 | entity: Chinchon - none |    Countess of Chinchon ( 1800 ) ||| Countess of Chinchon （ 英语 ： Countess of Chinchon ） （ 1800年 ） 

Messi 梅西 | w_freq: 47 - 74 | wiki_freq: 2559 - 809 | sentence_idx: 477104 | align_1: 11-8 | align_2: 12-13 | entity: Messi - 梅西 |    “ I know a lot about him and the likes of Messi because I watched them on YouTube growing up . ||| “ 你 知道 很多 关于 他 和 （ 梅西 ） 的 人 ， 因为 你 在 成长 过程 中 在 YouTube 上 观看 他们 。 

Ashes 灰烬 | w_freq: 10 - 68 | wiki_freq: 10376 - 687 | sentence_idx: 480235 | align_1: 5-4 | align_2: 6-8 | entity: From the Ashes - none |    In Remnant : From the Ashes , players can group with up to three other survivors . ||| 在 《 遗迹 ： 灰烬 重生 》 中 ， 玩家 可以 和 其他 三 个 幸存者 一起 。 

Griffiths Griffiths | w_freq: 15 - 5 | wiki_freq: 9508 - 65 | sentence_idx: 482162 | align_1: 0-0 | align_2: 1-4 | entity: Griffiths - none |    Griffiths believes the personality changes found in this study are likely permanent since they were sustained for over a year by many . ||| Griffiths 表示 ， 他 认为 在 此 研究 中 所 发现 的 人格 变化 很 可能 是 永久性 的 ， 因为 许多 人 都 持续 超过 一 年 。 

Dances Dances | w_freq: 6 - 1 | wiki_freq: 3365 - 13 | sentence_idx: 487466 | align_1: 5-3 | align_2: 6-10 | entity: Land of a Thousand Dances - none |    " Land of a Thousand Dances " ( or " Land of 1000 Dances " ) is a song written and first recorded by Chris Kenner in 1962 . ||| Land Of 1000 Dances ， 即 “ 千 人 共舞 ” （ 或 “ 土地 1000 共舞 ” ） 的 土地 是 一 首 歌 ， 并 首次 记录 于 1962年 由 克里斯·肯纳 。 

TNP TNP | w_freq: 5 - 5 | wiki_freq: 116 - 5 | sentence_idx: 489005 | align_1: 10-8 | align_2: 11-12 | entity: TNP - none |    The researchers still need to figure out how to deliver TNP ’s effects only to MSCs , instead of the entire body , given that it sometimes blocks other enzymes along with IP6K1 . ||| 研究 人员 还 需要 弄 清楚 如何 将 TNP （ 苦味酸 ） 的 作用 仅仅 传递 给 MSCs ， 而 不是 整个 身体 ， 因为 它 有时 会 与 IP6K 1一 起 阻止 其他 酶 的 活性 。 

Clash Clash | w_freq: 8 - 5 | wiki_freq: 8881 - 40 | sentence_idx: 506679 | align_1: 2-3 | align_2: 3-7 | entity: Clash - none |    Clearly , Clash is the winner of the genre , but we ’re a strong number two . ||| 显然 ， 《 Clash of Clans 》 是 这个 类型 的 赢家 ， 但 我们 是 强有力 的 第二 名 。 

Pliny Pliny | w_freq: 3 - 3 | wiki_freq: 6648 - 13 | sentence_idx: 507699 | align_1: 4-3 | align_2: 5-7 | entity: Pliny - none |    The classical Roman scholar Pliny wrote : “ Maximum in rebus humanis , non solum inter gemmas , pretium habet adamas ” ( Among all human things , not only among gems , the diamond is the most precious ) . ||| 罗马 古典主义 学者 Pliny （ 蒲林尼 ） 写道 ： “ Maximum in rebus humanis , non solum inter gemmas , pretium habet adamas ” （ 钻石 不仅 是 宝石 中 ， 更 是 人类 所有 事物 中 最 珍贵 的 东西 ） 。 

Lime Lime | w_freq: 25 - 23 | wiki_freq: 5408 - 97 | sentence_idx: 509353 | align_1: 4-5 | align_2: 5-16 | entity: Harry Lime - none |    The Adventures of Harry Lime ( 1951–52 ) ||| 《 The Adventures of Harry Lime （ 英语 ： The Adventures of Harry Lime ） 》 （ 1951-1952 ） 

Turnbull 特恩布尔 | w_freq: 40 - 25 | wiki_freq: 7808 - 68 | sentence_idx: 510403 | align_1: 13-15 | align_2: 14-23 | entity: Turnbull - 特恩布尔 |    Grattan on Friday : Hanson 's ' outsider ' politics a challenge for Turnbull as he sits in ' sensible centre ' ||| 上 一 篇 ： Grattan 周五  ： 汉森 的 “ 局外人 ” 政治 对 特恩布尔 来说 是 一个 挑战   ， 因为 他 坐 在 ' 明智 的 中心 ' 

EGF EGF | w_freq: 29 - 30 | wiki_freq: 539 - 26 | sentence_idx: 511402 | align_1: 0-0 | align_2: 1-8 | entity: EGF - none |    EGF stands for epidermal growth factor . ||| EGF ( 表皮 细胞 生长 因子 ) ， 是 英文 Epidermal Growth Factor 的 简称 。 

Cummings Cummings | w_freq: 11 - 6 | wiki_freq: 10225 - 56 | sentence_idx: 511522 | align_1: 7-8 | align_2: 8-12 | entity: E.E. Cummings - none |    JJ : I think it was E.E. Cummings who said , “ You can understand a poem without knowing what it means ” . ||| JJ ： 我 记得 卡明斯 （ E.E . Cummings ， 美国 诗人 ） 曾 说 ： “ 你 可以 理解 一 首 诗 ， 而 无需 知道 它 意义 为何 。 

Mussolini 墨索里尼 | w_freq: 29 - 25 | wiki_freq: 11370 - 1058 | sentence_idx: 513217 | align_1: 20-14 | align_2: 21-19 | entity: Mussolini - 墨索里尼 |    For a long time it was the only gambling house in Italy , and there he was , according to Mussolini only as confirmation of the rule . ||| 很 长 一 段 时间 ， 它 是 意大利 唯一 的 赌场 ， 根据 墨索里尼 的 说法 ， 他 只是 确认 了 这 一 规则 。 

Palin 康乾 | w_freq: 23 - 3 | wiki_freq: 5204 - 106 | sentence_idx: 515862 | align_1: 1-3 | align_2: 2-8 | entity: Palin - none |    And Palin is the worst and the war . ||| 所谓 的 “ 康乾 盛世 ” ， 也 是 文字狱 最 惨烈 的 时期 。 

POTUS FC转GBA | w_freq: 9 - 1 | wiki_freq: 177 - 0 | sentence_idx: 516407 | align_1: 4-0 | align_2: 5-6 | entity: POTUS - none |    FC was appointed by POTUS , and he can only lose it the same way . ||| FC转GBA 《 真 侍魂 》 黑屏 ， 只能 把 《 侍魂 》 放 进去 。 

Ok OK | w_freq: 45 - 76 | wiki_freq: 1448 - 961 | sentence_idx: 521899 | align_1: 0-0 | align_2: 1-5 | entity: Ok - none |    Ok K.O. Let 's Be Heroes ||| OK   ， K.O . 一起 成为 英雄 吧 

AMC AMC | w_freq: 32 - 32 | wiki_freq: 10715 - 560 | sentence_idx: 522931 | align_1: 9-12 | align_2: 10-16 | entity: AMC Theaters - AMC 电影院 |    He noted that Wanda had purchased struggling companies like AMC Theaters and Legendary Entertainment — “ the best companies would not sell to us ” — and strengthened them . ||| 他 指出 ， 万达 收购 了 境况 艰难 的 公司 ， 如 AMC 电影院 ( AMC Theaters ) 和 传奇 影业 ( Legendary Entertainment ) —— “ 最好 的 公司 是 不 会 卖给 我们 的 ” —— 并 增强 了 它们 的 实力 。 

Veloce Veloce | w_freq: 5 - 5 | wiki_freq: 366 - 2 | sentence_idx: 531178 | align_1: 15-11 | align_2: 16-15 | entity: Veloce - none |    Forking out the money for something you believe is a 1960 Alfa Romeo Giulietta Spider Veloce only to learn that it is a replica or fake can be a very costly mistake . ||| 花钱 买 一些 您 认为 是 1960 Alfa Romeo Giulietta Spider Veloce 的 东西 ， 只是 要 知道 这是 假货 可能 是 一个 非常 昂贵 的 错误 。 

Parfumeur Parfumeur | w_freq: 2 - 4 | wiki_freq: 30 - 0 | sentence_idx: 531982 | align_1: 16-28 | align_2: 16-43 | entity: Parfumeur - none |    Reviews of the The Diary of a Nose : A Year in the Life of a Parfumeur ||| 作品 ： 调香师 日记 : 爱马仕 香水 大师 艾连纳 的 创作 生活 与 哲学 、 The Diary of a Nose : A Year in the Life of a Parfumeur 、 The Diary of a Nose : A Year in the Life of a Parfumeur 

EHR EHR | w_freq: 6 - 8 | wiki_freq: 554 - 13 | sentence_idx: 532958 | align_1: 14-16 | align_2: 15-22 | entity: EHR - none |    Cerner convened a team of 24 technology businesses to support its work on the EHR modernization project , which will begin at test sites in 2020 . ||| 塞纳 召集 了 一个 由 24 家 技术 企业 组成 的 团队 ， 以 支持 其 EHR （ 电子 健康 档案 ） 现代化 项目 的 工作 ， 该 项目 将 于 2020年 在 测试点 启动 。 

Gypsy 罗姆 | w_freq: 12 - 7 | wiki_freq: 7189 - 319 | sentence_idx: 540904 | align_1: 5-10 | align_2: 6-15 | entity: Gypsy - 罗姆 |    " Non-Aryans"--Jewish or part-Jewish and Gypsy athletes--were systematically excluded from German sports facilities and associations . ||| “ 非 雅利安人 ” -- 犹太 、 半 犹太 、 罗姆 （ 吉卜赛 ） 运动员 被 有 步骤 地 排除 出 德国 体育 组织 和 协会 。 

Eliezer 拉比 | w_freq: 5 - 34 | wiki_freq: 2747 - 720 | sentence_idx: 541710 | align_1: 2-3 | align_2: 3-12 | entity: R. Eliezer - 拉比 |    Wherefore R. Eliezer said : " Repent one day before death " ( Ab . ||| 有 一 位 拉比 （ 犹太教 的 牧者 ） 常 对 人 说 ： 「 你们 应当 在 死 前 的 一日 悔改 」 。 

ACUMEN ACUMEN | w_freq: 2 - 4 | wiki_freq: 4 - 0 | sentence_idx: 546556 | align_1: 8-11 | align_2: 9-16 | entity: ACUMEN - ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 |    Allegis Global Solutions developed its analytics program , ACUMEN Workforce Intelligence , with the goal of understanding three things : How are programs performing ? ||| Allegis Global Solutions 公司 开发 了 个 分析 项目 ， 即 ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 ， 其 目标 是 掌握 三 件 事情 ： 项目 是 如何 执行 的 ? 

Invisalign 视线 | w_freq: 3 - 173 | wiki_freq: 56 - 1618 | sentence_idx: 548276 | align_1: 3-6 | align_2: 4-12 | entity: Invisalign - none |    When you wear Invisalign , the aligners are barely noticeable . ||| # 21482 ; 在 驾驶者 的 视线 范围 ， 而 没有 使用 ， 不 足以 构成 分心 驾驶 。 

Keiss Keiss | w_freq: 1 - 1 | wiki_freq: 71 - 0 | sentence_idx: 552834 | align_1: 9-7 | align_2: 10-11 | entity: Keiss - none |    “ I can not in any case agree with Keiss that my whole conception of the external world has been derived from perceptions . ||| “ 无论如何 ， 我 不 能 同意 Keiss 的 观点 ， 即 我 对外部 世界 的 整个 概念 都 源于 感知 。 

Kardashians Kardashians | w_freq: 7 - 3 | wiki_freq: 408 - 4 | sentence_idx: 553283 | align_1: 5-6 | align_2: 6-24 | entity: Kardashians - none |    2011 Keeping Up with the Kardashians Herself " Kim 's Fairytale Wedding : A Kardashian Event , Part 2 " ( Season 6 , Episode 15 ) ||| 2011年 " Keeping Up with the Kardashians " 《 与 卡戴珊 一家 同行 （ 英语 ： Keeping Up with the Kardashians ） 》 她 本人 " Kim's Fairytale Wedding : A Kardashian Event , Part 2 " ( 第6 季 第15 集 ) 

Bitter 苦 | w_freq: 5 - 128 | wiki_freq: 4901 - 2793 | sentence_idx: 567024 | align_1: 11-13 | align_2: 12-19 | entity: Mild and Bitter - none |    When I was younger I used to drink " Mild and Bitter " . ||| 因为 我 小时候 就 听 您 讲 过 “ 吃 得 苦 中 苦 ， 方 为人 上 人 ” 。 

SISA SISA | w_freq: 1 - 1 | wiki_freq: 37 - 1 | sentence_idx: 567249 | align_1: 2-1 | align_2: 3-6 | entity: SISA - none |    Students considering SISA should have a love of cultures , languages , and diversity . ||| 考虑 SISA 完备 的 学生 ， 应该 有 一个 爱 的 文化 ， 语言 和 多样性 。 

Samay Samay | w_freq: 1 - 2 | wiki_freq: 299 - 0 | sentence_idx: 568522 | align_1: 3-4 | align_2: 4-11 | entity: Soluna Samay - none |    15 Denmark Soluna Samay " Should 've Known Better " English 23 21 ||| 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 23 21 

Nurr1 Nurr1 | w_freq: 6 - 2 | wiki_freq: 7 - 0 | sentence_idx: 571163 | align_1: 5-4 | align_2: 6-9 | entity: Nurr1 - none |    Researchers have modified the protein Nurr1 so that it can enter cells from the outside . ||| 研究 人员 对 蛋白质 Nurr1 进行 了 修饰 ， 使 其 可以 从 外部 进入 细胞 。 

