Dawes Dawes | w_freq: 4 - 4 | wiki_freq: 4708 - 537 | sentence_idx: 2576 | align_1: 5-5 | align_2: 6-9 | entity: Dawes - Dawes |    Someday Never Comes ( with Dawes ) ||| Someday Never Comes ( avec Dawes ( en ) ) 
E-19 E-19 | w_freq: 15 - 14 | wiki_freq: 10 - 3 | sentence_idx: 535978 | align_1: 0-0 | align_2: 1-4 | entity: none - E-19 |    E-19 I 've been to the grave where the white horse is changed every four hours . ||| E-19 ( 18 ) J’ ai été au tombeau où le cheval blanc est changé toutes les quatre heures . 

JostGroup JostGroup | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 537922 | align_1: 5-5 | align_2: 6-9 | entity: JostGroup - JostGroup |    On 12th February 2015 , JostGroup received this award , crowning the efforts already made and in process in order to reduce its global environmental impact ! ||| Ce 12 février 2015 , JostGroup s’ est vu attribuer cette récompense , couronnant les efforts déjà réalisé et en cours afin de réduire son impact environnemental global ! 

Sage Sage | w_freq: 23 - 35 | wiki_freq: 9401 - 2698 | sentence_idx: 538596 | align_1: 0-0 | align_2: 1-4 | entity: Sage - Sage |    Sage also announced an all-new version of Sage One for Canadian entrepreneurs . ||| Sage a , en outre , annoncé une toute nouvelle version de Sage One pour les entrepreneurs canadiens . 

PSI PSI | w_freq: 13 - 13 | wiki_freq: 2751 - 1161 | sentence_idx: 538962 | align_1: 4-4 | align_2: 5-9 | entity: PSI - PSI |    Will the collaboration with PSI continue ? ||| La collaboration avec le PSI va -t -elle se poursuivre ? 

forgiveness Pardon | w_freq: 307 - 32 | wiki_freq: 7535 - 804 | sentence_idx: 543990 | align_1: 6-5 | align_2: 7-9 | entity: none - Pardon |    ​It is the sacred month of forgiveness . ||| C’ est le mois du Pardon ( istighfar ) . 

Map Map | w_freq: 56 - 25 | wiki_freq: 9815 - 470 | sentence_idx: 544855 | align_1: 5-5 | align_2: 6-12 | entity: State Of The Map Argentina - State of the Map |    English   : State Of The Map Argentina took place a few weeks ago . ||| français   : State of the Map ( État de la carte ) Argentine a pris place il y a quelques semaines . 

E-22 E-22 | w_freq: 29 - 31 | wiki_freq: 13 - 2 | sentence_idx: 549030 | align_1: 0-0 | align_2: 1-5 | entity: none - E-22 |    E-22 You might not have a pair of shoes on your feet . ||| E-22 Peut - être que vous n’ aurez pas une paire de chaussures aux pieds . 

Kant Kant | w_freq: 24 - 24 | wiki_freq: 7385 - 3271 | sentence_idx: 557949 | align_1: 7-9 | align_2: 8-15 | entity: Kant - Kant |    Existence is not a predicate , as Kant memorably explained.17 ||| L’ existence n’ est pas un prédicat , comme Kant l’ a expliqué de façon mémorable.17 

yesterday hier | w_freq: 776 - 954 | wiki_freq: 3562 - 1775 | sentence_idx: 561591 | align_1: 5-8 | align_2: 6-13 | entity: yesterday - none |    The boys visit with Lydia yesterday went well . ||| La visite des garçons auprès de Lydia , hier , s' est bien passée . 

Cubans Cubains | w_freq: 65 - 66 | wiki_freq: 3307 - 564 | sentence_idx: 563065 | align_1: 9-13 | align_2: 10-17 | entity: Cubans - Cubains |    True friends are recognized in difficult times , and Cubans will never forget the support of Venezuelans when we faced serious difficulties . ||| Les vrais amis se reconnaissent dans les moments difficiles et nous , les Cubains , nous n’ oublierons jamais le soutien des Vénézuéliens lorsque nous avons fait face à de graves difficultés . 

Germain Germain | w_freq: 40 - 28 | wiki_freq: 4460 - 7808 | sentence_idx: 564838 | align_1: 5-4 | align_2: 6-10 | entity: St. Germain - St. Germain |    P : How did St. Germain manage his wealth and accumulate his fortune when he was in France ? ||| P : Comment St. Germain a -t -il réussi à accumuler sa richesse et accumuler sa fortune quand il était en France ? 

Germain Germain | w_freq: 40 - 28 | wiki_freq: 4460 - 7808 | sentence_idx: 564839 | align_1: 5-4 | align_2: 6-10 | entity: St. Germain - St. Germain |    P : How did St. Germain manage his wealth and accumulate his fortune when he was in France ? ||| P : Comment St. Germain a -t -il réussi à accumuler sa richesse et accumuler sa fortune quand il était en France ? 

Tajani Tajani | w_freq: 14 - 14 | wiki_freq: 146 - 39 | sentence_idx: 572387 | align_1: 6-7 | align_2: 7-11 | entity: Antonio Tajani - Antonio Tajani |    President of the European Parliament Antonio Tajani welcomed these results , which he described as “ very encouraging ” , for the first time “ since the beginning of the crisis in 2007 ” . ||| Le président du Parlement européen , Antonio Tajani , s' est félicité de ces résultats , qu' il a qualifiés de « très encourageants » pour la première fois « depuis le début de la crise en 2007 » . 

E-27 E-27 | w_freq: 25 - 26 | wiki_freq: 10 - 1 | sentence_idx: 574529 | align_1: 0-0 | align_2: 1-4 | entity: none - E-27 |    E-27 The first vision I remember was a lady with her baby . ||| E-27 ( 7 ) La première vision dont je me souviens , c' était une dame avec son bébé . 

Brands Brands | w_freq: 18 - 5 | wiki_freq: 9677 - 1065 | sentence_idx: 578106 | align_1: 1-1 | align_2: 2-6 | entity: Brands - Brands |    For Brands ticket sales have been slow , which is a shame , as both Italy and the UK are important markets for us . ||| Pour Brands , les ventes de billets ont été lentes , ce qui est dommage , car l’ Italie et le Royaume - Uni sont des marchés importants pour nous . 

Epstein Epstein | w_freq: 41 - 42 | wiki_freq: 8498 - 2042 | sentence_idx: 581368 | align_1: 5-4 | align_2: 6-8 | entity: Jeffrey Epstein - Jeffrey Epstein |    # 6 Why did Jeffrey Epstein tell guards that someone was trying to kill him ? ||| # 6 Pourquoi Jeffrey Epstein a -t -il dit aux gardes que quelqu’ un essayait de le tuer ? 

Perguntas Perguntas | w_freq: 2 - 2 | wiki_freq: 1 - 2 | sentence_idx: 582353 | align_1: 1-1 | align_2: 2-5 | entity: Perguntas - 10 Perguntas |    10 Perguntas ( “ 10 Questions ” ): Until September 3 , citizens can send questions for the president candidates . ||| 10 Perguntas [ 26 ] ( “ 10 Questions ” ): Jusqu' au 03 septembre , les citoyens peuvent envoyer des questions au candidats à la présidentielle . 

tongues Langues | w_freq: 49 - 30 | wiki_freq: 3695 - 5304 | sentence_idx: 582440 | align_1: 17-19 | align_2: 18-23 | entity: none - Langues |    14:23 If therefore the whole church be come together into one place , and all speak with tongues , and there come in those that are unlearned , or unbelievers , will they not say that ye are mad ? ||| 14:23 Si donc toute l' Eglise s' assemble en un [ corps ] , et que tous parlent des Langues [ étrangères ] , et qu' il entre des gens du commun , ou des infidèles , ne diront -ils pas que vous êtes hors du sens ? 

E-10 E-10 | w_freq: 30 - 33 | wiki_freq: 74 - 25 | sentence_idx: 582771 | align_1: 0-0 | align_2: 1-5 | entity: none - E-10 |    E-10 Not long ago , I stood by the side of William Cowper 's grave . ||| E-10 Il n’ y a pas longtemps , je me tenais à côté de la tombe de William Cowper . 

Platforms Plates | w_freq: 15 - 1 | wiki_freq: 3754 - 274 | sentence_idx: 583854 | align_1: 0-0 | align_2: 1-4 | entity: none - Plates |    Platforms Order online They integrated into cars are a commitment to the future . ||| Plates - formes de commande en ligne Ils ont intégré dans les voitures sont un engagement à l' avenir . 

Guterres Guterres | w_freq: 15 - 15 | wiki_freq: 1204 - 362 | sentence_idx: 585305 | align_1: 3-8 | align_2: 4-12 | entity: Antonio Guterres - Antonio Guterres |    UN Secretary-General Antonio Guterres visited China in April and September without publicly expressing his concern about these issues . ||| Le Secrétaire général de l’ ONU , Antonio Guterres , s’ est rendu en Chine en avril et en septembre sans exprimer publiquement son inquiétude au sujet de ces questions . 

E-10 E-10 | w_freq: 30 - 33 | wiki_freq: 74 - 25 | sentence_idx: 586689 | align_1: 0-0 | align_2: 1-4 | entity: none - E-10 |    E-10 Oh , are n't we happy tonight to know that Christianity is not a bluff . ||| E-10 ( 16 ) Oh , ne sommes -nous pas heureux ce soir de savoir que le christianisme , ce n' est pas une tromperie . 

Backenstos Backenstos | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 590015 | align_1: 4-9 | align_2: 5-13 | entity: Backenstos - Mr Backenstos |    I then sent Mr. Backenstos , when they declared that they were my enemies . ||| _ _ _ _ J' ai ensuite envoyé Mr Backenstos { 28 } , quand ils ont déclaré qu' ils étaient mes ennemis . 

Guests Invités | w_freq: 32 - 13 | wiki_freq: 5422 - 648 | sentence_idx: 590440 | align_1: 8-6 | align_2: 9-10 | entity: none - Invités |    8 And they will meet with your invited Guests the miracle has asked to come to you . ||| 8 Et ils rencontreront tes autres Invités , à Qui le miracle a demandé de venir à toi . 

Siddhas siddhas | w_freq: 2 - 2 | wiki_freq: 99 - 15 | sentence_idx: 594008 | align_1: 5-5 | align_2: 6-9 | entity: Siddhas - none |    • Neither Jesus nor the Siddhas intended to create a new religion . ||| • Ni Jésus ni les siddhas n’ avaient l’ intention de créer une nouvelle religion . 

21,714 714 | w_freq: 2 - 7 | wiki_freq: 9 - 641 | sentence_idx: 596646 | align_1: 3-1 | align_2: 4-8 | entity: 21,714 - none |    Previous post $ 21,714 For Every Man , Woman And Child In The World – This Global Debt Bomb Is Ready To Explode ||| 21 714 $ ( de dette ? ) pour chaque homme , femme et enfant dans le monde - cette bombe de la dette mondiale est prête à exploser 

L-157 E-157 | w_freq: 1 - 11 | wiki_freq: 1 - 0 | sentence_idx: 603335 | align_1: 0-0 | align_2: 1-8 | entity: none - E-157 |    L-157 I had a discussion not long ago with a priest . ||| E-157 Il n' y a pas longtemps , j' ai discuté avec un prêtre . 

Assisi Assise | w_freq: 16 - 16 | wiki_freq: 4180 - 2979 | sentence_idx: 604276 | align_1: 6-5 | align_2: 7-9 | entity: Assisi - Assise |    Thus , the interfaith day of Assisi was , in 1986 , a more formidable scandal than the texts of Vatican II that made it possible . ||| Ainsi la journée interreligieuse d’ Assise a -t -elle été , en 1986 , un scandale plus formidable que les textes de Vatican II qui l’ ont rendue possible . 

WiFi Fi | w_freq: 61 - 100 | wiki_freq: 2189 - 3072 | sentence_idx: 606567 | align_1: 6-7 | align_2: 7-12 | entity: none - Wi - Fi |    Are they avoidable , or is WiFi simply not an adequate technology for large conferences ? ||| Sont -ils évitables ou le Wi - Fi n' est -il tout simplement pas une technologie adéquate pour les grandes conférences ? 

Kebir Kebir | w_freq: 1 - 1 | wiki_freq: 421 - 503 | sentence_idx: 611671 | align_1: 12-13 | align_2: 13-19 | entity: Sultan Kebir - Sultan Kebir |    For them , and for all Egyptians , he was now Sultan Kebir , the Sultan of Fire . ||| Pour eux et pour tous les Egyptiens , il est maintenant le Sultan Kebir c’ est - à - dire le Sultan du feu . 

Equinox Équinoxe | w_freq: 11 - 4 | wiki_freq: 1707 - 170 | sentence_idx: 613390 | align_1: 2-1 | align_2: 3-6 | entity: Equinox - Équinoxe |    This particular Equinox is a high-energy threshold involving balance and new beginnings . ||| Cet Équinoxe , en particulier , est un seuil de haute énergie impliquant l’ équilibre et de nouveaux commencements . 

Moriah Moriyya | w_freq: 11 - 7 | wiki_freq: 946 - 3 | sentence_idx: 615380 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . » 

Moriah Moriyya | w_freq: 11 - 7 | wiki_freq: 946 - 3 | sentence_idx: 615381 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . " 

Camus Camus | w_freq: 17 - 18 | wiki_freq: 2621 - 4476 | sentence_idx: 624145 | align_1: 5-5 | align_2: 6-10 | entity: Cognac Camus - Camus |    The fifth biggest , Cognac Camus , is still run by a single family . ||| Le cinquième , le cognac Camus , à son tour , s’ administre par une seule famille . 

Nazareth Nazareth | w_freq: 61 - 61 | wiki_freq: 6610 - 2515 | sentence_idx: 624771 | align_1: 9-10 | align_2: 10-15 | entity: Nazareth - Nazareth |    But in order to understand what took place in Nazareth two thousand years ago , we must return to the Reading from the Letter to the Hebrews . ||| Mais afin de comprendre ce qui s' est passé à Nazareth , il y a deux mille ans , nous devons revenir à la lecture de la Lettre aux Hébreux . 

Meratrim Meratrim | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 626293 | align_1: 7-5 | align_2: 8-10 | entity: Re-Body Meratrim - Re-Body Meratrim |    With this in mind , is Re-Body Meratrim worth trying , or can you just expect to throw your money out the window ? ||| Dans cet esprit , Re-Body Meratrim vaut -il la peine d’ être essayé , ou pouvez -vous simplement vous attendre à jeter votre argent par la fenêtre ? 

O’Gara Gara | w_freq: 1 - 1 | wiki_freq: 18 - 543 | sentence_idx: 636558 | align_1: 4-5 | align_2: 5-9 | entity: James O’Gara - James O’ Gara |    Joan Smith and James O’Gara first met in a discussion group organized by the Catholic Worker movement . ||| Joan Smith et James O’ Gara se sont d’ abord rencontrés dans un groupe de discussion organisé par le Mouvement catholique ouvrier . 

O’Gara O’ | w_freq: 1 - 133 | wiki_freq: 18 - 1917 | sentence_idx: 636558 | align_1: 4-4 | align_2: 5-9 | entity: James O’Gara - James O’ Gara |    Joan Smith and James O’Gara first met in a discussion group organized by the Catholic Worker movement . ||| Joan Smith et James O’ Gara se sont d’ abord rencontrés dans un groupe de discussion organisé par le Mouvement catholique ouvrier . 

17:105 17:105 | w_freq: 4 - 4 | wiki_freq: 1 - 0 | sentence_idx: 637100 | align_1: 0-0 | align_2: 1-8 | entity: 17:105 - none |    17:105 We have sent it down , and with the truth it has come down ( to you O Prophet ) . ||| 17:105 Et c’ est en toute vérité que Nous avons fait descendre le Coran , et il est descendu avec la vérité . 

Beware Méfiez | w_freq: 72 - 33 | wiki_freq: 1829 - 77 | sentence_idx: 643611 | align_1: 0-0 | align_2: 1-4 | entity: none - Méfiez |    Beware speculation for “ reasons ” for why things happen in any capital market . ||| Méfiez -vous de la spéculation pour des « raisons » pour lesquelles les choses se produisent dans n' importe quel marché de capitaux . 

Judea Judée | w_freq: 28 - 32 | wiki_freq: 3068 - 2393 | sentence_idx: 651283 | align_1: 13-16 | align_2: 14-21 | entity: Judea - Judée |    He wrote us a love letter in blood on a Roman cross in Judea 2000 years ago , and God started to teach us about it in advance from the very beginning of the human race . ||| Il nous a écrit une lettre d’ amour dans le sang sur une croix romaine en Judée , il y a 2000 ans , et Dieu a commencé à nous l’ enseigner à ce sujet dès le début de la race humaine . 

Nutrition nutrition | w_freq: 68 - 264 | wiki_freq: 6958 - 2182 | sentence_idx: 653485 | align_1: 14-18 | align_2: 15-23 | entity: the Second International Conference on Nutrition - Conférence internationale sur la nutrition |    The EU provided crucial technical and financial support to the Second International Conference on Nutrition in November 2014 . ||| L’ UE a fournit un support technique et financier crucial lors de la 2ème Conférence internationale sur la nutrition qui s’ est tenue en novembre 2014 . 

Zodiacal Yggdra | w_freq: 3 - 1 | wiki_freq: 111 - 1 | sentence_idx: 659453 | align_1: 11-7 | align_2: 12-12 | entity: none - Yggdra Union |    Yusuf Ali : By the sky , ( displaying ) the Zodiacal Signs ; ||| Heavens sont au moins à tester ( Yggdra Union , Riviera et Gungnir en plus de celui la ) . 

eSports eSports | w_freq: 13 - 8 | wiki_freq: 1130 - 146 | sentence_idx: 661680 | align_1: 6-6 | align_2: 7-11 | entity: none - eSports |    How rapidly will the popularity of eSports develop across all sections of the population ? ||| A quelle vitesse la popularité des eSports va -t -elle se développer dans toutes les couches de la population ? 

Ombudsman Médiateur | w_freq: 83 - 24 | wiki_freq: 4691 - 345 | sentence_idx: 661711 | align_1: 14-11 | align_2: 15-19 | entity: the Environmental Office of the Human Rights Ombudsman ) - Bureau environnemental du Médiateur en charge des droits de l’ homme |    The other officially recognised supervisory body ( the Environmental Office of the Human Rights Ombudsman ) only produces an annual report with very little information on the forest sector . ||| L’ autre organe de surveillance officiel ( le Bureau environnemental du Médiateur en charge des droits de l’ homme ) ne produit qu’ un rapport annuel qui contient très peu d’ informations sur le secteur forestier . 

194 194 | w_freq: 22 - 32 | wiki_freq: 6143 - 1473 | sentence_idx: 663008 | align_1: 0-0 | align_2: 1-4 | entity: 194 - none |    194 The applicant does not dispute that the Commission verified the prices of all product types and considered them to be reliable . ||| 194 En effet , la requérante ne conteste pas que la Commission a vérifié les prix de tous les types de produit et les a jugés fiables . 

Meteor Météore | w_freq: 7 - 2 | wiki_freq: 4784 - 133 | sentence_idx: 663331 | align_1: 5-5 | align_2: 6-11 | entity: none - Fireball Over Michigan : Le Météore A - T |    Fireball Over Michigan : Did Meteor Really Cause an Earthquake ? ||| Fireball Over Michigan : Le Météore A - T - Il Vraiment Causé Un Séisme ? 

Midian Madian | w_freq: 3 - 4 | wiki_freq: 333 - 57 | sentence_idx: 666404 | align_1: 14-14 | align_2: 15-18 | entity: Midian - Madian |    But now the LORD has abandoned us and put us into the hand of Midian . ||| Maintenant l’ Eternel nous abandonne , et il nous livre entre les mains de Madian [ Midyan ] ! 

Bret Bret | w_freq: 17 - 18 | wiki_freq: 5393 - 1608 | sentence_idx: 668036 | align_1: 14-15 | align_2: 15-29 | entity: Bret Hart - Bret Hart |    As he said himself , " No one could take a shit kicking like Bret Hart " . ||| Comme il le dit lui-même : « no one could take a shit kicking like Bret Hart » ( « personne ne peut prendre des sales coups comme Bret Hart » ) . 

EasyBib EasyBib | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 672171 | align_1: 9-11 | align_2: 10-16 | entity: EasyBib - EasyBib |    But how many students used a free site like EasyBib on their own laptops to cite sources instead ? ||| Mais combien d’ étudiants ont utilisé un site gratuit tel que EasyBib à la place , sur leurs propres ordinateurs , pour citer leurs sources ? 

Agri-Food Agroalimentaire | w_freq: 4 - 2 | wiki_freq: 363 - 242 | sentence_idx: 673565 | align_1: 6-8 | align_2: 7-13 | entity: Agri-Food - ministre de l' Agriculture et de l' Agroalimentaire |    Does the Minister of Agriculture and Agri-Food intend to reply favourably to this request ? ||| Le ministre de l' Agriculture et de l' Agroalimentaire a -t -il l' intention de répondre favorablement à cette demande ? 

E-96 E-96 | w_freq: 13 - 15 | wiki_freq: 1 - 2 | sentence_idx: 674489 | align_1: 0-0 | align_2: 1-4 | entity: E-96 - none |    E-96 Lord , we see that You 're increasing our building . ||| E-96 ( 79 ) Seigneur , nous voyons que Tu as agrandi notre bâtiment . 

Miley Miley | w_freq: 17 - 17 | wiki_freq: 3590 - 784 | sentence_idx: 674820 | align_1: 2-3 | align_2: 3-8 | entity: Miley - Miley |    I hope Miley enjoys every minute of this brief experience before her inevitable reinvention takes place . ||| J’ espère que Miley est en train d’ apprécier chaque minute de cette brève expérience avant que son inévitable réinvention ne démarre . 

Blazing Heure | w_freq: 7 - 25 | wiki_freq: 1126 - 2710 | sentence_idx: 679700 | align_1: 7-9 | align_2: 8-14 | entity: a Blazing Fire - Heure de mensonge |    “ ... and We have prepared a Blazing Fire for him who denies the Hour . ” ||| Nous avons cependant préparé , pour quiconque qualifie l’ Heure de mensonge , une flamme brûlante . 

HV HV | w_freq: 4 - 4 | wiki_freq: 1575 - 390 | sentence_idx: 680439 | align_1: 8-10 | align_2: 9-14 | entity: none - HV |    17 " General , did you and the HV participate ... " ||| 7 " Général , est -ce que vous et la HV , vous avez participé … " 

Brief Brief | w_freq: 13 - 6 | wiki_freq: 5972 - 234 | sentence_idx: 681004 | align_1: 9-8 | align_2: 10-12 | entity: none - Policy Brief |    1 , also referred to in OECD , Policy Brief " Hard Core Cartels - Harm and Effective Sanctions " , May 2002 . ||| 1 , également cité dans OCDE , Policy Brief ( synthèse ) « Hard Core Cartels — Harm and Effective Sanctions » , mai 2002 . 

E-223 E-223 | w_freq: 4 - 4 | wiki_freq: 0 - 0 | sentence_idx: 684452 | align_1: 0-0 | align_2: 1-4 | entity: none - E-223 |    E-223 How can we be the Church when we despise one another ? ||| E-223 ( 221 ) Comment pouvons -nous être l' église si nous nous méprisons les uns les autres ? 

Bader Bader | w_freq: 7 - 7 | wiki_freq: 3769 - 613 | sentence_idx: 688593 | align_1: 0-1 | align_2: 1-5 | entity: Bader - Bader |    Bader was variously told that he was on a submarine , in space or outside the borders of Israel . ||| A Bader , on lui a dit , à diverses occasions , qu' il était sur un sous-marin , dans l' espace ou à l’ extérieur des frontières d’ Israël . 

2371 2371 | w_freq: 1 - 1 | wiki_freq: 77 - 53 | sentence_idx: 690648 | align_1: 8-8 | align_2: 9-14 | entity: the UN Resolution 2371 - none |    A deal was made and the UN Resolution 2371 passed . ||| Un accord a été conclu et la résolution 2371 de l’ ONU a été adoptée . 

7.124 7.124 | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 701164 | align_1: 0-0 | align_2: 1-4 | entity: 7.124 - none |    7.124 The relationship may be nonlinear . ||| 7.124 Bien entendu , la relation peut être non linéaire . 

Dhu’l-Qarnain Qarnaïn | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 703540 | align_1: 6-9 | align_2: 7-17 | entity: Dhu’l-Qarnain - Dhou al - Qarnaïn |    And they ask you questions about Dhu’l-Qarnain . ||| Ils t’ interrogent au sujet de Dhou al - Qarnaïn ( l’ homme aux deux cornes ) . 

Simplify Simplifier | w_freq: 9 - 2 | wiki_freq: 93 - 16 | sentence_idx: 704304 | align_1: 0-0 | align_2: 1-4 | entity: none - Simplifier |    Simplify Platform – Consolidate and simplify the platform environment . ||| Simplifier la plate - forme : Consolider et simplifier l’ environnement de la plate - forme . 

Coordinator Coordonnateur | w_freq: 42 - 11 | wiki_freq: 7762 - 115 | sentence_idx: 715860 | align_1: 3-1 | align_2: 4-7 | entity: The Emergency Relief Coordinator - Coordonnateur des secours d’ urgence |    The Emergency Relief Coordinator added that there is no alternative to the cross‑border operation and that a renewal of the provisions of Security Council resolution 2165 is critical . ||| Le Coordonnateur des secours d’ urgence a ajouté qu’ il n’ y a pas d’ alternative à l’ opération transfrontière et que le renouvèlement des dispositions de la résolution 2165 du Conseil de sécurité est essentiel . 

CO2 CO2 | w_freq: 235 - 235 | wiki_freq: 9813 - 1808 | sentence_idx: 720151 | align_1: 7-8 | align_2: 8-12 | entity: none - CO2 |    If someone aims to control and tax CO2 , does n’t he want to control and tax the life itself ? ||| Si quelqu’ un vise à contrôler et le CO2 de l’ impôt , il ne veut pas de contrôler et de taxer la vie elle-même ? 

Section(9 Section | w_freq: 1 - 149 | wiki_freq: 0 - 6747 | sentence_idx: 724263 | align_1: 9-10 | align_2: 10-19 | entity: the Protective Research Section(9 - Protective Research Section |    Every time the President travels , the Protective Research Section(9 ) makes a security check of the area . ||| Chaque fois que le Président voyage , la Protective Research Section ( Section de Recherche Protectrice ) ( 9 ) fait un contrôle de sécurité du secteur . 

Procurement Procurement | w_freq: 8 - 2 | wiki_freq: 2500 - 39 | sentence_idx: 726981 | align_1: 2-2 | align_2: 3-9 | entity: Green Public Procurement - Green Public Procurement |    Green Public Procurement : the government as sustainable consumer . ||| Green Public Procurement ( les marchés publics verts ) : le gouvernement en tant que consommateur durable . 

paws Pattes | w_freq: 4 - 1 | wiki_freq: 1259 - 154 | sentence_idx: 730736 | align_1: 2-0 | align_2: 3-5 | entity: none - Pattes |    Applying to paws – again this is not always very well tolerated in small animals . ||| Pattes de l ’ application – encore une fois ce n’ est pas toujours très bien toléré chez les petits animaux . 

76.7 76.7 | w_freq: 2 - 1 | wiki_freq: 389 - 1 | sentence_idx: 732118 | align_1: 0-0 | align_2: 1-5 | entity: 76.7 - none |    76.7 Villagers in Malawi Discuss the Role of Trees in Their Community ||| 76.7 Au Malawi , des Villageois Discutent du Rôle des Arbres dans Leur Collectivité 

Daesh Daesh | w_freq: 79 - 41 | wiki_freq: 371 - 205 | sentence_idx: 733390 | align_1: 6-4 | align_2: 7-10 | entity: Daesh - Daesh |    “ We must combat all of Daesh including its financiers and its propagandists . ||| ' nous devons combattre Daesh dans son intégralité , y compris ses financiers et ses propagandistes . 

Keogh Keogh | w_freq: 1 - 1 | wiki_freq: 2084 - 144 | sentence_idx: 734831 | align_1: 2-2 | align_2: 3-7 | entity: Gerry Keogh - Gerry Keogh |    As Gerry Keogh affirmed again , “ we evacuate if we believe it is safer for anybody . ” ||| Comme Gerry Keogh l’ a de nouveau affirmé : nous évacuons si nous pensons qu' il est plus sûr pour quiconque » . 

Khaba'ith ith | w_freq: 2 - 2 | wiki_freq: 0 - 3 | sentence_idx: 737255 | align_1: 10-13 | align_2: 11-21 | entity: Al- Khaba'ith - none |    Indeed I seek refuge in You from Al-Khubith and Al- Khaba'ith . " ||| Je cherche refuge en Toi contre Al - Khubith et Al - Khaba' ith . [ contre les djinns mâles et femelles]. " 

Khaba'ith Khaba' | w_freq: 2 - 1 | wiki_freq: 0 - 0 | sentence_idx: 737255 | align_1: 10-12 | align_2: 11-21 | entity: Al- Khaba'ith - Khaba' |    Indeed I seek refuge in You from Al-Khubith and Al- Khaba'ith . " ||| Je cherche refuge en Toi contre Al - Khubith et Al - Khaba' ith . [ contre les djinns mâles et femelles]. " 

E-3 E-3 | w_freq: 18 - 20 | wiki_freq: 594 - 132 | sentence_idx: 740119 | align_1: 0-0 | align_2: 1-5 | entity: none - E-3 |    E-3 Not long ago , one of my managers , Mr. Baxter ... ||| E-3 Il n’ y a pas longtemps , l’ un de mes organisateurs , monsieur Baxter ... 

Recruiting Recruter | w_freq: 9 - 3 | wiki_freq: 2932 - 10 | sentence_idx: 743485 | align_1: 3-3 | align_2: 4-9 | entity: none - Recruter |    OL : ‘ Recruiting qualified workers is essential to the development of the biotech industry . ||| OL : «   Recruter de la main d’ œuvre qualifiée est indispensable au développement du secteur biotech . 

Coordinator Coordonnateur | w_freq: 42 - 11 | wiki_freq: 7762 - 115 | sentence_idx: 745053 | align_1: 3-1 | align_2: 4-7 | entity: The Emergency Relief Coordinator - Coordonnateur des secours d’ urgence |    The Emergency Relief Coordinator added that there is no alternative to the cross-border operation and that a renewal of the provisions of Security Council resolution 2165 is critical . ||| Le Coordonnateur des secours d’ urgence a ajouté qu’ il n’ y a pas d’ alternative à l’ opération transfrontière et que le renouvèlement des dispositions de la résolution 2165 du Conseil de sécurité est essentiel . 

Naturefriends Amis | w_freq: 2 - 86 | wiki_freq: 2 - 6976 | sentence_idx: 750558 | align_1: 2-1 | align_2: 3-6 | entity: Naturefriends Austria - Amis de la Nature d’ Autriche |    Nevertheless , Naturefriends Austria also faces major challenges – what are your priorities for the next few years ? ||| Les Amis de la Nature d’ Autriche ont néanmoins à relever d’ importants défis – quelles sont tes priorités pour les années à venir ? 

L-74 E-74 | w_freq: 2 - 33 | wiki_freq: 0 - 2 | sentence_idx: 760506 | align_1: 0-0 | align_2: 1-4 | entity: none - E-74 |    L-74 And now every pastor is invited . ||| E-74 ( 3 ) Et maintenant , chaque pasteur est invité . 

Ghana—just Ghana | w_freq: 1 - 155 | wiki_freq: 0 - 8752 | sentence_idx: 767472 | align_1: 9-10 | align_2: 10-15 | entity: Ghana—just - Ghana |    Not all of Africa , nor even all of Ghana—just the consumers living in two districts . ||| Pas dans toute l’ Afrique , ni même partout au Ghana , non , simplement les consommateurs qui vivaient dans deux districts . 

Startups Startups | w_freq: 12 - 5 | wiki_freq: 702 - 36 | sentence_idx: 767564 | align_1: 24-32 | align_2: 25-36 | entity: none - Why Internal Ventures Are Different from External Startups |    This is what Henry Chesbrough called “ get upstairs in the building ” in his excellent article Why Internal Ventures Are Different from External Startups . ||| C' est ce que Henry Chesbrough appelle “ get upstairs in the building ” ( monter les étages - NdT ) dans son excellent article Why Internal Ventures Are Different from External Startups ( en ) . 

