vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 

checkpoint check | w_freq: 34 - 41 | wiki_freq: 5898 - 321 | sentence_idx: 573441 | align_1: 12-12 | align_2: 13-17 |    Whoever does not shoot a young woman holding a knife at a checkpoint gets Paris . ||| Quiconque n’ abat pas une jeune femme tenant un couteau à un check - point s’ en prend à Paris . 

Signs versets | w_freq: 89 - 203 | wiki_freq: 9300 - 3502 | sentence_idx: 574575 | align_1: 5-8 | align_2: 6-13 |    Verily in this there are Signs for such as are firmly patient and constant , grateful appreciative ||| Certes , il y a là certainement des versets ( des leçons ) pour ceux qui patientent beaucoup et qui sont beaucoup reconnaissants . 

Anyhow Quoi | w_freq: 12 - 506 | wiki_freq: 258 - 4268 | sentence_idx: 576058 | align_1: 0-0 | align_2: 1-5 |    Anyhow , the soul , or the outcome of the initiation will be absorbed by Geburah , by Buddhi . ||| Quoi qu’ il en soit , l’ âme , ou l’ issue de l’ initiation sera absorbé par Geburah , Par Buddhi . 

intolerance intolérance | w_freq: 90 - 94 | wiki_freq: 4085 - 1409 | sentence_idx: 576220 | align_1: 6-6 | align_2: 7-11 |    For the rest , only individual intolerance of the main or additional components is considered a prohibition to use . ||| Pour le reste , seule l’ intolérance individuelle à l’ égard des composants principaux ou supplémentaires est considérée comme une interdiction d’ utilisation . 

1,638 638 | w_freq: 1 - 4 | wiki_freq: 143 - 584 | sentence_idx: 576306 | align_1: 1-2 | align_2: 2-6 |    And 1,638 are in need of emergency assistance in the northern town of Galkayo . ||| Et 1 638 d’ entre elles ont besoin d' une aide d' urgence dans la ville de Galkayo , au nord . 

concretely concrètement | w_freq: 68 - 118 | wiki_freq: 611 - 1578 | sentence_idx: 577400 | align_1: 1-1 | align_2: 2-6 |    More concretely Wall Street speculators were in charge of Brazil ’s monetary policy . ||| Plus concrètement , les spéculateurs de Wall Street étaient en charge de la politique monétaire du Brésil . 

endurance patience | w_freq: 83 - 489 | wiki_freq: 11939 - 1896 | sentence_idx: 579294 | align_1: 13-29 | align_2: 14-33 |    If endurance is the reward of endurance , what ’s so great about endurance ? ||| Si la préservation de la foi est la condition de la patience , comment la préservation de la foi peut -elle être en même temps le fruit de la patience , son résultat ? 

Morales Morales | w_freq: 38 - 38 | wiki_freq: 13572 - 2591 | sentence_idx: 579322 | align_1: 1-1 | align_2: 2-5 |    But Morales failed to do build the defenses that are necessary to make such changes permanent . ||| Mais Morales n’ a pas réussi à construire les défenses nécessaires pour rendre ces changements permanents . 

Beiral Beiral | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 579545 | align_1: 7-7 | align_2: 8-11 |    But after he made the people , Beiral realised that the people had no lands ! ||| Mais après avoir créé le peuple , Beiral s’ est rendu compte que les gens n’ avaient pas de terre ! 

announcements annonces | w_freq: 99 - 268 | wiki_freq: 7696 - 4389 | sentence_idx: 580361 | align_1: 12-13 | align_2: 13-17 |    " ' And then it wo n't be long before you see announcements internationally that Solomon 's sandals have been found , and Mohammad 's sword . ' " ||| « Et puis il ne sera pas longtemps avant que vous voyez des annonces à l’ échelle internationale que les sandales de Salomon ont été trouvés , et l’ épée de Mohammad . » 

Q. Q. | w_freq: 328 - 252 | wiki_freq: 6036 - 1521 | sentence_idx: 581115 | align_1: 0-0 | align_2: 1-5 |    Q. Could it ever happen that I would have to replace a word in the text ? ||| Q. Est -ce qu' il peut arriver que je doive remplacer un mot du texte ? 

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 582742 | align_1: 0-0 | align_2: 1-5 |    Maybe he ’ll exchange Facebook info with her , as he did with the women who preceded me . ||| Peut - être échangera -t -il le nom de son profil Facebook avec elle , comme il l’ a fait avec les femmes qui m’ ont précédé . 

Combines combine | w_freq: 2 - 75 | wiki_freq: 372 - 4650 | sentence_idx: 583524 | align_1: 1-2 | align_2: 2-7 |    Woman Combines Coconut Oil And Cannabis Oil ( You wo n’t believe what happened to her body ) ||| Une femme combine de l’ huile de coco et de l’ huile de cannabis ( vous ne croirez pas ce qui est arrivé à son organisme ) 

Creationists créationnistes | w_freq: 4 - 17 | wiki_freq: 128 - 184 | sentence_idx: 584695 | align_1: 2-2 | align_2: 3-7 |    Many American Creationists praised this book , stating that it is full of information . ||| De nombreux créationnistes américains ont fait l’ éloge de ce livre , déclarant qu’ il est plein d’ informations . 

Really Vraiment | w_freq: 239 - 146 | wiki_freq: 5829 - 115 | sentence_idx: 584742 | align_1: 0-0 | align_2: 1-5 |    Really unfortunate way to end my Australian Open 2009 . ||| Vraiment , c’ est une triste façon de terminer mon Open d’ Australie 2009 . 

optics optiques | w_freq: 8 - 34 | wiki_freq: 8628 - 4789 | sentence_idx: 584836 | align_1: 10-15 | align_2: 11-19 |    I mean , what army in the world uses fiber optics except Hezbollah ? ||| Je veux dire : quelle armée , au monde , utilise -t -elle des fibres optiques , mis à part le Hezbollah ? 

Jehovah Jéhovah | w_freq: 133 - 121 | wiki_freq: 5053 - 1803 | sentence_idx: 584972 | align_1: 15-14 | align_2: 16-19 |    The text below is the transcript of the second part of this series , Has Jehovah Always Had an Organization ? ||| Le texte ci-dessous est la retranscription de la deuxième partie de cette série , Jéhovah a - t’ il toujours eu une organisation ? 

Licenses licences | w_freq: 8 - 227 | wiki_freq: 895 - 4841 | sentence_idx: 586424 | align_1: 0-1 | align_2: 1-5 |    Licenses outside the U.S. will be transferred to Ipsen . ||| Les licences accordées à l’ extérieur des Etats-Unis seront transférées à Ipsen . 

Kaizuka Kaizuka | w_freq: 1 - 1 | wiki_freq: 131 - 38 | sentence_idx: 587864 | align_1: 0-0 | align_2: 1-4 |    Kaizuka actually joined in the production of the song when it was almost complete . ||| Kaizuka s’ est en fait joint à la production de la chanson quand elle était presque terminée . 

tiger tigre | w_freq: 83 - 91 | wiki_freq: 13974 - 3408 | sentence_idx: 590363 | align_1: 9-11 | align_2: 10-16 |    The whole financial system is just a massive paper tiger but the world has n’t realised it yet . ||| L’ ensemble du système financier n’ est qu’ un énorme “ tigre de papier ” , mais le monde ne l’ a pas encore compris . 

tiger tigre | w_freq: 83 - 91 | wiki_freq: 13974 - 3408 | sentence_idx: 590364 | align_1: 9-11 | align_2: 10-16 |    The whole financial system is just a massive paper tiger but the world has n’t realised it yet . ||| L’ ensemble du système financier n’ est qu’ un énorme " tigre de papier " , mais le monde ne l’ a pas encore compris . 

Skopje Skopje | w_freq: 13 - 13 | wiki_freq: 6914 - 2313 | sentence_idx: 590558 | align_1: 11-12 | align_2: 12-17 |    By the way , we had a very interesting meeting in Skopje two months ago . ||| A ce propos , nous avons eu une réunion très intéressante à Skopje , il y a deux mois . 

Badoer Badoer | w_freq: 1 - 1 | wiki_freq: 452 - 236 | sentence_idx: 592121 | align_1: 10-11 | align_2: 11-16 |    “ For sure it is an important race for Luca Badoer next weekend . ||| « Bien sûr , c' est une course importante pour Luca Badoer le week - end prochain . 

recommend recommandent | w_freq: 1219 - 135 | wiki_freq: 13127 - 1391 | sentence_idx: 592860 | align_1: 5-5 | align_2: 6-10 |    Moreover , the authors already recommend an evaluation of the elements of the New Zealand legislation that could be transposed into the English legislation . ||| D’ ailleurs , les auteurs recommandent d’ ores et déjà une évaluation des éléments de la législation néo-zélandaise , qui pourraient être transposés dans la législation anglaise . 

condensing condense | w_freq: 4 - 11 | wiki_freq: 1333 - 475 | sentence_idx: 594379 | align_1: 11-11 | align_2: 12-16 |    A title and a name as old as the world , condensing western history . ||| Un titre et un nom vieux comme le monde , qui condense l’ histoire de l’ Occident . 

drone drone | w_freq: 298 - 242 | wiki_freq: 9848 - 2113 | sentence_idx: 596976 | align_1: 4-3 | align_2: 5-8 |    When was the first drone used in history for purposes of killing ? ||| Quand le premier drone a -t -il été utilisé dans l' histoire à des fins de mise à mort ? 

Corbyn Corbyn | w_freq: 69 - 69 | wiki_freq: 4429 - 698 | sentence_idx: 597203 | align_1: 3-2 | align_2: 4-7 |    But how did Corbyn do in terms of the Labour vote compared to his recent predecessors ? ||| Mais comment Corbyn s’ en est il sorti , en termes de votes travaillistes par rapport à ses récents prédécesseurs ? 

re êtes | w_freq: 44 - 10210 | wiki_freq: 4575 - 2770 | sentence_idx: 597987 | align_1: 6-7 | align_2: 7-11 |    So , the next time you re adding a third ( or fourth or fifth ) to the mix , refer to the list above . ||| Donc , la prochaine fois que vous êtes en train d’ ajouter un troisième ( ou quatrième ou cinquième ) pour le mélange , reportez -vous à la liste ci - dessus . 

odor odeur | w_freq: 36 - 207 | wiki_freq: 5534 - 6408 | sentence_idx: 598918 | align_1: 13-11 | align_2: 14-16 |    It will not be possible to treat completely as long as the mouth odor is not detected . ||| Il ne sera pas possible de traiter complètement tant que l’ odeur de la bouche n’ est pas détectée . 

Inspire inspirent | w_freq: 16 - 57 | wiki_freq: 1054 - 4162 | sentence_idx: 599713 | align_1: 3-5 | align_2: 4-10 |    How Great Leaders Inspire Action ( Start With Why ) ||| Comment les grands leaders nous inspirent à passer à l’ action ( Start with why ) 

inclination inclination | w_freq: 30 - 14 | wiki_freq: 8921 - 592 | sentence_idx: 599928 | align_1: 14-15 | align_2: 15-19 |    And we might assume that this pope probably does n't have the tendencies or inclination attributed to four of his recent predecessors . ||| Et on peut penser que ce pape n’ a probablement pas les tendances ni l’ inclination qu’ on a attribuées à quatre de ses prédécesseurs récents . 

Undergoing Faire | w_freq: 4 - 369 | wiki_freq: 108 - 1584 | sentence_idx: 600996 | align_1: 0-0 | align_2: 1-5 |    Undergoing SSAE-18 SOC 2 Type II audits by a qualified independent third-party ; and ||| Faire l’ objet d’ audits SSAE-18 SOC 2 Type II par un tiers indépendant qualifié ; et 

hallowed sanctifié | w_freq: 4 - 30 | wiki_freq: 586 - 154 | sentence_idx: 601693 | align_1: 12-12 | align_2: 13-17 |    Neither shall ye profane My holy name ; but I will be hallowed among the children of Israel . ||| Vous ne profanerez point mon saint nom , afin que je sois sanctifié [ qadash ] au milieu des enfants d’ Israël . 

Worldwide Worldwide | w_freq: 63 - 17 | wiki_freq: 13868 - 1093 | sentence_idx: 602317 | align_1: 10-10 | align_2: 11-17 |    This post is part of our special coverage # Occupy Worldwide . ||| Ce billet fait partie de notre couverture spéciale # Occupy Worldwide ( Occuper le monde entier ) . 

microorganism microorganisme | w_freq: 11 - 2 | wiki_freq: 853 - 84 | sentence_idx: 604082 | align_1: 15-13 | align_2: 16-21 |    In other words , scientists are only starting to understand and study this recently discovered microorganism . ||| En sommes , les scientifiques débutent seulement à comprendre et à étudier ce microorganisme qui n’ a été découvert que récemment . 

bodyguards bodyguards | w_freq: 16 - 4 | wiki_freq: 3832 - 1 | sentence_idx: 604114 | align_1: 9-11 | align_2: 10-15 |    " ( I saw ) five SUVs with their bodyguards inside and a small Mercedes car . ||| " ( J' ai vu ) cinq VUS avec leurs " bodyguards " à l' intérieur et une petite voiture Mercedes . 

leveraging tirant | w_freq: 12 - 26 | wiki_freq: 1607 - 9640 | sentence_idx: 604397 | align_1: 1-1 | align_2: 2-5 |    By leveraging innovation , we strengthen our personal relationships with the 2 million plus entrepreneurs we serve in Latin America , 57 % , women . ||| En tirant parti de l’ innovation , nous renforçons nos relations personnelles avec le million d’ entrepreneurs 2 que nous servons en Amérique latine , 57 % , femmes . 

yuan yuans | w_freq: 88 - 46 | wiki_freq: 6168 - 809 | sentence_idx: 604594 | align_1: 10-8 | align_2: 11-13 |    Can you please ask him to lend us a hundred yuan ? ” ||| Pourriez -vous lui demander de nous prêter cent yuans s’ il vous plaît ? » 

Challenges défis | w_freq: 60 - 1967 | wiki_freq: 4651 - 4641 | sentence_idx: 605252 | align_1: 8-10 | align_2: 9-15 |    How Canadian Small Businesses Can Overcome Their Hiring Challenges This Year ||| Comment les petites entreprises canadiennes peuvent - elles surmonter leurs défis en matière d’ embauche cette année 

predict prédire | w_freq: 398 - 287 | wiki_freq: 14855 - 2235 | sentence_idx: 607994 | align_1: 15-16 | align_2: 16-20 |    But is it really possible to speculate on the financial markets when you can not predict the exact direction of the price movement beforehand ? ||| Mais est -il vraiment possible de spéculer sur les marchés financiers lorsque l’ on ne peut prédire à l’ avance la direction exacte du mouvement des prix ? 

Seed Postérité | w_freq: 37 - 6 | wiki_freq: 6868 - 11006 | sentence_idx: 608956 | align_1: 2-2 | align_2: 3-6 |    And his Seed was not all of his children , but " In Isaac was his Seed called . " ||| Et sa Postérité , ce n' était pas tous ses enfants , mais , " En Isaac , fut nommée pour Lui une Postérité " . 

Seed Postérité | w_freq: 37 - 6 | wiki_freq: 6868 - 11006 | sentence_idx: 608957 | align_1: 2-2 | align_2: 3-6 |    And his Seed was not all of his children , but " In Isaac was his Seed called . " ||| Et sa Postérité , ce n' était pas tous ses enfants , mais , " En Isaac , fut nommée pour lui une Postérité . " 

Arthro-5 Arthro-5 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 610300 | align_1: 9-9 | align_2: 10-13 |    We do not know a more potent product than Arthro-5 in the whole world . ||| Nous ne connaissons aucun produit plus puissant que l' Arthro-5 , nulle part dans le monde ! 

shortages pénuries | w_freq: 49 - 43 | wiki_freq: 12389 - 1390 | sentence_idx: 611100 | align_1: 9-10 | align_2: 10-16 |    Observers have stated in recent years that the labour shortages are ‘ fertile ground ’ for the strengthening of the existing trade unions . ||| Ces dernières années , des observateurs ont déclaré que les pénuries de main - d' œuvre constituaient un " terrain fertile " pour le renforcement des syndicats existants . 

WiFi WiFi | w_freq: 59 - 49 | wiki_freq: 2189 - 177 | sentence_idx: 612494 | align_1: 19-22 | align_2: 20-26 |    You can usually rely on the hotel ’s WiFi – but again , are you really sure that the WiFi there will be good enough ? ||| Vous pouvez généralement compter sur le WiFi de l’ hôtel – mais encore une fois , êtes -vous vraiment sûr que le WiFi qu’ il va y avoir sera assez bon ? 

theirs sien | w_freq: 160 - 84 | wiki_freq: 5560 - 3959 | sentence_idx: 612536 | align_1: 6-8 | align_2: 7-13 |    Let 's remember , Germany got theirs not long ago . ||| Rappelons -nous , l’ Allemagne a eu le sien il n’ y a pas longtemps . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 613013 | align_1: 0-0 | align_2: 1-5 |    Anyway , any traveler having stayed in the two cities could not say it otherwise . ||| Quoi qu’ il en soit , tout voyageur ayant séjourné dans les deux villes ne saurait le dire autrement . 

curiously curieusement | w_freq: 24 - 37 | wiki_freq: 1717 - 1329 | sentence_idx: 614660 | align_1: 8-10 | align_2: 9-14 |    Second , the entire Muslim Middle East is curiously watching the choices that Erdogan makes in his third term . ||| Ensuite , l’ ensemble du Proche - Orient musulman est curieusement en train d’ observer les choix que fait Erdogan dans son troisième mandat . 

curiously curieusement | w_freq: 24 - 37 | wiki_freq: 1717 - 1329 | sentence_idx: 614661 | align_1: 8-10 | align_2: 9-14 |    Second , the entire Muslim Middle East is curiously watching the choices that Erdogan makes in his third term . ||| Ensuite , l' ensemble du Proche - Orient musulman est curieusement en train d’ observer les choix que fait Erdogan dans son troisième mandat . 

Shuttle navette | w_freq: 6 - 32 | wiki_freq: 12743 - 7360 | sentence_idx: 614824 | align_1: 10-9 | align_2: 11-13 |    What better instrument to send these satellites than a Space Shuttle modified for these purposes ? ” . ||| Quel meilleur instrument pour envoyer ces satellites qu’ une navette qu’ on va modifier à ces fins ? " 

Villages Villages | w_freq: 17 - 9 | wiki_freq: 11691 - 3621 | sentence_idx: 615057 | align_1: 19-20 | align_2: 20-33 |    Implementing Article 236 of the Egyptian Constitution and creating the Higher Committee on Resettlement and Development of the Nubian Villages , and ||| Appliquer l’ article 236 de la constitution égyptienne et créer le Higher Committee on Resettlement and Development of the Nubian Villages ( Haut Comité de réinstallation et de développement des villages nubiens ) , et 

ex-combatants ex-combattants | w_freq: 9 - 9 | wiki_freq: 155 - 35 | sentence_idx: 615620 | align_1: 14-16 | align_2: 15-20 |    Paul Biya 's decree of 30th November last concerning the disarmament and reintegration of ex-combatants was only the final result of this process . ||| Le décret de Paul Biya en date du 30 novembre dernier portant désarmement et réinsertion des ex-combattants , n’ a été que l’ aboutissement définitif de ce processus . 

Rafa Rafa | w_freq: 32 - 32 | wiki_freq: 1042 - 260 | sentence_idx: 615803 | align_1: 2-3 | align_2: 3-8 |    Keep playing Rafa please . ||| Continue de jouer Rafa , s' il te plaît . 

technician technicien | w_freq: 81 - 82 | wiki_freq: 8879 - 4431 | sentence_idx: 617043 | align_1: 13-19 | align_2: 14-23 |    As a farmer , man against nature is primarily defensive - as a technician offensively . ||| En tant qu’ agriculteur , l’ humain est surtout défensif par rapport à la nature — en tant que technicien , il est offensif . 

Ki-Moon Moon | w_freq: 4 - 94 | wiki_freq: 263 - 6238 | sentence_idx: 617518 | align_1: 24-32 | align_2: 25-37 |    When such things were going on by your colleagues at Minister of Foreign Affairs and Trade , what did you do , Minister Ban Ki-Moon ? ||| Alors que telles choses se produisaient du fait de vos collègues au Ministère des Affaires Etrangères et du Commerce , qu’ est -ce que vous avez fait , Ministre Ban Ki - Moon , pendant ce temps ? 

filters filtre | w_freq: 166 - 180 | wiki_freq: 12874 - 4987 | sentence_idx: 618318 | align_1: 10-10 | align_2: 11-15 |    44 per cent said they would check and replace air filters themselves ||| 37 % ont dit qu’ ils vérifieraient et remplaceraient le filtre à air eux - mêmes 

shortages pénuries | w_freq: 49 - 43 | wiki_freq: 12389 - 1390 | sentence_idx: 618411 | align_1: 10-11 | align_2: 11-18 |    " In fact , the prime minister recently described skills shortages in the Canadian labour market as ' the biggest challenge our country faces ' . ||| « En fait , le premier ministre a récemment décrit les pénuries de main - d' œuvre qualifiée sur le marché du travail canadien comme " le plus grand défi à relever par notre pays " . » 

labs laboratoires | w_freq: 49 - 217 | wiki_freq: 8874 - 9023 | sentence_idx: 618512 | align_1: 2-3 | align_2: 3-7 |    When other labs failed to repeat the process , it became clear the results had been fabricated by an ambitious young researcher . ||| Lorsque d’ autres laboratoires n’ ont pas réussi à répéter le processus , il était devenu évident que les résultats avaient été fabriqués par un jeune chercheur ambitieux . 

midwife sage | w_freq: 19 - 374 | wiki_freq: 3192 - 5188 | sentence_idx: 619293 | align_1: 1-1 | align_2: 2-5 |    The midwife has checked it , and it is extremely low at 4.4 g / dL. ||| La sage - femme l’ a vérifié et il est extrêmement bas à 4,4 g / dl . 

C‑44 C‑44 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 619764 | align_1: 7-7 | align_2: 8-15 |    “ The infrastructure bank portion of Bill C‑44 will be studied for just one hour . ||| « La portion du projet de loi C‑44 portant sur la Banque de l’ infrastructure sera étudiée pendant une heure seulement . 

Auschwitz Auschwitz | w_freq: 106 - 108 | wiki_freq: 9299 - 6737 | sentence_idx: 620310 | align_1: 2-1 | align_2: 3-5 |    " At Auschwitz , there were seven orchestras " . ||| A Auschwitz , par exemple , il y avait sept orchestres . » 

Allah Allah | w_freq: 674 - 803 | wiki_freq: 12189 - 3093 | sentence_idx: 621035 | align_1: 10-8 | align_2: 11-19 |    ( 22:78 ) And strive hard ( jahidu ) for Allah with the endeavour which is right [ ... ] . ||| 22:78 Et EFFORCEZ -VOUS ( JADIHU ) pour Allah avec l' effort ( JIHADIHI ) -Et luttez pour Allah avec tout l' effort -qu' Il mérite . 

transmutation transmutation | w_freq: 41 - 41 | wiki_freq: 920 - 483 | sentence_idx: 621425 | align_1: 2-2 | align_2: 3-7 |    The word transmutation originally applied to our entire being , to everything about us . ||| Le mot transmutation s’ appliquait à l’ origine à tout notre Être , à tout ce qui nous concerne . 

generates génère | w_freq: 158 - 177 | wiki_freq: 12699 - 4777 | sentence_idx: 621496 | align_1: 6-6 | align_2: 7-10 |    In our industry , every technology generates what I call a “ galaxy . ” ||| Dans notre industrie , chaque technologie génère autour d’ elle ce que j’ appelle une “ galaxie ” . 

Itself Lui | w_freq: 32 - 1229 | wiki_freq: 1478 - 8176 | sentence_idx: 622036 | align_1: 8-4 | align_2: 9-10 |    The grain of Wheat will come back to Itself again , the Son of man in the last days . ||| Le grain de Blé Lui - même sera là de nouveau , le Fils de l' homme dans les derniers jours . 

curious curieuses | w_freq: 374 - 20 | wiki_freq: 9476 - 560 | sentence_idx: 622042 | align_1: 10-10 | align_2: 11-15 |    Q : ( L ) Jan and I are very curious about artistic expression at 4th density . ||| Q : ( L ) Jan et moi sommes très curieuses d’ en savoir plus sur l’ expression artistique en 4e densité . 

neutrality neutralité | w_freq: 144 - 159 | wiki_freq: 11243 - 6383 | sentence_idx: 622308 | align_1: 19-20 | align_2: 20-28 |    “ Neelie Kroes and Del Castillo Vera 's current proposals could jeopardize for decades the essential principle of Net neutrality . ||| « Les propositions de Neelie Kroes et de Del Castillo Vera pourraient mettre en péril le principe essentiel de la neutralité du Net pour des dizaines d’ années . 

Baffin Baffin | w_freq: 4 - 4 | wiki_freq: 2196 - 497 | sentence_idx: 622519 | align_1: 1-1 | align_2: 2-7 |    William Baffin usually receives full credit for the successes of the 1616 voyage . ||| William Baffin , d' ailleurs , reçoit souvent tout le crédit pour les succès du voyage de 1616 . 

wonder étonnant | w_freq: 996 - 593 | wiki_freq: 10438 - 2814 | sentence_idx: 623703 | align_1: 1-1 | align_2: 2-10 |    No wonder finance guru Jim Rogers predicts the entire financial system will collapse within 2 or 3 years . ||| Pas étonnant que Jim Rogers , le gourou de la finance , prédit que tout le système financier s’ effondrera d’ ici 2 ou 3 ans . 

Vaccinations Vaccinations | w_freq: 9 - 1 | wiki_freq: 227 - 22 | sentence_idx: 624960 | align_1: 4-5 | align_2: 5-9 |    The Forgotten History of Vaccinations You Need to Be Aware Of by Dr. Mercola ||| - L' histoire oubliée des Vaccinations , de que vous devez être au courant par le Dr Mercola 

Remember Vous | w_freq: 1056 - 21523 | wiki_freq: 9753 - 6197 | sentence_idx: 625801 | align_1: 0-0 | align_2: 1-4 |    Remember that boyfriend of mine who miraculously changed the tire ? ||| Vous souvenez -vous de mon copain qui a miraculeusement changé le pneu ? 

Jomtien Jomtien | w_freq: 6 - 6 | wiki_freq: 79 - 18 | sentence_idx: 625932 | align_1: 4-3 | align_2: 5-8 |    The commitment made at Jomtien 10 years ago promised education as a reality for all in 2000 . ||| L’ engagement de Jomtien , il y a dix ans , promettait l’ éducation comme une réalité pour tous en l’ an 2000 . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 627894 | align_1: 0-0 | align_2: 1-6 |    Anyway we are very happy with the saddle and sure in Jerez things will be different . ||| Quoi qu' il en soit , nous sommes très heureux avec la selle et que dans les choses de Jerez sera différent . 

inclusive inclusif | w_freq: 308 - 103 | wiki_freq: 12684 - 553 | sentence_idx: 628646 | align_1: 6-6 | align_2: 7-10 |    They could have very easily been inclusive and agreed to take an extra month—not 25 months . ||| On aurait très facilement pu être inclusif , s' entendre et prendre un mois de plus — pas 25 mois . 

scared effrayés | w_freq: 271 - 55 | wiki_freq: 7035 - 554 | sentence_idx: 629994 | align_1: 2-2 | align_2: 3-6 |    We are scared that our children will be attacked in one way or another . ”5 ||| Nous sommes effrayés à l’ idée que nos enfants soient attaqués d’ une façon ou d’ une autre[5 ] “ . 

139 139 | w_freq: 32 - 34 | wiki_freq: 8719 - 2059 | sentence_idx: 631106 | align_1: 8-8 | align_2: 9-12 |    Those lucky enough to be able to spend 139 will only have 1250 . ||| Ceux qui auront la chance de pouvoir dépenser 139 € n’ en auront que 1250 . 

motions motions | w_freq: 41 - 32 | wiki_freq: 8774 - 583 | sentence_idx: 632450 | align_1: 4-3 | align_2: 5-8 |    The first two government motions were moved by unanimous consent under Rule 61 – urgent and pressing necessity . ||| Les deux premières motions d’ initiative ministérielle ont été proposées par consentement unanime en vertu de l’ article 61 du Règlement – nécessité urgente et pressante . 

E-2 E-2 | w_freq: 29 - 30 | wiki_freq: 415 - 95 | sentence_idx: 632780 | align_1: 0-0 | align_2: 1-4 |    E-2 We thank Thee for Brother Joseph . ||| E-2 ( 4 ) Nous Te remercions pour frère Joseph . 

activate activer | w_freq: 183 - 159 | wiki_freq: 9616 - 2191 | sentence_idx: 632931 | align_1: 6-5 | align_2: 7-10 |    A small part will begin to activate kundalini energy in a conscious way . ||| Une petite partie commencera à activer l’ énergie de la kundalini d’ une manière consciente . 

E-33 E-33 | w_freq: 16 - 18 | wiki_freq: 7 - 2 | sentence_idx: 634396 | align_1: 0-0 | align_2: 1-5 |    E-33 You Catholics thinks if He would come , He 'd go to the Pope . ||| E-33 Vous les catholiques , vous pensez que s’ Il venait , Il irait vers le pape . 

recommend recommandent | w_freq: 1219 - 135 | wiki_freq: 13127 - 1391 | sentence_idx: 635919 | align_1: 3-2 | align_2: 4-8 |    Some programmes also recommend following the principle of “ food combinations ” , i.e. not combining meat and bread in the same meal , for example . ||| Certains programmes recommandent , en plus , de suivre le principe des « combinaisons alimentaires » , c’ est - à - dire de ne pas combiner dans un même repas viande et pain , par exemple . 

marijuana marijuana | w_freq: 191 - 207 | wiki_freq: 14901 - 1125 | sentence_idx: 636172 | align_1: 17-21 | align_2: 18-27 |    However it is fair to say that on the issue of decriminalization and the medical use of marijuana the New Democratic Party strongly supports the changes being proposed . ||| Toutefois , il est juste de dire que , sur la question de la décriminalisation et de l' usage de la marijuana à des fins médicales , le Nouveau Parti démocratique appuie vigoureusement les changements proposés . 

Helium-3 hélium-3 | w_freq: 2 - 5 | wiki_freq: 135 - 18 | sentence_idx: 637314 | align_1: 0-1 | align_2: 1-5 |    Helium-3 can be extracted , but in very small quantities at each operation . ||| L’ hélium-3 , lui , peut être extrait , mais en très faibles quantités à chaque opération . 

optimistic optimiste | w_freq: 300 - 232 | wiki_freq: 7497 - 1633 | sentence_idx: 637519 | align_1: 12-13 | align_2: 13-17 |    While it has not all been easy , he remains hopeful and optimistic that his mother and father will be able to follow him to Canada in coming months , thanks to the ongoing government resettlement programme . ||| Même si tout n’ a pas été facile , il demeure confiant et optimiste à l’ idée que sa mère et son père pourront le suivre au Canada dans les mois à venir , grâce au programme gouvernemental de réinstallation en cours . 

candle bougie | w_freq: 50 - 43 | wiki_freq: 5284 - 1336 | sentence_idx: 637859 | align_1: 15-17 | align_2: 16-21 |    Remember , what you see in front of you is not a signal until the candle closes . ||| Rappelez -vous que ce que vous voyez devant vous n’ est pas un signal tant que la bougie n’ est pas fermée . 

drone drone | w_freq: 298 - 242 | wiki_freq: 9848 - 2113 | sentence_idx: 638917 | align_1: 6-4 | align_2: 7-10 |    " The downing of the American drone was an experience for them not to violate our borders . ||| « L’ attaque du drone des Etats-Unis d’ Amérique a été une expérience pour eux de ne pas violer nos frontières . 

Waste déchet | w_freq: 54 - 48 | wiki_freq: 8253 - 833 | sentence_idx: 638944 | align_1: 1-2 | align_2: 2-8 |    Zero Waste was not a bomb with my relatives : everyone knew about my ecologist nature . ||| Le zéro déchet , ça n’ a pas été une bombe chez mes proches : tout le monde connaissait ma nature écologiste . 

El-Azar-us us | w_freq: 1 - 16 | wiki_freq: 0 - 1248 | sentence_idx: 639384 | align_1: 8-13 | align_2: 9-21 |    He performed miracles and raised one man , El-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

