Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 
Spira Spira | w_freq: 2 - 2 | wiki_freq: 874 - 288 | sentence_idx: 475739 | align_1: 1-1 | align_2: 2-5 | entity: Rupert Spira - Rupert Spira |    Rupert Spira – “ You are safe everywhere . ” ||| Rupert Spira ( en anglais ): " Vous êtes en sécurité partout . " 

E-102 E-102 | w_freq: 8 - 8 | wiki_freq: 21 - 7 | sentence_idx: 475903 | align_1: 0-0 | align_2: 1-4 | entity: none - E-102 |    E-102 Now the man is holding great campaigns everywhere . ||| E-102 ( 57 ) Maintenant , cet homme tient de grandes campagnes partout . 

FRA FRA | w_freq: 13 - 13 | wiki_freq: 1129 - 487 | sentence_idx: 478616 | align_1: 14-14 | align_2: 15-18 | entity: FRA 2000 - FRA |    At the global level , the study confirms the rate of deforestation reported in FRA 2000 and later , and also confirms the considerable gains of forests in many regions . ||| Au niveau mondial , l’ étude confirme le taux de déforestation rapportés dans le FRA de l’ année 2000 et plus tard , et confirme également les gains considérables en couvertures forestières dans de nombreuses régions . 

E-65 E-65 | w_freq: 14 - 14 | wiki_freq: 3 - 1 | sentence_idx: 487465 | align_1: 0-0 | align_2: 1-4 | entity: none - E-65 |    E-65 Not only that , but everything that we say is alive . ||| E-65 ( 29 ) Non seulement cela , mais chaque chose que nous disons reste vivante . 

Pressure1 Pressure | w_freq: 1 - 7 | wiki_freq: 0 - 327 | sentence_idx: 491513 | align_1: 17-29 | align_2: 18-34 | entity: Women Under Pressure1 - Women Under Pressure |    The Institute for Health and Human Potential recently released a very interesting white paper called Women Under Pressure1 . ||| L’ Institute for Health and Human Potential ( institut de la santé et du potentiel humain ) a récemment publié un livre blanc très intéressant , intitulé Women Under Pressure ( femmes sous pression)1 . 

Juncker Juncker | w_freq: 101 - 100 | wiki_freq: 807 - 533 | sentence_idx: 491774 | align_1: 3-2 | align_2: 4-10 | entity: Jean-Claude Juncker - Jean-Claude Juncker |    Commission President Jean-Claude Juncker said : “ Our parents and grandparents founded this Union with one common vision : never again war . ||| M. Jean-Claude Juncker , président de la Commission , a déclaré à ce propos : « Nos parents et grands - parents ont fondé cette Union avec une vision commune : plus jamais de guerre . 

SASP SASP | w_freq: 1 - 1 | wiki_freq: 128 - 408 | sentence_idx: 502087 | align_1: 10-12 | align_2: 11-16 | entity: ICAO SASP - SASP |    “ There was a lot of collaboration outside of ICAO SASP . ||| « Il y a eu beaucoup de collaboration à l’ extérieur du SASP de l’ OACI . 

8501 8501 | w_freq: 2 - 2 | wiki_freq: 103 - 21 | sentence_idx: 502615 | align_1: 17-19 | align_2: 18-24 | entity: AirAsia Flight 8501 - none |    It was not “ good luck ” that some individuals who intended to be on AirAsia Flight 8501 were not : Their time was not up . ||| Ce n' était pas « par chance » que certaines personnes qui avaient l' intention de prendre le vol 8501 d’ AirAsia n' y étaient pas : leur temps n' était pas venu . 

Kerviel Kerviel | w_freq: 3 - 3 | wiki_freq: 129 - 223 | sentence_idx: 509294 | align_1: 2-3 | align_2: 3-7 | entity: Kerviel - Kerviel |    Note that Kerviel was caught for its position of 50 billion , but because of an operation whose objective was to hide its 2007 profit . ||| A noter que Kerviel n’ a pas été attrapé pour sa position de 50 milliards , mais à cause d’ une opération dont l’ objectif était de cacher son profit 2007 . 

Shiatsu Shiatsu | w_freq: 12 - 11 | wiki_freq: 107 - 34 | sentence_idx: 517000 | align_1: 0-1 | align_2: 1-5 | entity: Shiatsu - Shiatsu |    Shiatsu alone can not do much if we do not have the help of a healthy environment . ||| Le Shiatsu , à lui seul , ne peut pas faire grand chose , si nous n’ avons pas l’ aide d’ un environnement sain . 

al-Bayt Bayt | w_freq: 2 - 3 | wiki_freq: 471 - 218 | sentence_idx: 519216 | align_1: 6-9 | align_2: 7-13 | entity: Ahl al-Bayt " - Ahl al - Bayt |    What is meant by " Ahl al-Bayt " in the Quran and hadiths . ||| Ce qu’ on entend par " Ahl al - Bayt ( a ) " dans le Coran et les hadiths . 

Carlsen Carlsen | w_freq: 4 - 5 | wiki_freq: 2640 - 857 | sentence_idx: 519842 | align_1: 6-8 | align_2: 7-12 | entity: Carlsen - Carlsen |    Carlsen-Caruana , Game 7 ; maybe Carlsen wanted this position ? ||| Carlsen - Caruana , Partie 7 ; peut-être Carlsen a -t -il voulu jouer cette position ? 

5784 5784 | w_freq: 1 - 1 | wiki_freq: 11 - 18 | sentence_idx: 523906 | align_1: 16-19 | align_2: 17-24 | entity: Senate Bill 5784 - none |    I strongly urge ( Senator / Representative ) to reject the current version of Senate Bill 5784 as inadequate , and support amendments to make it stronger . ||| J’ exhorte vivement ( sénateur / représentant ) à rejeter la version actuelle du projet de loi n ° 5784 du Sénat , la jugeant insuffisante , et à appuyer les amendements pour le renforcer . 

Bloodbath Bloodbath | w_freq: 1 - 1 | wiki_freq: 475 - 42 | sentence_idx: 535022 | align_1: 0-0 | align_2: 1-4 | entity: none - Bloodbath |    Bloodbath for me was never a serious project , it was just something I did for fun . ||| Bloodbath n' a , pour moi , jamais été un projet sérieux ; c' est juste quelque chose que j' ai fait pour m' amuser . 

Transcarpathia Transcarpathie | w_freq: 2 - 2 | wiki_freq: 316 - 44 | sentence_idx: 540195 | align_1: 7-7 | align_2: 8-12 | entity: Transcarpathia - Église en Transcarpathie |    We know that in the Church in Transcarpathia they are reported to speak in tongues . ||| Nous savons que dans l' Église en Transcarpathie , on rapporte qu’ ils parlent en langues . 

Shaktis shaktis | w_freq: 2 - 1 | wiki_freq: 23 - 0 | sentence_idx: 546200 | align_1: 15-19 | align_2: 16-24 | entity: Shaktis - none |    You have to experience this yourself and see if you have achieved it , the Shaktis are awakened fully or not . ||| Vous devez faire l' expérience par vous - même et voir si vous l' avez atteint , si les shaktis , les pouvoirs , sont entièrement éveillés ou pas . 

Tabernacle Tabernacle | w_freq: 43 - 35 | wiki_freq: 3870 - 370 | sentence_idx: 553123 | align_1: 12-15 | align_2: 13-21 | entity: none - Tabernacle |    So I thought we can suffer one more day anyhow in the Tabernacle . ||| Ainsi , je pensais que nous pouvons encore supporter un jour de plus , au Tabernacle , de toutes les façons . 

Tabernacle Tabernacle | w_freq: 43 - 35 | wiki_freq: 3870 - 370 | sentence_idx: 553124 | align_1: 12-15 | align_2: 13-21 | entity: none - Tabernacle |    So I thought we can suffer one more day anyhow in the Tabernacle . ||| Ainsi , je pensais que nous pouvons encore supporter un jour de plus , au Tabernacle , de toutes les façons . 

E-66 E-66 | w_freq: 17 - 15 | wiki_freq: 7 - 6 | sentence_idx: 559196 | align_1: 0-0 | align_2: 1-5 | entity: none - E-66 |    E-66 Not long ago I was holding a meeting ... ||| E-66 Il n’ y a pas longtemps , je tenais une réunion ... 

Karangizi Karangizi | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 559577 | align_1: 4-4 | align_2: 5-8 | entity: Karangizi - Karangizi |    In his presentation , Karangizi observed that “ Africa ’s possible development is significant , and its potentials are huge . ||| Dans sa présentation , Karangizi , a fait observer que « le développement possible de l’ Afrique est significatif , et ses potentiels sont énormes . 

Questioning Remise | w_freq: 9 - 4 | wiki_freq: 416 - 655 | sentence_idx: 560023 | align_1: 3-5 | align_2: 4-9 | entity: none - Remise |    Beyond Stanford : Questioning a role-based explanation of tyranny . ||| Au delà de Stanford : Remise en cause d’ une explication rôle - basée de tyrannie . 

Jimo Jimo | w_freq: 1 - 1 | wiki_freq: 104 - 7 | sentence_idx: 562590 | align_1: 6-6 | align_2: 7-10 | entity: Jimo - Jimo |    “ In these 10 years , Jimo suffered no less serious and no fewer natural disasters than in previous decades . ||| « Pendant ces dix ans , Jimo n’ a pas subi moins de désastres naturels et de non moins sérieux qu’ au cours des décennies précédentes . 

Gambian gambiennes | w_freq: 5 - 3 | wiki_freq: 2141 - 34 | sentence_idx: 563782 | align_1: 19-25 | align_2: 20-31 | entity: Gambian - none |    However the experts we showed our dossier of photos to said the police should have questioned them according to Gambian child protection laws . ||| Cependant , les experts à qui nous avons montré notre dossier de photos ont déclaré que la police aurait dû les interroger conformément aux lois gambiennes sur la protection de l’ enfance . 

Natan Natan | w_freq: 5 - 6 | wiki_freq: 861 - 323 | sentence_idx: 564031 | align_1: 3-5 | align_2: 4-10 | entity: Natan - Natan |    This encounter with Natan also opened up new opportunities for us in the Middle East – in Dubai , for example . ||| Cette rencontre avec la maison Natan nous a , en outre , ouvert de nouvelles opportunités au Moyen-Orient , à Dubaï par exemple . 

Roadmap Feuille | w_freq: 30 - 19 | wiki_freq: 882 - 1136 | sentence_idx: 565211 | align_1: 16-19 | align_2: 17-23 | entity: none - Feuille de route |    Evaluation question 7 : Are there any programs / initiatives that are not part of the Roadmap but should be ? ||| Question d’ évaluation 7 : Existe -t -il des programmes / initiatives qui ne font pas partie de la Feuille de route , mais qui pourraient être inclus ? 

Syrians Syriens | w_freq: 191 - 191 | wiki_freq: 3109 - 940 | sentence_idx: 575399 | align_1: 1-1 | align_2: 2-6 | entity: Syrians - Syriens |    The Syrians have , but they are far more interested in investing in Beirut hotels than in invading Israel . ||| Les Syriens , eux , l' ont fait , mais ils sont bien plus intéressés à investir dans les hôtels de Beyrouth qu' à envahir Israël . 

Å Å | w_freq: 2 - 2 | wiki_freq: 2574 - 304 | sentence_idx: 575851 | align_1: 8-10 | align_2: 9-14 | entity: none - Å |    In fact , Denmark only acquired the distinctive Å less than 70 years ago , when it replaced the double AA . ||| En fait , le Danemark n’ a acquis le badge Å qu’ il ya moins de 70 ans , lorsqu’ il a remplacé le double AA . 

Dessertenne Dessertenne | w_freq: 1 - 1 | wiki_freq: 12 - 25 | sentence_idx: 583816 | align_1: 8-8 | align_2: 9-13 | entity: Eric Dessertenne - Éric Dessertenne |    These five years of close cooperation with Eric Dessertenne have established absolute trust between us . ||| Ces cinq années de coopération étroites entre Éric Dessertenne et moi - même ont instauré une confiance absolue entre nous . 

L-361 E-361 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 586778 | align_1: 0-0 | align_2: 1-4 | entity: none - E-361 |    L-361 You see , there was the church natural , the church natural , which was Lot and his group . ||| E-361 ( 102 ) Vous voyez , il y avait l' église naturelle , l' église naturelle , laquelle était Lot et son groupe . 

Ukyo Ukyo | w_freq: 2 - 2 | wiki_freq: 200 - 131 | sentence_idx: 587011 | align_1: 2-2 | align_2: 3-7 | entity: Ukyo - Ukyo |    Then , Ukyo pressured me all throughout the race . ||| Ensuite , Ukyo m’ a mis sous pression tout au long de la course . 

WEB WEB | w_freq: 367 - 382 | wiki_freq: 257 - 122 | sentence_idx: 587614 | align_1: 1-1 | align_2: 2-7 | entity: none - WEB |    ( WEB Participants are able to try out an e-bike for 15 days . ||| ( WEB Dans ce cadre , les participants peuvent tester un vélo électrique pendant 15 jours . 

ESF+ FSE+ | w_freq: 3 - 3 | wiki_freq: 9 - 5 | sentence_idx: 590075 | align_1: 3-2 | align_2: 4-7 | entity: ESF+ - FSE+ |    How will the ESF+ simplify the management and payment of funds ? ||| Comment le FSE+ permettra -t -il de simplifier la gestion et le paiement des fonds ? 

Mandates Mandates | w_freq: 6 - 1 | wiki_freq: 569 - 0 | sentence_idx: 596595 | align_1: 4-4 | align_2: 5-13 | entity: none - Gender and Truth Commission Mandates |    Gender and Truth Commission Mandates ( Vasuki , N. No date ) . ||| Gender and Truth Commission Mandates [ Mandats des commissions Genre et Vérité ] ( Vasuki , N. No date ) . 

Miracles Miracles | w_freq: 45 - 13 | wiki_freq: 4337 - 775 | sentence_idx: 598344 | align_1: 10-9 | align_2: 11-18 | entity: A Course in Miracles - A Course in Miracles |    Many of you are familiar with “ A Course in Miracles , ” which is a large work which I dictated about 40 years ago . ||| Beaucoup d’ entre vous connaissent « A Course in Miracles » ( Un cours sur les miracles ) , qui est un gros ouvrage que j’ ai dicté il y a quelque 40 ans . 

Mujaheddin Moudjahidines | w_freq: 1 - 2 | wiki_freq: 66 - 99 | sentence_idx: 599823 | align_1: 5-4 | align_2: 6-10 | entity: Mujaheddin - Moudjahidines |    Then I will ask the Mujaheddin ( 2 ) to attack them there ( 3 ) . ” ||| Je demanderai alors aux Moudjahidines [ du peuple iranien ] ( 2 ) de les attaquer là - bas ( 3 ) . » 

E-26 E-26 | w_freq: 22 - 20 | wiki_freq: 7 - 1 | sentence_idx: 602606 | align_1: 0-0 | align_2: 1-5 | entity: none - E-26 |    E-26 Not long ago up in the mountains , I think Dr. Akerman , if I 'm not mistaken is setting here this afternoon . ||| E-26 Il n’ y a pas longtemps , là - haut dans les montagnes , je pense que Dr Akerman , si je ne me trompe pas , est assis ici cet après-midi . 

Attali Attali | w_freq: 4 - 4 | wiki_freq: 137 - 508 | sentence_idx: 604400 | align_1: 0-0 | align_2: 1-4 | entity: Attali - Attali |    Attali understood it , we inevitably enter the world of simulation and modeling . ||| Attali l’ a bien compris , nous entrons inéluctablement dans le monde de la simulation et de la modélisation . 

Kabila Kabila | w_freq: 68 - 69 | wiki_freq: 1596 - 1297 | sentence_idx: 611353 | align_1: 6-8 | align_2: 7-12 | entity: Kabila - Kabila |    A national dialogue initiated by President Kabila started early September . ||| Un dialogue national , amorcé par le président Kabila , s’ est ouvert début septembre . 

RIVER RIVER | w_freq: 1 - 1 | wiki_freq: 73 - 11 | sentence_idx: 616353 | align_1: 12-18 | align_2: 13-24 | entity: none - SUPPER RIVER |    However , look a little closer , SUPERIOR = SUP-E-RIO or SUPPER RIVER . ||| Cependant , regardez - y de plus près , SUPERIOR = SUP - E - RIO ou SUPPER RIVER ( RIVIÈRE du SOUPER ) . 

E-445 E-445 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 618857 | align_1: 0-0 | align_2: 1-4 | entity: none - E-445 |    E-445 And when the battle is over we shall wear the crown . ||| E-445 ( 355 ) Et quand la bataille sera terminée , nous porterons la couronne . 

Altamir Altamir | w_freq: 1 - 1 | wiki_freq: 24 - 7 | sentence_idx: 628626 | align_1: 2-1 | align_2: 3-9 | entity: Altamir - Altamir |    Why has Altamir exclusively invested with Apax Partners ? ||| Pourquoi Altamir a t -elle jusqu’ à présent investi exclusivement avec Apax Partners ? 

TRIBE TRIBE | w_freq: 1 - 1 | wiki_freq: 72 - 2 | sentence_idx: 628981 | align_1: 2-2 | align_2: 3-6 | entity: TRIBE - TRIBE |    Secondly , TRIBE faced the challenge of engaging a very wide target group – the general public . ||| Ensuite , TRIBE s’ est trouvé confronté au défi d’ impliquer un groupe cible très large , c’ est - à - dire le grand public . 

L-365 E-365 | w_freq: 1 - 2 | wiki_freq: 3 - 0 | sentence_idx: 632042 | align_1: 0-0 | align_2: 1-6 | entity: none - E-365 |    L-365 Outside , remember , I might not never see your hand . ||| E-365 Ceux qui sont à l’ extérieur , souvenez -vous , il se peut que je ne voie jamais votre main . 

TERRA TERRA | w_freq: 3 - 4 | wiki_freq: 218 - 47 | sentence_idx: 636280 | align_1: 1-3 | align_2: 2-7 | entity: none - TERRA |    The TERRA PAPERS , the story of Bek'Ti , nearly got me thrown out of school . ||| Les PAPIERS de TERRA ( The TERRA PAPERS ) , l’ histoire de Bek’ Ti , m’ ont quasiment fait jeter hors de l’ école . 

Spongebob SpongeBob | w_freq: 2 - 2 | wiki_freq: 265 - 39 | sentence_idx: 638575 | align_1: 1-0 | align_2: 2-5 | entity: none - SpongeBob |    Was Spongebob Originally For Adults ? ||| SpongeBob était -il à l' origine destiné aux adultes ? 

E-42 E-42 | w_freq: 26 - 27 | wiki_freq: 3 - 1 | sentence_idx: 639630 | align_1: 0-0 | align_2: 1-5 | entity: none - E-42 |    E-42 We see this , from the beginning . ||| E-42 C’ est ce que nous voyons , dès le commencement . 

OAS OEA | w_freq: 45 - 36 | wiki_freq: 2320 - 396 | sentence_idx: 648229 | align_1: 2-2 | align_2: 3-11 | entity: OAS - OEA |    " The OAS is certainly being questioned , largely because of the role played by the United States and Brazil and Argentina . " ||| « L’ OEA [ Organisation des États américains , NdT ] est certainement remise en cause , en grande partie à cause du rôle joué par les États-Unis , le Brésil et l’ Argentine . » 

Merkel Merkel | w_freq: 196 - 191 | wiki_freq: 4594 - 1464 | sentence_idx: 649081 | align_1: 5-4 | align_2: 6-9 | entity: Merkel - Mme Merkel |    In the Bundestag , Ms Merkel rightly highlighted that domestic policy was no longer confined to intra-state debates . ||| Au Bundestag , Mme Merkel a , à juste titre , souligné que la politique nationale n’ était plus confinée aux débats intra-Etat . 

Taraneh Taraneh | w_freq: 3 - 3 | wiki_freq: 93 - 13 | sentence_idx: 649657 | align_1: 1-0 | align_2: 2-5 | entity: Taraneh - Taraneh |    Was Taraneh arrested on 7th Tir ( 28th June ) near Ghoba mosque ? ||| Taraneh a -t -elle été arrêtée le 7 Tir ( 28 juin ) près de la mosquée Ghoba ? 

Approaches Approaches | w_freq: 10 - 1 | wiki_freq: 2926 - 128 | sentence_idx: 651084 | align_1: 11-13 | align_2: 12-20 | entity: “ Current Intellectual Approaches - Current Intellectual Approaches |    He recently began distributing a new book , “ Current Intellectual Approaches , ” prior to his arrest on 24 December . ||| Il a récemment commencé à diffuser un nouveau livre , « Current Intellectual Approaches » ( Approches intellectuelles actuelles ) , avant d’ être arrêté le 24 décembre . 

Ridgeway Ridgeway | w_freq: 1 - 1 | wiki_freq: 2687 - 185 | sentence_idx: 651366 | align_1: 0-0 | align_2: 1-5 | entity: Ridgeway - Ridgeway |    Ridgeway faced the man or woman he had captured . ||| Ridgeway , lui , était face à l’ homme ou à la femme qu’ il avait capturé . 

rupees roupies | w_freq: 40 - 40 | wiki_freq: 4388 - 758 | sentence_idx: 651881 | align_1: 7-10 | align_2: 8-14 | entity: over one trillion rupees - none |    Why huge sum of over one trillion rupees was allotted for internal security ? ||| Pourquoi la somme énorme de plus de 1000 milliard de roupies a -t -elle été allouée pour la sécurité intérieure ? 

E-261 E-261 | w_freq: 4 - 5 | wiki_freq: 0 - 1 | sentence_idx: 657704 | align_1: 0-0 | align_2: 1-4 | entity: none - E-261 |    E-261 Right now , those things that have been said a few years ago ... ||| E-261 ( 176 ) Maintenant même , ces choses qui ont été dites il y a quelques années ... 

Guangbiao Guangbiao | w_freq: 1 - 1 | wiki_freq: 20 - 3 | sentence_idx: 664082 | align_1: 3-2 | align_2: 4-7 | entity: Chen Guangbiao - Chen Guangbiao |    How could Chen Guangbiao so easily and casually take the two women to New York for plastic surgery ? ||| Comment Chen Guangbiao a -t -il pu si facilement et négligemment amener les deux femmes à New York pour une chirurgie esthétique ? 

Karp Karp | w_freq: 7 - 7 | wiki_freq: 1292 - 326 | sentence_idx: 664774 | align_1: 14-12 | align_2: 15-20 | entity: David Karp - David Karp |    It is also not surprising that the young twenty one year old American David Karp became the founder of the service . ||| Il n’ est pas surprenant non plus que le jeune américain David Karp , âgé de 21 ans , soit devenu le fondateur du service . 

Portia Portia | w_freq: 5 - 5 | wiki_freq: 2159 - 320 | sentence_idx: 664877 | align_1: 1-1 | align_2: 2-5 | entity: Portia - Lady Portia |    Lady Portia please oversee the entire process and alert me to recognise the positive shifts , transformations and awakenings within my being . ||| Lady Portia s’ il vous plaît superviser l’ ensemble du processus et m’ alerter pour reconnaître les changements positifs , les transformations et les éveils au sein de mon être . 

E-131 E-131 | w_freq: 8 - 9 | wiki_freq: 0 - 0 | sentence_idx: 667630 | align_1: 0-0 | align_2: 1-4 | entity: none - E-131 |    E-131 I said , " The cigarettes will take care of theirself . ||| E-131 ( 132 ) J' ai dit : " Les cigarettes s' occuperont d' elles - mêmes . 

Krugman Krugman | w_freq: 7 - 7 | wiki_freq: 1328 - 202 | sentence_idx: 672497 | align_1: 3-3 | align_2: 4-8 | entity: Krugman - Krugman |    How can professor Krugman postulate that such growth was not only ambiguous , but also fugacious ? ||| Comment le professeur Krugman a -t -il pu postuler qu’ une telle croissance n’ était pas seulement ambiguë mais aussi éphémère ? 

WEB WEB | w_freq: 367 - 382 | wiki_freq: 257 - 122 | sentence_idx: 675251 | align_1: 10-14 | align_2: 11-21 | entity: none - WEB |    [ 22 ] The Report is available online at : WEB Professor Puri was appointed as one of two research directors for the Expert Panel . ||| [ 22 ] Le rapport est accessible en ligne à l’ adresse suivante : WEB [ en anglais seulement ] Le professeur Puri a été nommé comme l’ un des deux directeurs de recherche du Groupe d’ experts . 

Attouche Attouche | w_freq: 1 - 1 | wiki_freq: 0 - 8 | sentence_idx: 680032 | align_1: 1-1 | align_2: 2-5 | entity: Ben Attouche - Ben Attouche |    Ben Attouche reported that more than 1,000 travel agencies that are located in Tunisia are facing many problems and that they suffer from a very difficult financial situation . ||| Ben Attouche , a fait savoir que plus de 1000 agences de voyages qui sont implantées en Tunisie , sont confrontées à de nombreux problèmes et qu’ elles soufrent d’ une situation financière très difficile . 

Brestrogen Brestrogen | w_freq: 5 - 5 | wiki_freq: 0 - 0 | sentence_idx: 681389 | align_1: 4-4 | align_2: 5-8 | entity: Brestrogen - Brestrogen |    You can also order Brestrogen internationally . ||| Vous pouvez également commander Brestrogen à l’ échelle internationale . 

P13 P13 | w_freq: 2 - 2 | wiki_freq: 102 - 17 | sentence_idx: 684043 | align_1: 0-0 | align_2: 1-4 | entity: none - P13 |    P13 is not too far away from the points , so let ’s wait and see what we can do . ” ||| P13 , ce n' est pas très loin des points , alors attendons de voir ce qu' on peut faire . " 

oaths Inshiqaq | w_freq: 3 - 5 | wiki_freq: 3106 - 2 | sentence_idx: 686406 | align_1: 7-11 | align_2: 8-16 | entity: none - Al - Inshiqaq |    I am sworn to the darkest of oaths . ||| Je jure par le crépuscule , [ 16 ] Al - Inshiqaq ( The Splitting Asunder ) 

Ransome-Kuti Kuti | w_freq: 1 - 3 | wiki_freq: 215 - 405 | sentence_idx: 692088 | align_1: 4-6 | align_2: 5-10 | entity: Ransome-Kuti - Kuti |    In April 1948 , Ransome-Kuti again refused to pay her taxes . ||| En avril 1948 , Ransome - Kuti , a de nouveau refusé de payer ses impôts . 

Bonino Bonino | w_freq: 2 - 2 | wiki_freq: 458 - 182 | sentence_idx: 694455 | align_1: 37-44 | align_2: 38-51 | entity: Bonino - Mme Bonino |    Therefore there has been a strong call from certain Member States for a ban on phthalates in products for infants , which resulted in a Recommendation in July 1998(5 ) ( rather than the emergency ban Commissioner Bonino would have wished ) . ||| Certains États membres ont par conséquent fermement appelé à une interdiction des phtalates dans les produits pour enfants en bas âge , ce qui a conduit à une recommandation publiée en juillet 1998(5 ) ( au lieu de l' interdiction d' urgence que Mme Bonino , membre de la Commission , aurait souhaitée ) . 

Euratom Euratom | w_freq: 18 - 19 | wiki_freq: 337 - 286 | sentence_idx: 700915 | align_1: 7-8 | align_2: 8-13 | entity: none - Euratom |    ( 6 ) In Directive 96/29 / Euratom exemption values were laid down for the reporting of a practice to the authorities . ||| ( 6 ) Dans la directive 96/29 / Euratom , des valeurs d' exemption étaient prévues pour la déclaration d' une pratique aux autorités . 

E-171 E-171 | w_freq: 5 - 4 | wiki_freq: 0 - 0 | sentence_idx: 701185 | align_1: 0-0 | align_2: 1-4 | entity: E-171 - E-171 |    E-171 A gift of faith is not something you take and do something with . ||| E-171 ( 137 ) Un don de foi , ce n' est pas quelque chose que vous prenez et avec lequel vous faites quelque chose . 

righteous Justes | w_freq: 116 - 7 | wiki_freq: 4328 - 975 | sentence_idx: 715788 | align_1: 4-5 | align_2: 5-9 | entity: none - les Justes |    14 ): “ The righteous resemble their Creator . ” ||| En effet , “ les Justes sont à l’ image de leur Créateur ” . 

UNDP PNUD | w_freq: 56 - 55 | wiki_freq: 2964 - 663 | sentence_idx: 722530 | align_1: 6-9 | align_2: 7-14 | entity: UNDP - PNUD |    About 1.6 million people benefited from UNDP jobs programmes , including those established following major disasters . ||| 1,6 million de personnes ont bénéficié des programmes du PNUD en faveur de l’ emploi , y compris ceux qui ont été mis sur pied après de grandes catastrophes . 

Moriah Morriya | w_freq: 11 - 2 | wiki_freq: 946 - 0 | sentence_idx: 729362 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Morriya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Morriya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerais . » 

WSWS WSWS | w_freq: 16 - 16 | wiki_freq: 56 - 2 | sentence_idx: 729484 | align_1: 25-31 | align_2: 26-36 | entity: WSWS - WSWS |    During my initial discussions , the article A socialist program to end the war and social inequality [ in Sri Lanka ] appeared on the WSWS . ||| Au cours de mes premières discussions , l' article Un programme socialiste pour mettre fin à la guerre et aux inégalités sociales [ au Sri Lanka ] est paru sur le WSWS ( en anglais ) . 

Verhofstadt Verhofstadt | w_freq: 12 - 12 | wiki_freq: 409 - 283 | sentence_idx: 731363 | align_1: 1-1 | align_2: 2-8 | entity: Guy Verhofstadt - Guy Verhofstadt |    Guy Verhofstadt called for a true European defence policy , which could be the European pillar in NATO . ||| Guy Verhofstadt a , de son côté , appelé à une véritable politique européenne de défense , qui pourrait être le pilier européen de l’ OTAN . 

ZEOLITE ZEOLITE | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 735871 | align_1: 15-15 | align_2: 16-19 | entity: none - ZEOLITE |    To be a reference for the commercialization , production and technological development of the mineral ZEOLITE worldwide , being recognized as one of the most important players ; ||| Être une référence pour la commercialisation , la production et le développement technologique du minéral ZEOLITE à l’ échelle mondiale , étant reconnu comme l’ un des plus importants players ; 

Prius Prius | w_freq: 10 - 11 | wiki_freq: 1654 - 197 | sentence_idx: 737718 | align_1: 23-29 | align_2: 24-33 | entity: Prius - Prius |    Nor does it explain why nobody there ever feeds or waters their horses , which run all day and night just like a Prius . ||| Pas plus que cela n' explique pourquoi personne ne nourrit ou n' abreuve jamais son cheval , qui court tout le jour et toute la nuit exactement comme une Prius [ modèle de voiture]. 

Haupt Miranda | w_freq: 2 - 15 | wiki_freq: 757 - 4405 | sentence_idx: 738094 | align_1: 6-8 | align_2: 7-18 | entity: none - Miranda |    * 3003-PS Report of Lt . Haupt concerning the situation of war economy in Netherlands . ||| - B5 - 0437/2001 des députés Sylla et Miranda , au nom du groupe GUE / NGL , sur la situation en République centrafricaine ; 

MTU MTU | w_freq: 6 - 6 | wiki_freq: 1113 - 290 | sentence_idx: 738398 | align_1: 10-13 | align_2: 11-18 | entity: MTU - MTU |    It would also not be efficient on networks where the MTU only changes once and stays much larger than 576 bytes . ||| Cela ne serait pas non plus très efficace sur les réseaux où la MTU ne change qu’ une seule fois et reste très supérieure à 576 octets . 

AHA AHA | w_freq: 13 - 14 | wiki_freq: 1217 - 122 | sentence_idx: 739565 | align_1: 8-10 | align_2: 9-14 | entity: AHA - AHA |    " We will not be filming horses until AHA completes its inquiry . ||| « Nous ne filmerons pas de chevaux tant que la AHA n’ a pas terminé son enquête . 

Dawes Dawes | w_freq: 4 - 4 | wiki_freq: 4708 - 537 | sentence_idx: 740047 | align_1: 5-5 | align_2: 6-9 | entity: Dawes - Dawes |    Someday Never Comes ( with Dawes ) ( 5:16 ) ||| Someday Never Comes ( avec Dawes ( en ) ) 5:16 

C.4.3 C.4.3 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 743548 | align_1: 0-0 | align_2: 1-4 | entity: none - C.4.3 |    C.4.3 What does the existence of Big Business mean for economic theory and wage labour ? ||| C.4.3 – Qu’ est -ce que l’ existence de grandes entreprises signifie pour la théorie économique et le salariat ? 

