Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 
8501 8501 | w_freq: 2 - 2 | wiki_freq: 103 - 21 | sentence_idx: 899946 | align_1: 17-19 | align_2: 18-24 | entity: AirAsia Flight 8501 - none |    It was not “ good luck ” that some individuals who intended to be on AirAsia Flight 8501 were not : Their time was not up . ||| Ce n’ était pas « par chance » que certaines personnes qui avaient l’ intention de prendre le vol 8501 d’ AirAsia n’ y étaient pas : leur temps n’ était pas venu . 

Hunink Hunink | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 902150 | align_1: 2-3 | align_2: 3-8 | entity: Maarten Hunink - Maarten Hunink |    By Maarten Hunink And what does it have to do with tomato soup ? ||| Écrit par Maarten Hunink ( en anglais ) Et qu’ a -t -elle à voir avec la soupe à la tomate ? 

banshee Banshees | w_freq: 1 - 2 | wiki_freq: 219 - 382 | sentence_idx: 909034 | align_1: 9-10 | align_2: 10-15 | entity: none - Banshees |    Question : How do units like the mutalisk and banshee fly in space if there is no air ? ||| Question : Comment des unités comme les mutalisks ou les Banshees font - elles pour voler dans l’ espace alors qu’ il n’ y a pas d’ air ? 

Millo Millo | w_freq: 2 - 2 | wiki_freq: 270 - 110 | sentence_idx: 909124 | align_1: 12-14 | align_2: 13-19 | entity: Millo - Millo |    ( 8) And he built the city round about , even from Millo round about : and Joab repaired the rest of the city . ||| Il fit tout autour [ cabiyb ] de la ville des constructions , depuis Millo et aux environs [ cabiyb ] ; et Joab répara le reste de la ville . 

ThamoodhWe Thamoud | w_freq: 1 - 2 | wiki_freq: 0 - 5 | sentence_idx: 913833 | align_1: 3-2 | align_2: 4-7 | entity: ThamoodhWe - Thamoud |    7:73 And to ThamoodhWe sent their brother Salih . ||| 7:73 Aux Thamoud , ( Nous avons envoyé ) leur frère Salih . 

Primobolan Primobolan | w_freq: 2 - 2 | wiki_freq: 22 - 2 | sentence_idx: 915000 | align_1: 4-2 | align_2: 5-7 | entity: Primobolan - Primobolan |    So why is n’t Primobolan used by every body ? ||| Ainsi pourquoi Primobolan n' est -il pas employé par chaque corps ? 

66/288 66/288 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 915675 | align_1: 6-4 | align_2: 7-14 | entity: United Nations Resolution 66/288 - none |    ( 12 ) United Nations Resolution 66/288 ‘ The future we want ’ , paragraph 135 . ||| ( 12 ) Résolution 66/288 de l' Assemblée générale des Nations unies , intitulée " L' avenir que nous voulons " , paragraphe 135 . 

MIG-23 MiG-23 | w_freq: 1 - 1 | wiki_freq: 4 - 171 | sentence_idx: 916277 | align_1: 1-1 | align_2: 2-6 | entity: MIG-23 - MiG-23 |    The MIG-23 can carry certain types of nuclear weapons as claimed ; but even in this role it is a tactical weapon best suited for support of ground or naval forces . ||| Le MiG-23 , mes amis , peut transporter certains types d' armes nucléaires comme cela est affirmé ; mais même dans ce rôle , il est une arme tactique mieux adaptée pour le soutien des forces terrestres ou navales . 

Spasibo Spasibo | w_freq: 1 - 1 | wiki_freq: 15 - 1 | sentence_idx: 917479 | align_1: 8-6 | align_2: 9-14 | entity: Spasibo - Spasibo |    It was only three months after we opened Spasibo that we realized we had to pay taxes . ” ||| Seulement trois mois après avoir ouvert Spasibo   ! , nous nous sommes rendu compte qu’ il fallait payer des impôts » . 

ROME ROME | w_freq: 9 - 8 | wiki_freq: 37 - 55 | sentence_idx: 919380 | align_1: 0-0 | align_2: 1-5 | entity: ROME - ROME |    ROME – Romans continue the party not just late into the night , but for three full days . ||| ROME ( AUSSI ITALIE ) - Romains continuent la partie non seulement tard dans la nuit , mais pendant trois jours complets . 

Qusayr Qusayr | w_freq: 1 - 1 | wiki_freq: 118 - 41 | sentence_idx: 925099 | align_1: 9-9 | align_2: 10-14 | entity: Qusayr - Qusayr |    They also fear that the fate of Christians in Qusayr could soon affect the 10,000 believers who live in other villages in the area . ||| Ils craignent aussi que le sort des chrétiens en Qusayr , mais aussi qui pourrait bientôt concerner les 10.000 croyants qui vivent dans d' autres villages dans la région . 

IPE IPE | w_freq: 3 - 3 | wiki_freq: 311 - 75 | sentence_idx: 929166 | align_1: 19-23 | align_2: 20-27 | entity: none - IPE |    Part of this renewal since the 1970s is also reflected in the emerging field of International Political Economy ( IPE ) . ||| Une partie de ce renouveau depuis les années 1970 se reflète également dans le domaine émergent de l' économie politique internationale ( " IPE " en anglais ) . 

BMR BMR | w_freq: 5 - 5 | wiki_freq: 366 - 71 | sentence_idx: 953214 | align_1: 1-3 | align_2: 2-7 | entity: BMR - none |    The BMR showed that ( 1 ) it was n’t difficult to cut calories and ( 2 ) I must have made BIG mistakes before properly consume these calories , not small . ||| Le MB ( BMR ) m’ a montré que ( 1 ) il n’ a pas été difficile de réduire les calories et ( 2 ) , je devais avoir fait de GROSSES erreurs avant de consommer correctement ces calories , pas de petits . 

Jorg Jorg | w_freq: 1 - 1 | wiki_freq: 400 - 106 | sentence_idx: 954959 | align_1: 0-0 | align_2: 1-4 | entity: Jorg - Jorg |    Jorg is not certain—all he knows is that the secrets they hold can be put to terrible use in the coming battle … ||| Jorg n’ en n’ est pas certain – tout ce qu’ il sait , c’ est que les secrets qu’ ils détiennent peuvent être d’ une terrible utilité dans la bataille à venir … 

E-97 E-97 | w_freq: 10 - 14 | wiki_freq: 0 - 1 | sentence_idx: 955791 | align_1: 0-0 | align_2: 1-4 | entity: none - E-97 |    E-97 He knows all things . ||| E-97 ( 103 ) Il sait toutes choses . 

Cirillo Cirillo | w_freq: 2 - 2 | wiki_freq: 449 - 154 | sentence_idx: 968431 | align_1: 0-0 | align_2: 1-4 | entity: Cirillo - Cirillo |    Cirillo realized that forcing himself to sit at his desk hour after hour was n’t helping him study . ||| Cirillo s’ est rendu compte que le fait de se forcer à s’ asseoir à son bureau heure après heure ne l’ aidait pas à étudier . 

Reset Reset | w_freq: 13 - 3 | wiki_freq: 859 - 129 | sentence_idx: 969176 | align_1: 18-16 | align_2: 19-21 | entity: the Global Reset – RV - Global Reset |    It is now almost certain that the world economy is literally begging for the arrival of the Global Reset – RV . ||| Il est maintenant presque certain que l’ économie mondiale implore littéralement pour l’ arrivée du Global Reset ( réinitialisation globale ) – RV . 

BIRD BIRD | w_freq: 1 - 1 | wiki_freq: 171 - 107 | sentence_idx: 970082 | align_1: 10-10 | align_2: 11-17 | entity: none - FREE AS A BIRD |    Our new 2016 project was born : FREE AS A BIRD . ||| Notre nouveau projet 2016 était né : FREE AS A BIRD ( Libre comme un oiseau ) . 

Grottola Grottola | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 976384 | align_1: 0-0 | align_2: 1-4 | entity: Grottola - Grottola |    Grottola added : “ This is a normal practice in business , [ but ] not so common for crypto startups . ||| Grottola a d’ ailleurs ajouté : “ Ceci est une pratique normale dans les affaires , [ mais ] pas si commun pour les startups crypto . 

Berezow Berezow | w_freq: 1 - 1 | wiki_freq: 1 - 1 | sentence_idx: 977342 | align_1: 1-1 | align_2: 2-5 | entity: Berezow - Berezow |    But Berezow is determined to repeat them . ||| Mais Berezow , lui , semble déterminé à les répéter . 

Schemes Schemes | w_freq: 8 - 1 | wiki_freq: 952 - 22 | sentence_idx: 977996 | align_1: 13-12 | align_2: 14-17 | entity: Gold Bond Schemes - Gold Bond Schemes |    The central bank may also want to amortize the repayments of Gold Bond Schemes from 3 to 8 years , according to economists . ||| La banque centrale pourrait également vouloir amortir les remboursements des Gold Bond Schemes dont l’ échéance est de 3 à 8 ans , selon les économistes . 

Epics Epics | w_freq: 5 - 6 | wiki_freq: 440 - 9 | sentence_idx: 983005 | align_1: 3-5 | align_2: 4-9 | entity: none - Epics |    In XP , Epics are vulgarly “ Big user-stories ” and nothing more . ||| Dans l’ XP , les Epics ( Epopées ) sont vulgairement des « Big user - stories » et rien de plus . 

WSD WSD | w_freq: 2 - 2 | wiki_freq: 199 - 10 | sentence_idx: 991597 | align_1: 18-21 | align_2: 19-30 | entity: WSD - WSD |    Kate -thank you!- pointed us to the page of FIS Web site dedicated to World Snow Day ( WSD ) . ||| Kate -merci ! - de nous signifier la page du site web de FIS dédié à « World Snow Day ( WSD ) » ( Journée mondiale de la neige ) . 

HIS HIS | w_freq: 28 - 5 | wiki_freq: 643 - 55 | sentence_idx: 992944 | align_1: 7-5 | align_2: 8-12 | entity: none - HIS européen |    In the 2014 wave of the European HIS another questionnaire ( EHISPAQ ) was used ; consequently , the comparison of the results in Belgium with the other EU member states is not available up to now . ||| Dans la vague 2014 du HIS européen ( EHIS ) , un autre questionnaire ( EHISPAQ ) a été utilisé ; par conséquent , la comparaison des résultats de Belgique avec les autres États membres de l' UE n' est pas disponible jusqu' à présent . 

BFD BFD | w_freq: 1 - 1 | wiki_freq: 218 - 24 | sentence_idx: 995763 | align_1: 5-6 | align_2: 6-12 | entity: none - BFD |    The Boy Friend Destroyer ( BFD ) technique is made for you then … ||| La technique Boy Friend Destroyer ( BFD : Détruire son petit ami ) est faite pour vous alors … 

