11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | entity: 11.1 Party - none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue . 
Yea Annaha | w_freq: 1 - 1 | wiki_freq: 532 - 0 | sentence_idx: 516124 | align_1: 0-0 | align_2: 1-4 | entity: none - Annaha al |    Yea ! verily this is the Truth , this is the Truth , this is the TRUTH . ||| Annaha al - haqq : elle est la vérité . 

DNSSEC DNSSEC | w_freq: 4 - 4 | wiki_freq: 276 - 43 | sentence_idx: 520287 | align_1: 6-7 | align_2: 7-11 | entity: DNSSEC - DNSSEC |    A more secure DNS protocol called DNSSEC aims to solve some of these problems , but it has not been widely adopted yet . ||| Un protocole DNS plus sécurisé , appelé DNSSEC , a pour objectif de résoudre certains de ces problèmes , mais il n’ est pas encore largement adopté . 

Passover Pâque | w_freq: 21 - 21 | wiki_freq: 3664 - 586 | sentence_idx: 520336 | align_1: 9-7 | align_2: 10-11 | entity: Passover - Pâque |    “ Let the children of Israel also keep the Passover at its appointed time . ||| Que les enfants d’ Israël célèbrent la Pâque [ pecach ] au temps fixé . 

helping)Nike Nike | w_freq: 1 - 139 | wiki_freq: 0 - 1929 | sentence_idx: 527084 | align_1: 8-12 | align_2: 9-16 | entity: helping)Nike - Nike |    Many years later ( necessarily , the technology helping)Nike decided to make this dream a reality . ||| Bien des années après ( forcément , la technologie aidant ) , Nike s’ est donc décidé à faire de ce rêve une réalité . 

Maryam Maryam[1 | w_freq: 23 - 1 | wiki_freq: 2582 - 0 | sentence_idx: 527666 | align_1: 6-4 | align_2: 7-9 | entity: the Surah of her Maryam in the Qur'an - none |    mentioned in the Surah of her Maryam in the Qur'an . ||| Vertus de son Excellence Maryam[1 ] ( as ) dans le Coran 

Smoking cigarette | w_freq: 30 - 160 | wiki_freq: 4177 - 2512 | sentence_idx: 528596 | align_1: 0-1 | align_2: 1-5 | entity: none - La cigarette |    Smoking never helped you relax , that ’s another lie . ||| La cigarette ne t’ a jamais aidé à te détendre , c’ est encore un mensonge . 

pro-Israel pro-israéliennes | w_freq: 29 - 7 | wiki_freq: 1065 - 34 | sentence_idx: 529591 | align_1: 10-13 | align_2: 11-17 | entity: pro-Israel - none |    “ Almost every time there is no presence from the pro-Israel UK organizations . ||| « La plupart du temps il n’ y a aucune présence des organisations pro-israéliennes du Royaume - Uni . 

Lampedusa Lampedusa | w_freq: 20 - 20 | wiki_freq: 524 - 449 | sentence_idx: 534123 | align_1: 4-5 | align_2: 5-10 | entity: Lampedusa - Lampedusa |    When I went to Lampedusa three years ago , this phenomenon had already started . ||| Quand je suis allé à Lampedusa , il y a trois ans , ce phénomène commençait déjà . 

Iblìs Iblis | w_freq: 1 - 3 | wiki_freq: 0 - 150 | sentence_idx: 537980 | align_1: 12-12 | align_2: 13-16 | entity: Iblìs - Iblis |    So she was turned out of Paradise , and , consorting with Iblìs , became the mother of devils . ||| Alors elle a été chassée du paradis et , en compagnie d' Iblis ( Satan ) , est devenue la mère des diables . 

Tibetans Tibétains | w_freq: 109 - 106 | wiki_freq: 3366 - 2998 | sentence_idx: 538929 | align_1: 1-2 | align_2: 2-6 | entity: Tibetans - Tibétains |    We Tibetans realized that it would be beneficial to teach and explain the dharma . ||| Nous , Tibétains , s' est rendu compte qu' il serait bénéfique d' enseigner et d' expliquer le dharma . 

Limbs Limbs | w_freq: 2 - 2 | wiki_freq: 487 - 37 | sentence_idx: 538958 | align_1: 10-11 | align_2: 11-15 | entity: Life Without Limbs - Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe — 800,000 people in the streets of Kyiv Ukraine ! ||| « Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine ! 

IVAW IVAW | w_freq: 1 - 1 | wiki_freq: 29 - 0 | sentence_idx: 540180 | align_1: 4-3 | align_2: 5-8 | entity: IVAW - IVAW |    WW : Will the IVAW also confront recruiters ? ||| WW : l' IVAW va - t' elle aussi affronter les recruteurs ? 

Hiromi Hiromi | w_freq: 1 - 1 | wiki_freq: 1026 - 295 | sentence_idx: 540648 | align_1: 9-10 | align_2: 10-18 | entity: Hiromi - Hiromi |    I do n’t want to say this but , Hiromi , please watch over our world . ||| Je n' ai pas envie de le dire mais , Hiromi , s' il - te - plaît , veille sur notre monde . 

SAAHA SAAHA | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 547377 | align_1: 6-6 | align_2: 7-14 | entity: SAAHA - SAAHA |    South African Animal Health Association ( SAAHA ) ( 1 ) representing industry ||| South African Animal Health Association ( SAAHA - Association sud-africaine pour la santé animale ) ( 1 ) représentant l’ industrie 

Eldred Eldred | w_freq: 4 - 6 | wiki_freq: 1106 - 99 | sentence_idx: 552504 | align_1: 4-5 | align_2: 5-10 | entity: this the Eldred Act - Loi Eldred |    We called this the Eldred Act , but that was just to give it a name . ||| Nous l' appelâmes le Loi Eldred ( NdT : Eldred Act ) , mais c' était juste pour lui donner un nom . 

KAIST KAIST | w_freq: 6 - 6 | wiki_freq: 361 - 38 | sentence_idx: 562821 | align_1: 2-3 | align_2: 3-8 | entity: KAIST - KAIST |    L’X and KAIST already identified fields of cooperation : ||| L’ X et KAIST ont d’ ores et déjà identifié des domaines de collaboration : 

1,638 638 | w_freq: 1 - 4 | wiki_freq: 143 - 584 | sentence_idx: 576306 | align_1: 1-2 | align_2: 2-6 | entity: 1,638 - none |    And 1,638 are in need of emergency assistance in the northern town of Galkayo . ||| Et 1 638 d’ entre elles ont besoin d' une aide d' urgence dans la ville de Galkayo , au nord . 

Beiral Beiral | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 579545 | align_1: 7-7 | align_2: 8-11 | entity: Beiral - Beiral |    But after he made the people , Beiral realised that the people had no lands ! ||| Mais après avoir créé le peuple , Beiral s’ est rendu compte que les gens n’ avaient pas de terre ! 

Kaizuka Kaizuka | w_freq: 1 - 1 | wiki_freq: 131 - 38 | sentence_idx: 587864 | align_1: 0-0 | align_2: 1-4 | entity: Kaizuka - Kaizuka |    Kaizuka actually joined in the production of the song when it was almost complete . ||| Kaizuka s’ est en fait joint à la production de la chanson quand elle était presque terminée . 

Badoer Badoer | w_freq: 1 - 1 | wiki_freq: 452 - 236 | sentence_idx: 592121 | align_1: 10-11 | align_2: 11-16 | entity: Luca Badoer - Luca Badoer |    “ For sure it is an important race for Luca Badoer next weekend . ||| « Bien sûr , c' est une course importante pour Luca Badoer le week - end prochain . 

Corbyn Corbyn | w_freq: 69 - 69 | wiki_freq: 4429 - 698 | sentence_idx: 597203 | align_1: 3-2 | align_2: 4-7 | entity: Corbyn - Corbyn |    But how did Corbyn do in terms of the Labour vote compared to his recent predecessors ? ||| Mais comment Corbyn s’ en est il sorti , en termes de votes travaillistes par rapport à ses récents prédécesseurs ? 

Arthro-5 Arthro-5 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 610300 | align_1: 9-9 | align_2: 10-13 | entity: none - Arthro-5 |    We do not know a more potent product than Arthro-5 in the whole world . ||| Nous ne connaissons aucun produit plus puissant que l' Arthro-5 , nulle part dans le monde ! 

WiFi WiFi | w_freq: 59 - 49 | wiki_freq: 2189 - 177 | sentence_idx: 612494 | align_1: 19-22 | align_2: 20-26 | entity: none - WiFi |    You can usually rely on the hotel ’s WiFi – but again , are you really sure that the WiFi there will be good enough ? ||| Vous pouvez généralement compter sur le WiFi de l’ hôtel – mais encore une fois , êtes -vous vraiment sûr que le WiFi qu’ il va y avoir sera assez bon ? 

Rafa Rafa | w_freq: 32 - 32 | wiki_freq: 1042 - 260 | sentence_idx: 615803 | align_1: 2-3 | align_2: 3-8 | entity: Rafa - Rafa |    Keep playing Rafa please . ||| Continue de jouer Rafa , s' il te plaît . 

C‑44 C‑44 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 619764 | align_1: 7-7 | align_2: 8-15 | entity: Bill C‑44 - C‑44 |    “ The infrastructure bank portion of Bill C‑44 will be studied for just one hour . ||| « La portion du projet de loi C‑44 portant sur la Banque de l’ infrastructure sera étudiée pendant une heure seulement . 

Baffin Baffin | w_freq: 4 - 4 | wiki_freq: 2196 - 497 | sentence_idx: 622519 | align_1: 1-1 | align_2: 2-7 | entity: William Baffin - William Baffin |    William Baffin usually receives full credit for the successes of the 1616 voyage . ||| William Baffin , d' ailleurs , reçoit souvent tout le crédit pour les succès du voyage de 1616 . 

Vaccinations Vaccinations | w_freq: 9 - 1 | wiki_freq: 227 - 22 | sentence_idx: 624960 | align_1: 4-5 | align_2: 5-9 | entity: none - Vaccinations |    The Forgotten History of Vaccinations You Need to Be Aware Of by Dr. Mercola ||| - L' histoire oubliée des Vaccinations , de que vous devez être au courant par le Dr Mercola 

Jomtien Jomtien | w_freq: 6 - 6 | wiki_freq: 79 - 18 | sentence_idx: 625932 | align_1: 4-3 | align_2: 5-8 | entity: Jomtien - Jomtien |    The commitment made at Jomtien 10 years ago promised education as a reality for all in 2000 . ||| L’ engagement de Jomtien , il y a dix ans , promettait l’ éducation comme une réalité pour tous en l’ an 2000 . 

El-Azar-us us | w_freq: 1 - 16 | wiki_freq: 0 - 1248 | sentence_idx: 639384 | align_1: 8-13 | align_2: 9-21 | entity: El-Azar-us - none |    He performed miracles and raised one man , El-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

El-Azar-us Azar | w_freq: 1 - 4 | wiki_freq: 0 - 211 | sentence_idx: 639384 | align_1: 8-11 | align_2: 9-21 | entity: El-Azar-us - El - Azar |    He performed miracles and raised one man , El-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

WEB WEB | w_freq: 349 - 363 | wiki_freq: 257 - 122 | sentence_idx: 640522 | align_1: 16-20 | align_2: 17-26 | entity: none - WEB |    The most blatant example , is the report on " Education and Gender Equality " [ WEB issued in January 2005 . ||| L' exemple le plus flagrant , est le rapport sur " l' éducation et l' égalité des sexes " [ WEB en Anglais , qui est sorti en janvier 2005 . 

NASB Ivano | w_freq: 1 - 2 | wiki_freq: 145 - 531 | sentence_idx: 645040 | align_1: 5-2 | align_2: 6-9 | entity: NASB - Ivano |    The NET Bible and the NASB read , “ The kingdom of God is in your midst , ” while the NIV says , “ within you . ” ||| Pour moi Ivano , je suis sûre que Jésus parlait au présent : " le Royaume des Cieux est au - dedans de vous " selon les traductions ou " au milieu de vous " selon d' autres . 

Gottesfeld Gottesfeld | w_freq: 1 - 1 | wiki_freq: 33 - 3 | sentence_idx: 656853 | align_1: 3-2 | align_2: 4-7 | entity: Marty Gottesfeld - Marty Gottesfeld |    Why was Marty Gottesfeld transferred to MDC Brooklyn and not directly to a low-security prison ? ||| Pourquoi Marty Gottesfeld a -t -il été transféré au MDC de Brooklyn et pas directement dans une prison à sécurité réduite ? 

12:43 12:43 | w_freq: 1 - 1 | wiki_freq: 38 - 1 | sentence_idx: 666138 | align_1: 1-2 | align_2: 2-6 | entity: 12:43 - none |    Luke 12:43 reads , “ Blessed is that servant , whom his lord when he cometh shall find so doing . ” ||| Selon Luc 12:43 , Christ a déclaré : “ Heureux cet esclave , si son maître , en arrivant , le trouve faisant ainsi ! ” 

Devlin Devlin | w_freq: 6 - 7 | wiki_freq: 4962 - 452 | sentence_idx: 672882 | align_1: 3-3 | align_2: 4-9 | entity: Molly Devlin - Molly Devlin |    The artist Molly Devlin is happy to make a comeback this year by taking part in this production , which promises to be interesting by its diversity . ||| L’ artiste Molly Devlin , pour sa part , est heureuse de faire un retour cette année en prenant part à cette production qui promet d’ être intéressante par sa diversité . 

Bunyan Bunyan | w_freq: 1 - 1 | wiki_freq: 1841 - 235 | sentence_idx: 674710 | align_1: 1-1 | align_2: 2-10 | entity: John Bunyan - John Bunyan |    John Bunyan said , “ He who runs from God in the morning will scarcely find Him the rest of the day . ” ||| John Bunyan , l’ auteur du Voyage du Pèlerin , disait avec une pointe d’ humour : « Celui qui court loin de Dieu dès le matin aura du mal à la retrouver pendant le reste de la journée » 

Soros Soros | w_freq: 69 - 69 | wiki_freq: 2108 - 319 | sentence_idx: 676938 | align_1: 3-2 | align_2: 4-7 | entity: Soros - Soros |    But why did Soros call the Marxists when he knew that they were the greatest enemies of capitalism ? ||| Mais pourquoi Soros en a -t -il appelé aux Marxistes alors qu’ il savait qu’ ils étaient les plus grands ennemis du capitalisme ? 

Morality Morality | w_freq: 10 - 1 | wiki_freq: 1457 - 56 | sentence_idx: 700589 | align_1: 8-7 | align_2: 9-14 | entity: Crisis in Morality - Crisis in Morality |    I quote from Al Sanders in Crisis in Morality ! ||| Je cite Al Sanders dans Crisis in Morality ( Crise dans la Moralité ) ! 

OSCE OSCE | w_freq: 108 - 109 | wiki_freq: 3559 - 991 | sentence_idx: 710911 | align_1: 7-5 | align_2: 8-13 | entity: OSCE - OSCE |    All of the elements of today ’s OSCE were included in one way or another in the Helsinki Final Act . ||| Tous les éléments de l’ OSCE telle que nous la connaissons aujourd’hui ont été inclus , d’ une manière ou d’ une autre , dans l’ Acte final de Helsinki . 

Kincaid Kincaid | w_freq: 3 - 3 | wiki_freq: 2402 - 227 | sentence_idx: 711445 | align_1: 17-22 | align_2: 18-27 | entity: Kincaid - Kincaid |    The problem is , there is very little to corroborate this story or to even prove that Kincaid was ever a real person . ||| Le problème , c’ est qu’ il n ’ y a pas grand-chose pour corroborer cette histoire ou même pour prouver que Kincaid n ’ a jamais été une vraie personne . 

Chanel Chanel | w_freq: 34 - 36 | wiki_freq: 4998 - 2248 | sentence_idx: 715418 | align_1: 0-2 | align_2: 1-6 | entity: Chanel - Chanel |    Chanel never abandoned it and continues to reinvent it each season . ||| La maison Chanel ne l’ a jamais abandonné et continue de le réinventer chaque saison . 

Felpham Felpham | w_freq: 1 - 1 | wiki_freq: 109 - 5 | sentence_idx: 720641 | align_1: 6-6 | align_2: 7-10 | entity: Felpham - Felpham |    " [ The town of ] Felpham is a sweet place for Study , because it is more spiritual than London . ||| « [ La ville de ] Felpham ( en ) est une douce place pour étudier car elle est plus spirituelle que Londres . 

Truthout Truthout | w_freq: 1 - 1 | wiki_freq: 109 - 2 | sentence_idx: 724466 | align_1: 1-0 | align_2: 2-5 | entity: Truthout - Truthout |    Did Truthout not notice that Obama continued the policy of “ killing them ( Muslims ) over there ” ? ||| Truthout n' a -t -il pas remarqué qu' Obama a poursuivi la politique de " les tuer ( musulmans ) là - bas " ? 

™ ™ | w_freq: 139 - 134 | wiki_freq: 1816 - 123 | sentence_idx: 727462 | align_1: 3-3 | align_2: 4-11 | entity: none - Climate Take Back ™ |    Climate Take Back ™ is our new mission and we want to share it with the world . ||| Climate Take Back ™ ( Reprendre le contrôle du climat ) est notre nouvelle mission et nous souhaitons la partager avec le reste du monde . 

Cola Cola | w_freq: 12 - 9 | wiki_freq: 2992 - 1211 | sentence_idx: 735623 | align_1: 13-15 | align_2: 14-19 | entity: Coca Cola - Coca Cola |    In the 1990s , when the business world was changing rapidly , Coca Cola realised that its global campaign is not enough to reach consumers across the globe . ||| Dans les années 1990 , alors que le monde des affaires évoluait rapidement , Coca Cola s’ est rendu compte que sa campagne mondiale n’ était pas suffisante pour atteindre les consommateurs du monde entier . 

Dalli Dalli | w_freq: 2 - 2 | wiki_freq: 304 - 47 | sentence_idx: 735720 | align_1: 4-4 | align_2: 5-10 | entity: John Dalli - M. John Dalli |    Statement by Commissioner John Dalli : The adoption of Food Information regulation is good news for consumers ||| Déclaration de M. John Dalli , membre de la Commission : l’ adoption d’ un règlement relatif à l’ information sur les denrées alimentaires est une bonne nouvelle pour les consommateurs 

FPF FPF | w_freq: 5 - 5 | wiki_freq: 639 - 325 | sentence_idx: 736378 | align_1: 4-5 | align_2: 5-11 | entity: FPF - FPF |    In the case of FPF even to avoid speculation and in defense of the institution itself . ||| Dans le cas de la FPF , je l’ ai fait même pour éviter la spéculation et pour défendre l’ institution elle-même . 

Kauppi Kauppi | w_freq: 1 - 1 | wiki_freq: 153 - 33 | sentence_idx: 737295 | align_1: 41-46 | align_2: 42-51 | entity: Piia-Noora Kauppi - Noora Kauppi |    Jean-Pierre Audy ( PPE-DE ) , in writing . – ( FR ) I voted in favour of the European Parliament resolution on tax treatment of losses in cross-border situations , based on the own-initiative report by my excellent colleague Piia-Noora Kauppi in response to a communication from the European Commission on the same subject . ||| Jean-Pierre Audy ( PPE - DE ) , par écrit . – ( FR ) J’ ai voté la résolution du parlement européen sur le traitement fiscal des pertes dans les situations transfrontalières prise sur le rapport d’ initiative de mon excellente collègue Piia - Noora Kauppi et , ce , en réponse à une communication de la commission européenne sur le même sujet . 

Try Essayez | w_freq: 436 - 415 | wiki_freq: 4708 - 39 | sentence_idx: 750609 | align_1: 0-0 | align_2: 1-5 | entity: none - Essayez |    Try new platforms , for example if you have tried email marketing in the past , try a social media campaign . ||| Essayez , également , de nouvelles plates - formes : par exemple si vous avez essayé l’ e-mail marketing dans le passé , essayez une campagne sur les médias sociaux . 

Beracah Beraca | w_freq: 2 - 2 | wiki_freq: 5 - 0 | sentence_idx: 752876 | align_1: 31-32 | align_2: 32-40 | entity: Beracah - Beraca |    On the fourth day they assembled themselves in the valley of Beracah ; for there they blessed the Lord , therefore the name of that place was called The valley of Beracah to this day . ||| Le quatrième jour , ils s ’ assemblèrent [ qahal ] dans la vallée de Beraca , où ils bénirent l’ Eternel ; c’ est pourquoi ils appelèrent ce lieu vallée de Beraca , nom qui lui est resté jusqu’ à ce jour . 

Calcium Calcium | w_freq: 7 - 2 | wiki_freq: 2181 - 79 | sentence_idx: 765966 | align_1: 1-1 | align_2: 2-6 | entity: Fertiorgan Calcium - Fertiorgan Calcium |    Fertiorgan Calcium already has its own website » ||| Fertiorgan Calcium a d’ ores et déjà son propre site » 

HAVE Ayez | w_freq: 28 - 49 | wiki_freq: 268 - 52 | sentence_idx: 778318 | align_1: 2-0 | align_2: 3-4 | entity: none - Ayez |    THEREFORE , HAVE HOPE BECAUSE A GREATER POWER is in the world . ||| Ayez donc de l’ espoir car un pouvoir supérieur est dans le monde . 

Guidelines Lignes | w_freq: 73 - 38 | wiki_freq: 4619 - 3010 | sentence_idx: 782143 | align_1: 21-20 | align_2: 22-25 | entity: paragraph 4.4.2 of the Guidelines for Applicants ) - Lignes Directrices |    However , please note that according to paragraph 4.4 . of the Joint Operational Programme ( and paragraph 4.4.2 of the Guidelines for Applicants ) the partnership shall not include more than three organisations from the same country . ||| Cependant , veuillez noter que conformément au paragraphe 4.4 . du Programme Opérationnel Conjoint ( et au paragraphe 4.4.2 des Lignes Directrices à l’ intention des Demandeurs ) , le partenariat ne pourra pas inclure plus de trois organisations provenant du même pays . 

E-13 E-13 | w_freq: 18 - 18 | wiki_freq: 19 - 3 | sentence_idx: 787103 | align_1: 0-0 | align_2: 1-4 | entity: none - E-13 |    E-13 Now , before you can have a victory , there has to be a battle . ||| E-13 ( 36 ) Maintenant , avant que vous ne puissiez remporter une victoire , il doit y avoir une bataille . 

Paraty Paraty | w_freq: 2 - 2 | wiki_freq: 169 - 86 | sentence_idx: 787364 | align_1: 5-5 | align_2: 6-13 | entity: Paraty - Paraty |    In Angra dos Reis and Paraty credit card use is more difficult , especially in Ilha Grande . ||| Dans Angra dos Reis et Paraty , l’ utilisation de la carte de crédit est plus difficile , en particulier dans Ilha Grande . 

Credibility crédibilité | w_freq: 13 - 324 | wiki_freq: 300 - 2416 | sentence_idx: 800175 | align_1: 5-6 | align_2: 6-11 | entity: the " High Credibility EU Status " of Cyprus Entities - none |    Use of the " High Credibility EU Status " of Cyprus Entities in order to transact internationally . ||| L’ utilisation de la « haute crédibilité du statut de l’ UE » des entités chypriotes afin d’ effectuer des transactions à l’ international . 

Motorcycling Motorcycling | w_freq: 1 - 1 | wiki_freq: 278 - 1 | sentence_idx: 802324 | align_1: 5-5 | align_2: 6-13 | entity: International Foundation for Motorcycling - International Foundation for Motorcycling |    IFM ( International Foundation for Motorcycling ): In May the Board approved on principle the creation of a Foundation for the FIM . ||| IFM ( International Foundation for Motorcycling , Fondation internationale pour la moto ) : en mai , le conseil d' administration a approuvé en principe la création d' une fondation pour la FIM . 

E-15 E-15 | w_freq: 29 - 28 | wiki_freq: 34 - 6 | sentence_idx: 804677 | align_1: 0-0 | align_2: 1-5 | entity: none - E-15 |    E-15 Not long ago , when we were coming into Bombay , I just ... ||| E-15 Il n’ y a pas longtemps , quand nous sommes arrivés à Bombay , je ... 

Daesh Daesh | w_freq: 75 - 39 | wiki_freq: 371 - 205 | sentence_idx: 817230 | align_1: 6-4 | align_2: 7-10 | entity: Daesh - Daesh |    “ We must combat all of Daesh including its financiers and its propagandists . ||| “ nous devons combattre Daesh dans son intégralité , y compris ses financiers et ses propagandistes . 

Joyners Joyners | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 840191 | align_1: 2-2 | align_2: 3-6 | entity: Joyners - Joyners |    Thanks to Joyners manage more than 85 users through its platform . ” ||| Grâce à Joyners , nous nous occupons de plus de 85 utilisateurs sur sa plateforme . ” 

ANSES Anses | w_freq: 3 - 2 | wiki_freq: 97 - 381 | sentence_idx: 840748 | align_1: 10-8 | align_2: 11-13 | entity: none - Anses |    So , how were these 13 new pollutants identified by ANSES ? ||| Comment ces 13 nouveaux polluants identifiés par l’ Anses ont -ils été choisis ? 

Jie Jie | w_freq: 9 - 9 | wiki_freq: 3048 - 463 | sentence_idx: 847849 | align_1: 1-0 | align_2: 2-6 | entity: Jie - Jie |    Soon Jie became my fellow practitioner , we talked about anything and Jie kept cultivating with diligence . ||| Jie n’ a pas tardé à devenir mon compagnon de pratique , nous parlions de tout et Jie continuait de se cultiver avec diligence . 

AFA AFA | w_freq: 3 - 2 | wiki_freq: 2260 - 356 | sentence_idx: 853919 | align_1: 5-5 | align_2: 6-11 | entity: AFA - AFA |    The American Family Association ( AFA ) is asking why a known sexual predator was celebrated in California schools last week . ||| L’ American Family Association ( AFA , Association des familles américaines ) demande pourquoi un prédateur sexuel reconnu a été célébré dans les écoles de Californie la semaine dernière . 

Narbonnaise Narbonnaise | w_freq: 1 - 1 | wiki_freq: 11 - 743 | sentence_idx: 857060 | align_1: 4-2 | align_2: 5-7 | entity: Narbonnaise - Narbonnaise |    The whole of the Narbonnaise produces the same fruits as Italy . ||| Toute la Narbonnaise , en effet , produit les mêmes fruits que l' Italie 

Petitjean Petitjean | w_freq: 1 - 1 | wiki_freq: 137 - 491 | sentence_idx: 858980 | align_1: 1-1 | align_2: 2-5 | entity: Claude Petitjean - Claude Petitjean |    Claude Petitjean prefers to talk about his role and " simple , but determined gestures . " ||| Claude Petitjean , lui , préfère parler de son rôle et de “ gestes simples , mais déterminés . ” 

Diadeis Diadeis | w_freq: 1 - 1 | wiki_freq: 0 - 12 | sentence_idx: 862690 | align_1: 6-6 | align_2: 7-10 | entity: Diadeis - Diadeis |    It is in this context that Diadeis acquired DIALOGUE Engine . ||| C’ est dans ce contexte que Diadeis a fait l’ acquisition de DIALOGUE Engine . 

BOYS GARÇONS | w_freq: 1 - 1 | wiki_freq: 105 - 8 | sentence_idx: 863391 | align_1: 19-19 | align_2: 20-23 | entity: none - LES GARÇONS |    Like , they ’d need a restraining order and four polizia to make me leave — I LOVE YOU BOYS ALL SO VERY VERY VERY VERY MUCH ( call me ) . ||| Du genre , il leur faudrait un mandat d’ arrêt et quatre polizia pour me faire partir – LES GARÇONS , JE VOUS AIME VRAIMENT VRAIMENT VRAIMENT BEAUCOUP ( appelez -moi ) . 

ALL GARÇONS | w_freq: 157 - 1 | wiki_freq: 1658 - 8 | sentence_idx: 863391 | align_1: 20-19 | align_2: 21-23 | entity: none - LES GARÇONS |    Like , they ’d need a restraining order and four polizia to make me leave — I LOVE YOU BOYS ALL SO VERY VERY VERY VERY MUCH ( call me ) . ||| Du genre , il leur faudrait un mandat d’ arrêt et quatre polizia pour me faire partir – LES GARÇONS , JE VOUS AIME VRAIMENT VRAIMENT VRAIMENT BEAUCOUP ( appelez -moi ) . 

Orbital Orbital | w_freq: 7 - 3 | wiki_freq: 4144 - 465 | sentence_idx: 863923 | align_1: 8-12 | align_2: 9-17 | entity: Orbital - Orbital |    They ’ll never be more than personnel on Orbital overseeing our various departments and teams . ” ||| Ils ne seront jamais rien de plus que le personnel de l' Orbital , en train de gérer nos différents départements et nos équipes . » 

Destinations Destinations | w_freq: 16 - 9 | wiki_freq: 3236 - 579 | sentence_idx: 869044 | align_1: 6-6 | align_2: 7-13 | entity: World Cruising Destinations - World Cruising Destinations |    In 2010 he wrote World Cruising Destinations , which gives practical information on 184 maritime nations . ||| En 2010 il écrit World Cruising Destinations ( Destinations de grande croisière ) , qui fournit des informations pratiques sur 184 nations maritimes . 

Philbin Philbin | w_freq: 1 - 1 | wiki_freq: 1217 - 107 | sentence_idx: 874459 | align_1: 5-5 | align_2: 6-9 | entity: Regis Philbin - Regis Philbin |    And this year also Regis Philbin stopped by with his lovely wife Joy ! ||| Et cette année également Regis Philbin s’ y est arrêté avec sa belle épouse Joy ! 

Salesians Salésiens | w_freq: 15 - 11 | wiki_freq: 771 - 178 | sentence_idx: 875115 | align_1: 3-4 | align_2: 4-9 | entity: Salesians - Salésiens |    “ When the Salesians first came in 1938 , they wanted to spread faith and culture to this periphery of Bratislava . ||| « Quand a les Salésiens arrivèrent , pour la première fois , en 1938 , ils voulaient diffuser la foi et la culture en cette périphérie de Bratislava . 

Adieu Adieu | w_freq: 3 - 29 | wiki_freq: 503 - 1447 | sentence_idx: 877107 | align_1: 13-14 | align_2: 14-25 | entity: Adieu - Adieu |    Alliance had perhaps become unarmed conflict , and now you say , " Adieu . " ||| L' alliance est peut-être devenue un conflit non-armé et vous dites maintenant , " Adieu " ( NDT : en français dans le texte ) . 

Syrians Syriens | w_freq: 215 - 220 | wiki_freq: 3109 - 940 | sentence_idx: 878650 | align_1: 19-25 | align_2: 20-29 | entity: Syrians - Syriens |    Syrian refugees living in the city of São Paulo said that Brazil is the only country granting visas to Syrians currently : ||| Des réfugiés syriens qui vivent dans la ville de São Paulo ont expliqué que le Brésil est le seul pays qui accorde des visas aux Syriens à l’ heure actuelle : 

Belts ceintures | w_freq: 5 - 42 | wiki_freq: 699 - 2614 | sentence_idx: 886749 | align_1: 28-32 | align_2: 29-37 | entity: Security Belts - none |    O my brothers and sisters , one evidence of the strength of the Resistance is that in the past , the Israeli enemy always sought to establish Security Belts inside Lebanon . ||| O mes frères et sœurs , l’ une des preuves de la force de la Résistance , c’ est que par le passé , l’ ennemi israélien cherchait toujours à établir des ceintures de sécurité à l’ intérieur du Liban . 

Hittite Hittite | w_freq: 4 - 2 | wiki_freq: 3785 - 113 | sentence_idx: 898270 | align_1: 12-22 | align_2: 13-27 | entity: Hittite - Hittite |    manner , it was ; it was in the head of a Hittite ten thousand years ago . ||| Et en vérité , d’ une certaine manière , c’ était bien le cas ; il appartenait à la tête d’ un Hittite d’ il y a dix mille ans . 

Syriza Syriza | w_freq: 93 - 95 | wiki_freq: 532 - 44 | sentence_idx: 898287 | align_1: 3-1 | align_2: 4-7 | entity: Syriza - Syriza |    And even if Syriza never fully clarified its position on the euro , it did always reject the logic of “ the euro at any price . ” ||| Et Syriza , s’ il n’ avait jamais clarifié sa position sur l’ euro , avait toujours refusé la logique de « l’ euro à tout prix » . 

