11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | ner_entity: 11.1 Party-none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue .
Precursor Precursor | w_freq: 2 - 1 | wiki_freq: 713 - 35 | sentence_idx: 403693 | align_1: 1-1 | align_2: 2-5 | ner_entity: none-Sentinel-5 Precursor |    Sentinel-5 Precursor focussing on gases and aerosols ; ||| Sentinel-5 Precursor , qui se focalise sur les gaz et les aérosols ;

Circles Circles | w_freq: 19 - 3 | wiki_freq: 2750 - 181 | sentence_idx: 404163 | align_1: 6-7 | align_2: 7-16 | ner_entity: Swimming in Circles-Swimming in Circles |    They form the whole Swimming in Circles , we can read . ||| Ils forment l' ensemble « Swimming in Circles » ( « nager en cercle » ) , peut -on lire .

Bourbons Bourbons | w_freq: 6 - 7 | wiki_freq: 1227 - 2947 | sentence_idx: 404180 | align_1: 10-9 | align_2: 11-14 | ner_entity: Bourbons-Bourbons |    Take care , if you remake the bed of the Bourbons not to sleep in 10 years . ||| Prenez garde , si vous refaites le lit des Bourbons , de n’ y pas coucher dans dix ans .

AIS AIS | w_freq: 12 - 11 | wiki_freq: 2792 - 541 | sentence_idx: 407160 | align_1: 1-0 | align_2: 2-5 | ner_entity: AIS-AIS |    Basically AIS only recognises another ship if that ship is also using AIS . ||| AIS , en effet , ne reconnaît un autre bateau que si celui-ci utilise aussi AIS .

Shoah Shoah | w_freq: 26 - 28 | wiki_freq: 940 - 5362 | sentence_idx: 407238 | align_1: 6-9 | align_2: 7-13 | ner_entity: Shoah-Shoah |    One reason we failed during the Shoah was that , at that time , the world had no internationally recognized right to flee and seek refuge . ||| Une raison pour laquelle nous avons échoué durant la Shoah [ sic ] était que , à l’ époque , le monde n’ avait pas de droit internationalement reconnu de fuir et chercher refuge .

85/337 85/337 | w_freq: 3 - 3 | wiki_freq: 5 - 3 | sentence_idx: 407447 | align_1: 11-18 | align_2: 12-22 | ner_entity: Article 10a of Directive 85/337-none |    Article 11 of Directive 2011/92 was originally Article 10a of Directive 85/337 . ||| L’ article 11 de la directive 2011/92 était à l’ origine l’ article 10 bis de la directive 85/337 ( 10 ) .

tomorrow demain | w_freq: 1307 - 1358 | wiki_freq: 4903 - 2889 | sentence_idx: 409994 | align_1: 7-9 | align_2: 8-13 | ner_entity: tomorrow-none |    It was n't very productive and if tomorrow is dry I will be facing completely new conditions . ||| Il n' a pas été très productif et si demain , la piste est sèche , je ferais face à des conditions complètement nouvelles .

Transition Transition | w_freq: 58 - 40 | wiki_freq: 7298 - 1832 | sentence_idx: 413093 | align_1: 2-2 | align_2: 3-8 | ner_entity: ITIL Service Transition-ITIL Service Transition |    ITIL Service Transition shows how to introduce services into the environment . ||| ITIL Service Transition ( Transition des services ) indique comment introduire des services dans l' environnement .

IPP IPP | w_freq: 3 - 4 | wiki_freq: 1224 - 258 | sentence_idx: 414382 | align_1: 5-7 | align_2: 6-12 | ner_entity: IPP-none |    To obtain permits , the IPP already has several cards in hand , since it has previously concluded an agreement with the central government in Nairobi . ||| Pour l’ obtention des permis , l’ IPP détient d’ ores et déjà plusieurs cartes en mains , puisqu’ il a préalablement conclu un accord avec le gouvernement central à Nairobi .

Caligastia Caligastia | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 416846 | align_1: 18-21 | align_2: 19-25 | ner_entity: Caligastia-Caligastia |    But it became impossible for these souls to leave these places around Earth in the way Lucifer and Caligastia acted . ||| Mais cela devenait impossible pour ces âmes de quitter ces lieux autour de la terre de la façon dont Lucifer et Caligastia s’ y sont pris .

ROTC ROTC | w_freq: 1 - 1 | wiki_freq: 3399 - 47 | sentence_idx: 417877 | align_1: 11-13 | align_2: 12-19 | ner_entity: Army ROTC-ROTC |    Now , during Civil Air Patrol , I also took Army ROTC . ||| Maintenant , pendant la patrouille aérienne civile , j’ ai aussi pris le ROTC de l’ armée de terre .

106,000 106000 | w_freq: 2 - 1 | wiki_freq: 456 - 9 | sentence_idx: 420072 | align_1: 3-4 | align_2: 4-8 | ner_entity: 106,000-none |    Costsofwar.com has tallied 106,000 Americans wounded in Iraq and Afghanistan or evacuated from those war zones because of accident or disease . ||| Costsofwar.com a évalué à 106000 le nombre d’ américains blessés en Irak et en Afghanistan , ou évacués de ces zones de guerre , pour cause d’ accident , ou de maladie .

5.8The 5.8La | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 425184 | align_1: 0-0 | align_2: 1-8 | ner_entity: 5.8The Abortion Information Act-none |    5.8The Abortion Information Act can be described as a system of strict State control governing the manner in which information must be given . ||| 5.8La loi sur l’ information relative à l’ avortement peut être décrite comme un système de contrôle étatique strict régissant la manière dont l’ information doit être fournie .

millennials Millenials | w_freq: 81 - 4 | wiki_freq: 944 - 10 | sentence_idx: 427874 | align_1: 9-12 | align_2: 10-16 | ner_entity: none-Millenials |    So then , the real question … Do us millennials travel only to take pictures ? ||| La vraie question est donc … Est -ce que nous , les Millenials , on ne voyage que pour prendre des photos ?

BDS BDS | w_freq: 97 - 96 | wiki_freq: 2109 - 422 | sentence_idx: 429895 | align_1: 19-12 | align_2: 20-18 | ner_entity: none-BDS |    We are now beginning to harvest the fruits of 10 years of strategic , morally consistent and undeniably effective BDS human rights campaigning . ||| Nous commençons maintenant à récolter les fruits de 10 ans de campagne BDS pour les droits de l’ Homme , stratégique , moralement cohérente et indéniablement efficace .

LUXEMBOURG LUXEMBOURG | w_freq: 2 - 2 | wiki_freq: 8 - 7 | sentence_idx: 431244 | align_1: 0-0 | align_2: 1-4 | ner_entity: LUXEMBOURG-LUXEMBOURG |    LUXEMBOURG – If you want your past to be forgotten on the internet , it might be best to move to Europe . ||| LUXEMBOURG ( Reuters ) – Si vous souhaitez que votre passé soit oublié sur Internet , le mieux est peut-être de déménager en Europe .

al-Burooj sourat | w_freq: 2 - 2 | wiki_freq: 0 - 2 | sentence_idx: 431886 | align_1: 22-24 | align_2: 23-29 | ner_entity: al-Burooj-none |    “ By the witnessing day [ Friday ] and by the witnessed day [ the Day of Arafah ] . ” [ al-Burooj 85:3 ] . ||| d’ ici - bas et au Jour [ dernier ] où se dresseront les Témoins ( les Anges de protection ) . » [ sourat Ghafir / ‘ ayah 51 ]

al-Burooj Ghafir | w_freq: 2 - 3 | wiki_freq: 0 - 6 | sentence_idx: 431886 | align_1: 22-25 | align_2: 23-29 | ner_entity: al-Burooj-Ghafir |    “ By the witnessing day [ Friday ] and by the witnessed day [ the Day of Arafah ] . ” [ al-Burooj 85:3 ] . ||| d’ ici - bas et au Jour [ dernier ] où se dresseront les Témoins ( les Anges de protection ) . » [ sourat Ghafir / ‘ ayah 51 ]

Success Success | w_freq: 114 - 17 | wiki_freq: 9305 - 280 | sentence_idx: 433262 | align_1: 6-6 | align_2: 7-15 | ner_entity: The Key to Unlocking Multichannel Success-The Key to Unlocking Multichannel Success |    “ The Key to Unlocking Multichannel Success , ” Experian , 2016 . ||| « The Key to Unlocking Multichannel Success » ( La clé du succès multicanal ) , Experian , 2016 .

Iranians Iraniens | w_freq: 185 - 202 | wiki_freq: 4598 - 1064 | sentence_idx: 435461 | align_1: 6-7 | align_2: 7-11 | ner_entity: Iranians-Iraniens |    Furthermore , an increasing number of Iranians within and outside Iran have denounced the persecution . ||| En outre , un nombre croissant d’ Iraniens , à l’ intérieur et à l’ extérieur de l’ Iran , ont dénoncé la persécution .

Passover Pâque | w_freq: 21 - 21 | wiki_freq: 3664 - 586 | sentence_idx: 435482 | align_1: 8-7 | align_2: 9-11 | ner_entity: none-Pâque |    “ Let the children of Israel keep the Passover at its appointed time ||| Que les enfants d’ Israël célèbrent la Pâque [ pecach ] au temps fixé .

MERC MERC | w_freq: 1 - 1 | wiki_freq: 119 - 41 | sentence_idx: 440073 | align_1: 1-0 | align_2: 2-5 | ner_entity: MERC-MERC |    Does MERC actively look for employment opportunities for me ? ||| MERC cherche t’ il pro activement des opportunités d’ emploi pour moi ?

E-163 E-163 | w_freq: 9 - 9 | wiki_freq: 0 - 1 | sentence_idx: 443942 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-163 |    E-163 I was thinking of another hungry person . ||| E-163 ( 133 ) Je pensais à un autre affamé .

Congolese congolaises | w_freq: 170 - 16 | wiki_freq: 8180 - 720 | sentence_idx: 444456 | align_1: 6-8 | align_2: 7-15 | ner_entity: Congolese-none |    Lucha has received support from 36 Congolese human rights organisations . ||| Lucha a reçu le soutien de 36 organisations congolaises de défense des droits de l’ homme .

E-52 E-52 | w_freq: 23 - 24 | wiki_freq: 3 - 1 | sentence_idx: 452996 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-52 |    E-52 I may never see you again , friends . ||| E-52 Peut - être que je ne vous reverrai plus jamais , ami .

mid-December mi-décembre | w_freq: 15 - 14 | wiki_freq: 3448 - 1550 | sentence_idx: 454575 | align_1: 7-10 | align_2: 8-15 | ner_entity: mid-December-none |    A trip to Turkey and Israel in mid-December impressed on me the surprisingly weak position of a mere prime minister in both countries . ||| Un voyage en Turquie et en Israël , à la mi-décembre , m' a bien fait comprendre la position étonnamment faible de simple Premier ministre dans les deux pays .

Domino Domino | w_freq: 7 - 7 | wiki_freq: 5867 - 1275 | sentence_idx: 456866 | align_1: 3-3 | align_2: 4-8 | ner_entity: Domino-Domino |    Only Bridge and Domino correctly suspected that Cable was a time traveler . ||| Seuls Bridge et Domino se doutaient , avec justesse , que Cable était un voyageur temporel .

Shu'aib ayb | w_freq: 2 - 2 | wiki_freq: 29 - 28 | sentence_idx: 459577 | align_1: 11-6 | align_2: 12-13 | ner_entity: Shu'aib-Chou’ ayb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui rejetèrent Chou’ ayb disparurent , comme s’ ils n’ avaient jamais existé .

Shu'aib Chou’ | w_freq: 2 - 1 | wiki_freq: 29 - 0 | sentence_idx: 459577 | align_1: 11-5 | align_2: 12-13 | ner_entity: Shu'aib-Chou’ ayb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui rejetèrent Chou’ ayb disparurent , comme s’ ils n’ avaient jamais existé .

Address aborder | w_freq: 39 - 446 | wiki_freq: 6483 - 4579 | sentence_idx: 467461 | align_1: 14-14 | align_2: 15-19 | ner_entity: Now More Than Ever : Why We Need to Address Inequity and Justice in Schools-none |    In another article titled “ Now More Than Ever : Why We Need to Address Inequity and Justice in Schools , ” the ADL went on to say that “ structural inequities in society also exist in our educational system . ||| Dans un autre article intitulé “ Maintenant plus que jamais : Pourquoi nous devons aborder le problème de l’ iniquité et de la justice dans les écoles ” , l’ ADL déclarait également que “ les inégalités structurelles qui existent dans la société se retrouvent aussi dans notre système éducatif .

E-82 E-82 | w_freq: 17 - 19 | wiki_freq: 12 - 1 | sentence_idx: 469152 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-82 |    E-82 The beast , churches , called churches , they are not churches . ||| E-82 ( 185 ) La bête , les églises , appelées églises , elles ne sont pas des églises .

Optina Optina | w_freq: 1 - 1 | wiki_freq: 105 - 98 | sentence_idx: 471971 | align_1: 5-5 | align_2: 6-9 | ner_entity: Optina-Optina |    Among the people who visited Optina were the names of well-known figures of those years . ||| Parmi les personnes qui visitaient Optina , il y avait les noms de figures bien connues de ces années -là .

Draejan Draejan | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 474241 | align_1: 7-7 | align_2: 8-12 | ner_entity: Draejan-Draejan |    None of the other nobles , including Draejan reacted in a suspicious manner . ||| Aucun des autres nobles , y compris Draejan , personne n’ avait réagi de manière suspicieuse .

Kaspersky Kaspersky | w_freq: 19 - 19 | wiki_freq: 760 - 219 | sentence_idx: 477620 | align_1: 4-6 | align_2: 5-11 | ner_entity: Kaspersky-Kaspersky |    Yet when experts of Kaspersky examined these devices , it has been shown that the Absolute Software ’s program was indeed present . ||| Pourtant , lorsque les experts de Kaspersky ont procédé à l’ examen de ces appareils , il a été démontré que le programme d’ Absolute Software était bel et bien présent .

DevBlog DevBlog | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 479530 | align_1: 3-5 | align_2: 4-10 | ner_entity: DevBlog-DevBlog |    We wrote a DevBlog that might interest developers ( 2D or not ): WEB ! ||| Nous avons publié un nouveau DevBlog ( en anglais ) qui pourrait intéresser les développeurs ( 2D ou non ) : WEB !

E-43 E-43 | w_freq: 13 - 14 | wiki_freq: 6 - 1 | sentence_idx: 479938 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-43 |    E-43 If this day being so important , one of the greatest days , let us look at three different things that day meant to us . ||| E-43 ( 26 ) Si ce jour est tellement important qu' il est l' un des plus grands jours , examinons trois choses distinctes que ce jour représentait pour nous .

SADC SADC | w_freq: 30 - 31 | wiki_freq: 866 - 132 | sentence_idx: 483789 | align_1: 2-4 | align_2: 3-9 | ner_entity: SADC Investment Protocol-Protocole de la SADC |    The 2006 SADC Investment Protocol , for its part , states the need to integrate foreign investment into the larger framework of sustainable development . ||| Le Protocole de la SADC de 2006 sur l’ investissement affirme pour sa part la nécessité d’ intégrer l’ investissement étranger au cadre plus large du développement durable .

Stupid stupide | w_freq: 19 - 269 | wiki_freq: 3054 - 1068 | sentence_idx: 489680 | align_1: 6-7 | align_2: 7-11 | ner_entity: How I Became Stupid-Comment je suis devenu stupide |    Martin Page , How I Became Stupid , 2001 . ||| Martin Page , Comment je suis devenu stupide , Le Dillettante , 2001 .

Tarzan-themed Tarzan | w_freq: 1 - 10 | wiki_freq: 1 - 1496 | sentence_idx: 493565 | align_1: 13-14 | align_2: 14-22 | ner_entity: Tarzan-themed-Tarzan |    “ So the boys are obsessed with Tarzan , and we have a Tarzan-themed birthday party in a jungle in my house . ||| “ Ainsi , les garçons sont obsédés par Tarzan , et nous avons un Tarzan sur le thème de la fête d’ anniversaire dans une jungle dans ma maison .

Grubach Grubach | w_freq: 2 - 2 | wiki_freq: 6 - 3 | sentence_idx: 494007 | align_1: 4-5 | align_2: 5-12 | ner_entity: Paul Grubach-Paul Grubach |    At the time Paul Grubach had not shrunk from writing : " Mark Weber is to be congratulated [ … ] . ||| A l’ époque , Paul Grubach , pour sa part , n’ avait pas craint d’ écrire : « Mark Weber is to be congratulated [ … ] .

CONF.171/1 CONF.171/1 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 495538 | align_1: 2-2 | align_2: 3-7 | ner_entity: none-CONF.171/1 |    A / CONF.171/1 Provisional Agenda in English and French ; ||| A / CONF.171/1 , Ordre du Jour Provisoire , en Anglais et Français ;

Readings lectures | w_freq: 8 - 105 | wiki_freq: 1475 - 5349 | sentence_idx: 499206 | align_1: 27-30 | align_2: 28-35 | ner_entity: the Cayce Readings-none |    Elkins never asked the question of the 2000 date in the Law of One series , so we have to find out for ourselves why the Cayce Readings targeted it . ||| Elkins n’ a jamais posé la question de la date de 2000 dans la série La Loi de Un , nous devons donc découvrir par nous - mêmes pourquoi les lectures de Cayce l’ ont ciblée .

EPO EPO | w_freq: 18 - 6 | wiki_freq: 1951 - 917 | sentence_idx: 500257 | align_1: 2-2 | align_2: 3-7 | ner_entity: EPO-none |    When was EPO banned as a performance enhancing substance ? ||| Quand l’ EPO a -t -elle été interdite comme une substance améliorant la performance ?

EPO EPO | w_freq: 18 - 6 | wiki_freq: 1951 - 917 | sentence_idx: 500258 | align_1: 2-2 | align_2: 3-7 | ner_entity: EPO-none |    When was EPO banned as a performance enhancing substance ? ||| Quand l' EPO a -t -elle été interdite comme une substance améliorant la performance ?

Councils Conseils | w_freq: 38 - 53 | wiki_freq: 9359 - 2324 | sentence_idx: 503069 | align_1: 7-9 | align_2: 8-13 | ner_entity: Councils-Conseils |    By early January 1957 , members of Councils not yet arrested began to resign . ||| Au début de janvier 1957 , les membres des Conseils qui n’ avaient pas encore été arrêtés commencèrent à démissionner .

139 139 | w_freq: 32 - 34 | wiki_freq: 8719 - 2059 | sentence_idx: 504063 | align_1: 8-8 | align_2: 9-13 | ner_entity: 139-none |    Those lucky enough to be able to spend 139 will only have 1250 . ||| Ceux qui ont la chance de pouvoir dépenser 139 € n’ en n’ auront que 1250 .

Sougou Sougou | w_freq: 1 - 1 | wiki_freq: 43 - 36 | sentence_idx: 504233 | align_1: 2-2 | align_2: 3-6 | ner_entity: Modou Sougou-Modou Sougou |    ” Modou Sougou is one of my sons and one of our brothers . ||| « Modou Sougou , lui , est un de mes fils et l’ un de nos frères .

Furs Furs | w_freq: 2 - 1 | wiki_freq: 763 - 107 | sentence_idx: 505449 | align_1: 5-5 | align_2: 6-12 | ner_entity: Venus in Furs-Venus in Furs |    A book like Venus in Furs reminds us of what we are - blackness and light . ||| Un livre comme Venus in Furs ( Vénus en Fourrures ) nous rappelle ce que nous sommes - noirceur et lumière .

FONASBA FONASBA | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 510961 | align_1: 0-0 | align_2: 1-5 | ner_entity: FONASBA Quality Standard-none |    FONASBA Quality Standard now covers 35 countries , 500 companies ||| FONASBA : Le standard de qualité FONASBA couvre désormais 35 pays , 500 entreprises

Qur'an Coran | w_freq: 85 - 346 | wiki_freq: 6037 - 7889 | sentence_idx: 514925 | align_1: 6-7 | align_2: 7-13 | ner_entity: Revelation of some Verses of the Qur'an-Coran |    Revelation of some Verses of the Qur'an regarding Mariya ||| Selon l' ordre de la compilation du Coran , elle a été révélée après sourate Maryam .

Reward Reward | w_freq: 22 - 9 | wiki_freq: 1075 - 83 | sentence_idx: 515452 | align_1: 14-15 | align_2: 15-21 | ner_entity: “ Just Reward-Just Reward |    Israel , however , immediately launched a wide-scale military campaign , dubbed “ Just Reward , ” to free the two soldiers . ||| Israël , cependant , lança immédiatement une campagne militaire à grande échelle surnommée " Just Reward " ( Juste récompense ) , pour libérer les deux soldats .

Yea Annaha | w_freq: 1 - 1 | wiki_freq: 532 - 0 | sentence_idx: 516124 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Annaha al |    Yea ! verily this is the Truth , this is the Truth , this is the TRUTH . ||| Annaha al - haqq : elle est la vérité .

DNSSEC DNSSEC | w_freq: 4 - 4 | wiki_freq: 276 - 43 | sentence_idx: 520287 | align_1: 6-7 | align_2: 7-11 | ner_entity: DNSSEC-DNSSEC |    A more secure DNS protocol called DNSSEC aims to solve some of these problems , but it has not been widely adopted yet . ||| Un protocole DNS plus sécurisé , appelé DNSSEC , a pour objectif de résoudre certains de ces problèmes , mais il n’ est pas encore largement adopté .

Passover Pâque | w_freq: 21 - 21 | wiki_freq: 3664 - 586 | sentence_idx: 520336 | align_1: 9-7 | align_2: 10-11 | ner_entity: Passover-Pâque |    “ Let the children of Israel also keep the Passover at its appointed time . ||| Que les enfants d’ Israël célèbrent la Pâque [ pecach ] au temps fixé .

helping)Nike Nike | w_freq: 1 - 139 | wiki_freq: 0 - 1929 | sentence_idx: 527084 | align_1: 8-12 | align_2: 9-16 | ner_entity: helping)Nike-Nike |    Many years later ( necessarily , the technology helping)Nike decided to make this dream a reality . ||| Bien des années après ( forcément , la technologie aidant ) , Nike s’ est donc décidé à faire de ce rêve une réalité .

Bourne Bourne | w_freq: 7 - 7 | wiki_freq: 9248 - 1372 | sentence_idx: 527380 | align_1: 26-31 | align_2: 27-35 | ner_entity: Bourne-Bourne |    Aaron Cross is one of those other agents , and as an agent of Operation Outcome , he is stronger , faster and more dangerous than Bourne ever was . ” ||| Aaron Cross est l’ un de ces autres agents , et en tant qu’ agent de l’ Operation Outcome , il est plus fort , plus rapide et plus dangereux que Bourne ne l’ a jamais été . »

Maryam Maryam[1 | w_freq: 23 - 1 | wiki_freq: 2582 - 0 | sentence_idx: 527666 | align_1: 6-4 | align_2: 7-9 | ner_entity: the Surah of her Maryam in the Qur'an-none |    mentioned in the Surah of her Maryam in the Qur'an . ||| Vertus de son Excellence Maryam[1 ] ( as ) dans le Coran

Smoking cigarette | w_freq: 30 - 160 | wiki_freq: 4177 - 2512 | sentence_idx: 528596 | align_1: 0-1 | align_2: 1-5 | ner_entity: none-La cigarette |    Smoking never helped you relax , that ’s another lie . ||| La cigarette ne t’ a jamais aidé à te détendre , c’ est encore un mensonge .

pro-Israel pro-israéliennes | w_freq: 29 - 7 | wiki_freq: 1065 - 34 | sentence_idx: 529591 | align_1: 10-13 | align_2: 11-17 | ner_entity: pro-Israel-none |    “ Almost every time there is no presence from the pro-Israel UK organizations . ||| « La plupart du temps il n’ y a aucune présence des organisations pro-israéliennes du Royaume - Uni .

Civilization Civilization | w_freq: 56 - 16 | wiki_freq: 5371 - 465 | sentence_idx: 533915 | align_1: 3-3 | align_2: 4-10 | ner_entity: The Coalition Against Civilization-Coalition Against Civilization |    The Coalition Against Civilization write " We need to be realistic about what would happen were we to enter a post-civilized world . ||| La Coalition Against Civilization ( Coalition Contre la Civilisation ) écrit « Nous devons être réalistes à propos de ce qui arrivera quand nous entreront dans un monde post-civilisation .

Lampedusa Lampedusa | w_freq: 20 - 20 | wiki_freq: 524 - 449 | sentence_idx: 534123 | align_1: 4-5 | align_2: 5-10 | ner_entity: Lampedusa-Lampedusa |    When I went to Lampedusa three years ago , this phenomenon had already started . ||| Quand je suis allé à Lampedusa , il y a trois ans , ce phénomène commençait déjà .

Zeitung Zeitung | w_freq: 12 - 14 | wiki_freq: 4643 - 2113 | sentence_idx: 535991 | align_1: 4-5 | align_2: 5-10 | ner_entity: the Süddeutsche Zeitung-Süddeutsche Zeitung |    He told the Süddeutsche Zeitung that he has nothing against Muslim immigrants seeking judgments according to their own legal systems . ||| Il a déclaré au Süddeutsche Zeitung ( Süddeutsche Zeitung ) qu' il n' a rien contre les immigrés musulmans qui recherchent des jugements en fonction de leurs propres systèmes juridiques .

Iblìs Iblis | w_freq: 1 - 3 | wiki_freq: 0 - 150 | sentence_idx: 537980 | align_1: 12-12 | align_2: 13-16 | ner_entity: Iblìs-Iblis |    So she was turned out of Paradise , and , consorting with Iblìs , became the mother of devils . ||| Alors elle a été chassée du paradis et , en compagnie d' Iblis ( Satan ) , est devenue la mère des diables .

Tibetans Tibétains | w_freq: 109 - 106 | wiki_freq: 3366 - 2998 | sentence_idx: 538929 | align_1: 1-2 | align_2: 2-6 | ner_entity: Tibetans-Tibétains |    We Tibetans realized that it would be beneficial to teach and explain the dharma . ||| Nous , Tibétains , s' est rendu compte qu' il serait bénéfique d' enseigner et d' expliquer le dharma .

Limbs Limbs | w_freq: 2 - 2 | wiki_freq: 487 - 37 | sentence_idx: 538958 | align_1: 10-11 | align_2: 11-15 | ner_entity: Life Without Limbs-Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe — 800,000 people in the streets of Kyiv Ukraine ! ||| « Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine !

IVAW IVAW | w_freq: 1 - 1 | wiki_freq: 29 - 0 | sentence_idx: 540180 | align_1: 4-3 | align_2: 5-8 | ner_entity: IVAW-IVAW |    WW : Will the IVAW also confront recruiters ? ||| WW : l' IVAW va - t' elle aussi affronter les recruteurs ?

Hiromi Hiromi | w_freq: 1 - 1 | wiki_freq: 1026 - 295 | sentence_idx: 540648 | align_1: 9-10 | align_2: 10-18 | ner_entity: Hiromi-Hiromi |    I do n’t want to say this but , Hiromi , please watch over our world . ||| Je n' ai pas envie de le dire mais , Hiromi , s' il - te - plaît , veille sur notre monde .

SAAHA SAAHA | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 547377 | align_1: 6-6 | align_2: 7-14 | ner_entity: SAAHA-SAAHA |    South African Animal Health Association ( SAAHA ) ( 1 ) representing industry ||| South African Animal Health Association ( SAAHA - Association sud-africaine pour la santé animale ) ( 1 ) représentant l’ industrie

Eldred Eldred | w_freq: 4 - 6 | wiki_freq: 1106 - 99 | sentence_idx: 552504 | align_1: 4-5 | align_2: 5-10 | ner_entity: this the Eldred Act-Loi Eldred |    We called this the Eldred Act , but that was just to give it a name . ||| Nous l' appelâmes le Loi Eldred ( NdT : Eldred Act ) , mais c' était juste pour lui donner un nom .

KAIST KAIST | w_freq: 6 - 6 | wiki_freq: 361 - 38 | sentence_idx: 562821 | align_1: 2-3 | align_2: 3-8 | ner_entity: KAIST-KAIST |    L’X and KAIST already identified fields of cooperation : ||| L’ X et KAIST ont d’ ores et déjà identifié des domaines de collaboration :

Decision Décision | w_freq: 199 - 49 | wiki_freq: 8080 - 765 | sentence_idx: 573231 | align_1: 19-18 | align_2: 20-22 | ner_entity: the Framework Decision-Décision - Cadre |    They shall be applicable in the relationship with another Member State of the European Union only if the Framework Decision is not applicable . ||| Elles sont applicables dans les relations avec un autre Etat membre de l' Union européenne uniquement lorsque la Décision - Cadre n' est pas applicable .

1,638 638 | w_freq: 1 - 4 | wiki_freq: 143 - 584 | sentence_idx: 576306 | align_1: 1-2 | align_2: 2-6 | ner_entity: 1,638-none |    And 1,638 are in need of emergency assistance in the northern town of Galkayo . ||| Et 1 638 d’ entre elles ont besoin d' une aide d' urgence dans la ville de Galkayo , au nord .

Beiral Beiral | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 579545 | align_1: 7-7 | align_2: 8-11 | ner_entity: Beiral-Beiral |    But after he made the people , Beiral realised that the people had no lands ! ||| Mais après avoir créé le peuple , Beiral s’ est rendu compte que les gens n’ avaient pas de terre !

Jehovah Jéhovah | w_freq: 133 - 121 | wiki_freq: 5053 - 1803 | sentence_idx: 584972 | align_1: 15-14 | align_2: 16-19 | ner_entity: Has Jehovah Always Had an Organization-Jéhovah |    The text below is the transcript of the second part of this series , Has Jehovah Always Had an Organization ? ||| Le texte ci-dessous est la retranscription de la deuxième partie de cette série , Jéhovah a - t’ il toujours eu une organisation ?

Kaizuka Kaizuka | w_freq: 1 - 1 | wiki_freq: 131 - 38 | sentence_idx: 587864 | align_1: 0-0 | align_2: 1-4 | ner_entity: Kaizuka-Kaizuka |    Kaizuka actually joined in the production of the song when it was almost complete . ||| Kaizuka s’ est en fait joint à la production de la chanson quand elle était presque terminée .

Skopje Skopje | w_freq: 13 - 13 | wiki_freq: 6914 - 2313 | sentence_idx: 590558 | align_1: 11-12 | align_2: 12-17 | ner_entity: Skopje-Skopje |    By the way , we had a very interesting meeting in Skopje two months ago . ||| A ce propos , nous avons eu une réunion très intéressante à Skopje , il y a deux mois .

Badoer Badoer | w_freq: 1 - 1 | wiki_freq: 452 - 236 | sentence_idx: 592121 | align_1: 10-11 | align_2: 11-16 | ner_entity: Luca Badoer-Luca Badoer |    “ For sure it is an important race for Luca Badoer next weekend . ||| « Bien sûr , c' est une course importante pour Luca Badoer le week - end prochain .

Corbyn Corbyn | w_freq: 69 - 69 | wiki_freq: 4429 - 698 | sentence_idx: 597203 | align_1: 3-2 | align_2: 4-7 | ner_entity: Corbyn-Corbyn |    But how did Corbyn do in terms of the Labour vote compared to his recent predecessors ? ||| Mais comment Corbyn s’ en est il sorti , en termes de votes travaillistes par rapport à ses récents prédécesseurs ?

yuan yuans | w_freq: 88 - 46 | wiki_freq: 6168 - 809 | sentence_idx: 604594 | align_1: 10-8 | align_2: 11-13 | ner_entity: a hundred yuan-none |    Can you please ask him to lend us a hundred yuan ? ” ||| Pourriez -vous lui demander de nous prêter cent yuans s’ il vous plaît ? »

