Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | ner_entity: Golang-none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。
williams 唐·威廉姆斯 | w_freq: 2 - 1 | wiki_freq: 169 - 4 | sentence_idx: 616593 | align_1: 1-0 | align_2: 2-9 | ner_entity: none-唐·威廉姆斯 |    Don williams we got love ||| 唐·威廉姆斯 （ Don Williams ） 《 我们 拥有 了 爱we got love 》

02L 02L | w_freq: 1 - 1 | wiki_freq: 2 - 7 | sentence_idx: 620796 | align_1: 21-26 | align_2: 22-31 | ner_entity: 02L-none |    In 2014 members of an early collab channel called Our Second Life lived and worked together in what they called the 02L Mansion . ||| 2014年 ， 一个 名为 “ 我们 的 第二 人生 （ Our Second Life ） ” 的 早期 合作 频道 的 成员 在 他们 所谓 的 “ 02L 大厦 （ 02 L Mansion ） ” 里 生活 和 工作 。

WeToo WeToo | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 627322 | align_1: 15-13 | align_2: 16-18 | ner_entity: WeToo-none |    The Left , however , should learn from the rise of Rightist populism , because WeToo can play the populist game … ||| 不过 ， 左翼 应该 从 右翼 民粹主义 的 崛起 中 学习 ， 因为 WeToo （ 我们 也 ） 可以 玩 民粹主义 的 游戏 ……

Winzip WinZip | w_freq: 1 - 4 | wiki_freq: 1 - 34 | sentence_idx: 632014 | align_1: 2-2 | align_2: 3-6 | ner_entity: Winzip-none |    WinRAR and Winzip need paying for ( eventually ) , 7zip is free and does the same thing . ||| WinRAR 的 WinZip 的 ， 并 需要 支付 （ 最终 ） ， 7zip 是 免费 的 而且 也 获得 了 同样 的 事 。

G.U.Y. U.Y | w_freq: 1 - 1 | wiki_freq: 63 - 2 | sentence_idx: 641685 | align_1: 13-31 | align_2: 14-35 | ner_entity: G.U.Y.-none |    " I wanna be the girl under you / I wanna be your G.U.Y. / I wanna be the grave and earth / Our sex does n't tell us no lies . " ||| I wanna be the girl under you ( oh yeah ) / 我 想 成为 你 肉躯 下 里 的 女孩 ( 喔 耶 ) I wanna be your G . U.Y ( yeah ) / 我 想 成为 你 的 主 . 宰.者 I wanna be the grave and earth you ( oh yeah ) / 我 想 成为 你 的 阴 与 阳 ( 喔 耶 ) Our sexes tell us no lies / 性欲 诉著 我们 没有 谎言

Tonado Tonado | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 643465 | align_1: 12-10 | align_2: 13-18 | ner_entity: Western Tonado-none |    The first action of the tournament will be between Diesel and Western Tonado starting at 1 pm . ||| 比赛 的 第一 个 动作 将 在 Diesel 和 Western Tonado 之间   ， 从 下午 1点 开始   。

Buys Buys | w_freq: 3 - 2 | wiki_freq: 490 - 4 | sentence_idx: 644060 | align_1: 0-0 | align_2: 1-4 | ner_entity: Buys-none |    Buys and her partner successfully ran their store for nearly 20 years , but when they sold it in 2000 she was ready for a change . ||| Buys （ 拜斯 ） 和 合作 伙伴 将 他们 的 店 成功 地 经营 了 近 20 年 ， 但是 ， 当 他们 在 2000 年 把 它 卖掉 时 ， 她 已经 准备 做 一番 改变 了 。

Kunstler Kunstler | w_freq: 1 - 2 | wiki_freq: 522 - 1 | sentence_idx: 647317 | align_1: 1-1 | align_2: 2-8 | ner_entity: William Kunstler-none |    William Kunstler as Boston Judge ||| William Kunstler （ 英语 ： William Kunstler ） 饰 Boston Judge

Wisner Wisner | w_freq: 1 - 1 | wiki_freq: 811 - 4 | sentence_idx: 659021 | align_1: 32-26 | align_2: 33-30 | ner_entity: Wisner-none |    “ At the time I could n’t believe that CAD could get any more advanced than what I ’d just experienced , but now I know how right he was , ” Wisner says . ||| “ 当时 我 不 相信 CAD 能 比 我 刚刚 了解 的 更 先进 ， 但 现在 我 知道 他 是 多么 的 正确 ， ” Wisner （ 威斯纳 ） 说 。

Today).2 Today | w_freq: 1 - 51 | wiki_freq: 0 - 341 | sentence_idx: 664015 | align_1: 18-23 | align_2: 18-28 | ner_entity: USA Today).2-none |    n “ Moslems are the world ’s fastest-growing group … ” ( The Population Reference Bureau , USA Today).2 ||| n “ 穆斯林 是 世界 上 成长 最 快速 的 群体 ... ” （ 人口 调查局 ( Population Reference Bureau ) ， USA Today [ 今日 美国 ] ） 。

Install Install | w_freq: 21 - 3 | wiki_freq: 182 - 12 | sentence_idx: 665691 | align_1: 1-1 | align_2: 2-8 | ner_entity: Zero Install-none |    Zero Install , another similar project ||| Zero Install （ 英语 ： Zero Install ） ， 另 一个 类似 的 项目

Aragorn 韶 | w_freq: 25 - 4 | wiki_freq: 963 - 179 | sentence_idx: 666176 | align_1: 43-258 | align_2: 44-271 | ner_entity: Aragorn-none |    '' ' ' ' [ [ The Lord of the Rings : Aragorn 's Quest ] ] '' ' ' ' is a third-person , action adventure video game in which the player fights through [ [ Middle-earth ] ] as [ [ Aragorn ] ] . ||| 极速 快三 的 龙 有 多 长 , （ 铁 ） （ 虎 ） （ 看 ） （ 向 ） （ 东 ） （ 门 ） （ 兔 ） （ ， ） （ 兔 ） （ 儿 ） （ 瞪 ） （ 眼 ） （ ： ） （ 你 ） （ 看 ） （ 我 ） （ 干 ） （ 什 ） （ 么 ） （ ？ ） （ 最 ） （ 后 ） （ 张 ） （ 韶 ） （ 菡 ） （ 赚 ） （ 的 ） （ 大 ） （ 部 ） （ 分 ） （ 钱 ） （ ， ） （ 都 ） （ 给 ） （ 父 ） （ 母 ） （ 填 ） （ 了 ） （ 窟 ） （ 窿 ） （ ， ） （ 等 ） （ 她 ） （ 实 ） （ 在 ） （ 支 ） （ 撑 ） （ 不 ） （ 住 ） （ ， ） （ 再 ） （ 不 ） （ 给 ） （ 的 ） （ 时 ） （ 候 ） （ ， ） （ 她 ） （ 妈 ） （ 妈 ） （ 真 ） （ 的 ） （ 把 ） （ 她 ） （ 告 ） （ 上 ） （ 了 ） （ 法 ） （ 庭 ） （ ， ） （ 让 ） （ 她 ） （ 名 ） （ 誉 ） （ 扫 ） （ 地 ） （ ， ） （ 直 ） （ 接 ） （ 摧 ） （ 毁 ） （ 了 ） （ 张 ） （ 韶 ） （ 菡 ） （ 的 ） （ 事 ） （ 业 ） （ 。

Samay Samay | w_freq: 3 - 6 | wiki_freq: 299 - 0 | sentence_idx: 670004 | align_1: 4-5 | align_2: 5-12 | ner_entity: Soluna Samay-none |    13 Denmark English Soluna Samay " Should 've Known Better " — 9 63 ||| 13 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 9 63

AAPL AAPL | w_freq: 6 - 4 | wiki_freq: 71 - 3 | sentence_idx: 671339 | align_1: 5-4 | align_2: 6-8 | ner_entity: AAPL-AAPL - Get Report |    Next week , Apple ( AAPL ) plans to roll out some new products for the world to see . ||| 下周 ， Apple （ AAPL - Get Report ） 计划 推出 一些 新 产品 供全 世界 观看 。

STACEY 斯泰西 | w_freq: 1 - 14 | wiki_freq: 3 - 31 | sentence_idx: 672247 | align_1: 0-1 | align_2: 1-6 | ner_entity: none-斯泰西 |    STACEY : " We were working together and some people were talking about things to do . ||| ” 斯泰西 （ Stacey ） 说 ： “ 我们 一起 工作 ， 有些 人 在 谈论 要 做 的 事情 。

Elbethel 伊勒伯特利 | w_freq: 1 - 1 | wiki_freq: 0 - 1 | sentence_idx: 676043 | align_1: 14-20 | align_2: 15-29 | ner_entity: Elbethel-伊勒伯特利 |    Gen 35:7 - And he built there an altar , and called the place Elbethel : because there God appeared unto him , when he fled from the face of his brother . ||| 经文 : 创 世纪 35:7 他 在 那里 筑 了 一 座 坛 ， 就 给 那 地方 起名 叫 伊勒伯特利 （ 就是 伯特利 之 神 的 意思 ） ； 因为 他 逃避 他 哥哥 的 时候 ， 神 在 那里 向 他 显现 。

guarderia guarderia | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 683275 | align_1: 6-5 | align_2: 7-9 | ner_entity: none-guarderia |    The first stage is nursery school guarderia , which takes children from around three months up to three years old , but it is not covered by the state . ||| 第一 阶段 是 托儿所 （ guarderia ）   ， 它 带 孩子 从 大约 三 个 月 到 三 岁   ， 但 它 不 属于 国家   。

Sadhguru Sadhguru | w_freq: 17 - 11 | wiki_freq: 43 - 0 | sentence_idx: 685201 | align_1: 0-0 | align_2: 1-4 | ner_entity: Sadhguru-none |    Sadhguru : The cleanliness of your hands is entirely in your hands . ||| Sadhguru （ 萨古鲁 ） : 你 的 手 的 清洁 完全 掌握 在 你 的 手 中 。

VMWare VM | w_freq: 3 - 25 | wiki_freq: 92 - 147 | sentence_idx: 687279 | align_1: 0-1 | align_2: 1-10 | ner_entity: VMWare Workstation-none |    VMWare Workstation : This virtual machine appears to be in use . ||| 重开 VM （ 虚拟机 ） 的 时候 ， 出现 以下 画面 ： This virtual machine appears to be in use .

AppleTalk CreateFontIndirect | w_freq: 2 - 2 | wiki_freq: 291 - 0 | sentence_idx: 691398 | align_1: 0-0 | align_2: 1-6 | ner_entity: AppleTalk-none |    AppleTalk Setup ( ||| CreateFontIndirect 的 定义 如下 ：   HFONT CreateFontIndirect (

TrueDialog TrueDialog | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 695878 | align_1: 7-5 | align_2: 8-10 | ner_entity: TrueDialog-none |    Two days later , it spoke with TrueDialog to report its findings while also offering to help it in the aftermath of the discovery . ||| 两 天后 ， 它 与 TrueDialog 进行 了 交谈 ， 以 汇报 其 发现 ， 同时 还 提供 发现 后 的 帮助 。

Northup Northup | w_freq: 2 - 4 | wiki_freq: 792 - 3 | sentence_idx: 698258 | align_1: 1-1 | align_2: 2-8 | ner_entity: Harry Northup-Harry Northup |    Harry Northup as Joe & Jim 's Bartender ||| Harry Northup （ 英语 ： Harry Northup ） 饰 Joe & Jim's bartender

Hizballah Asura | w_freq: 5 - 3 | wiki_freq: 107 - 9 | sentence_idx: 703706 | align_1: 9-9 | align_2: 10-18 | ner_entity: Hizballah-none |    Eight out of ten Shi’a reject the disarming of Hizballah . ||| “ 八 神 将 ” 之一 的 阿修罗 （ Asura ） 被 诬蔑 成 凶手    。

GOODWIN 凯尔·古德温 | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 710532 | align_1: 1-0 | align_2: 2-5 | ner_entity: KYLE GOODWIN-凯尔·古德温 |    KYLE GOODWIN wants his stuff back . ||| 凯尔·古德温 （ Kyle Goodwin ） 想 拿回 自己 的 东西 。

RTDA RTDA | w_freq: 1 - 1 | wiki_freq: 2 - 1 | sentence_idx: 729365 | align_1: 0-0 | align_2: 1-9 | ner_entity: RTDA-none |    RTDA ( " read the damn article " ) ||| RTDA ： “ 去 看 该死 的 文章 ” ( " Read The Damn Article " ) 。

EHIC EHIC | w_freq: 3 - 3 | wiki_freq: 35 - 0 | sentence_idx: 737877 | align_1: 2-1 | align_2: 3-5 | ner_entity: EHIC-none |    Without an EHIC you wo n’t be turned away from a hospital , but you will have to pay for any treatment you receive and should therefore get an official receipt , a necessary preamble to the long-winded process of trying to get at least some of the money back . ||| 没有 EHIC   ， 你 就 不 会 被 医院 拒之门外    ， 但是   ， 您 必须 支付 您 所 接受 的 任何 治疗   ， 并 因此 应 获得 正式 收据  ， 这是 试图 收回 至少 一部分 资金 的 漫长 过程 的 必要 序言   。

mansabdar 曼萨卜达尔 | w_freq: 1 - 1 | wiki_freq: 73 - 1 | sentence_idx: 750240 | align_1: 1-1 | align_2: 2-6 | ner_entity: none-曼萨卜达尔 |    Each mansabdar was required to maintain a certain number of cavalrymen and twice that number of horses . ||| 每个 曼萨卜达尔 （ 骑兵 指挥官 ） 被 要求 保持 一定 数量 的 骑兵 和 两 倍 数量 的 马 。

Samay Samay | w_freq: 3 - 6 | wiki_freq: 299 - 0 | sentence_idx: 751346 | align_1: 3-4 | align_2: 4-11 | ner_entity: Soluna Samay-none |    Denmark English Soluna Samay " Should 've Known Better " — 9 63 ||| 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 9 63

Sadhguru Sadhguru | w_freq: 17 - 11 | wiki_freq: 43 - 0 | sentence_idx: 753621 | align_1: 0-0 | align_2: 1-4 | ner_entity: Sadhguru-none |    Sadhguru : When we were children my mother was a fulltime housewife . ||| Sadhguru （ 萨古鲁 ） : 当 我们 还是 孩子 的 时候 ， 我 的 母亲 是 一个 全职 家庭 主妇 。

Ecosystems Ecosystems | w_freq: 14 - 2 | wiki_freq: 814 - 3 | sentence_idx: 762867 | align_1: 3-5 | align_2: 4-14 | ner_entity: Ecosystems-none |    Agile Software Development Ecosystems by Jim Highsmith ||| 《 Agile Soft ware Development Ecosystems 》 （ 敏捷 软件 开发 生态 系统 ） by Jim Highsmith

Abbing Abbing | w_freq: 2 - 2 | wiki_freq: 9 - 0 | sentence_idx: 768798 | align_1: 1-5 | align_2: 2-16 | ner_entity: Hans Abbing-none |    Hans Abbing Why Are Artists Poor ? ||| 荷兰 艺术家 兼 社会学家 Hans Abbing ， 曾经 写 了 一 本 畅销书 ， 题 为 Why are Artists poor ?

Eyal Eyal | w_freq: 3 - 3 | wiki_freq: 838 - 6 | sentence_idx: 774351 | align_1: 2-3 | align_2: 3-7 | ner_entity: Eyal-none |    According to Eyal , he has shaken NATO to the core . ||| 根据 艾亚尔 （ Eyal ） 的 说法 ， 他 已 将 北约 动摇 至 核心 。

XC40 XC40 | w_freq: 6 - 6 | wiki_freq: 67 - 16 | sentence_idx: 777552 | align_1: 10-3 | align_2: 11-8 | ner_entity: Cray XC40-none |    That ’s over ten times more than its current Cray XC40 cost , but it will deliver more timely and accurate forecasts . ||| 这是 目前 Cray XC40 （ 超算 系统 ） 成本 的 十 倍 以上 ， 但 它 将 提供 更 及时 和 准确 的 预测 。

Bezos Bezos | w_freq: 75 - 40 | wiki_freq: 989 - 10 | sentence_idx: 778888 | align_1: 7-6 | align_2: 8-10 | ner_entity: Jeff Bezos-Jeff Bezos |    That 's not absolutely necessary ( Jeff Bezos could n't ) but it 's an advantage . ||| 这 并非 绝对 必要 （ Jeff Bezos （ 杰弗里·贝索斯 ） 就 做 不 到 ） ， 但 这是 一 种 优势 。

Avalanches Avalanches | w_freq: 1 - 2 | wiki_freq: 374 - 1 | sentence_idx: 780709 | align_1: 1-1 | align_2: 2-8 | ner_entity: The Avalanches-none |    The Avalanches — " Since I Left You " ||| The Avalanches （ 英语 ： The Avalanches ） — 《 Since I Left You 》

MAHAVIR 马哈维亚 | w_freq: 1 - 3 | wiki_freq: 0 - 0 | sentence_idx: 786679 | align_1: 3-2 | align_2: 4-7 | ner_entity: MAHAVIR-马哈维亚 |    I SPEAK ON MAHAVIR as a part of my duty -- my heart is never with him . ||| 我 谈论 马哈维亚 ， 我 把 这 当作 我 的 责任 的 一部分 ---- 我 的 心 从来 不和 他 在一起 。

chametz chametz | w_freq: 2 - 3 | wiki_freq: 165 - 0 | sentence_idx: 788291 | align_1: 8-9 | align_2: 9-14 | ner_entity: none-chametz |    On all other nights , we may eat chametz and matzah . ||| 对 所有 其他 夜 ， 我们 可能 会 吃 chametz 和 matzah ， chametz 和 matzah 。

Peers.inc Peers.inc | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 797335 | align_1: 14-16 | align_2: 15-22 | ner_entity: Peers.inc-none |    However , as my colleague and friend Robin Chase wrote in her 2015 book Peers.inc : “ we need to create new social mechanisms to spread out the gains of the new platform economics ” to all parts of society . ||| 然而 ， 正如 我 同事 及 朋友 Robin Chase 在 她 的 2015年 的 著作 《 Peers.inc 》 所 写 的 那样 ： “ 我们 需要 不断 创造 新 的 社会 机制 ， 把 新 平台 的 经济 成果 推广 到 全 社会 ” 。

Königssee LakeKönigssee | w_freq: 1 - 1 | wiki_freq: 305 - 0 | sentence_idx: 799458 | align_1: 7-8 | align_2: 8-13 | ner_entity: Lake Königssee-none |    For those who ’ve already visited Lake Königssee , it ’s no wonder that it ’s often referred to as Germany ’s most beautiful alpine lake . ||| 对于 那些 已经 去 过 国王 湖 （ LakeKönigssee ） 的 人 来说 ， 难怪 它 通常 被 称为 德国 最 美丽 的 高山 湖泊 。

Hufflepuff—because 赫奇帕夫 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 801061 | align_1: 4-4 | align_2: 5-9 | ner_entity: Hufflepuff—because-赫奇帕夫 |    “ When you smell Hufflepuff—because their house was near the kitchens—it ’s like cookies , gingerbread , and warm happiness . ” ||| “ 当 你 闻到 赫奇帕夫 的 味道 - 因为 他们 的 房子 靠近 厨房 - 它 就 像 饼干 ， 姜饼 ， 还有 温暖 的 幸福 。

FITZGERALD 菲兹杰拉德 | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 819691 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-菲兹杰拉德 ( Fitzgerald |    FITZGERALD : The rich are different from us . ||| 菲兹杰拉德 ( Fitzgerald ) : 富人 不同 于 我们 .

careertrack.com ​careertrack.com | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 822415 | align_1: 2-1 | align_2: 3-9 | ner_entity: none-​careertrack.com |    According to careertrack.com the best rated job in 2011 is Software Engineer , at least in the US . ||| 根据 ​careertrack.com 的 调查 结果 ​ ， 2011年 ​ 的 最佳 职业 是 软件 工程师 ​ （ 至少 在 美国 是 这样 ​ ） 。

Sah-Him xíng | w_freq: 1 - 1 | wiki_freq: 2 - 6 | sentence_idx: 834295 | align_1: 4-9 | align_2: 5-18 | ner_entity: Sah-Him-none |    Your name is Al Sah-Him and you are Warith al Ghul ! " ||| “ 你 的 名字 叫 赵 之 行 （ xíng ） ？ ” “ 行 （ háng ） ， 赵 之 行 （ háng ） 。

Morya 惟圣 | w_freq: 1 - 53 | wiki_freq: 206 - 5 | sentence_idx: 837994 | align_1: 25-12 | align_2: 26-20 | ner_entity: El Morya-none |    The Lord ( or , as they would say in the East , the Chohan ) of the first Ray is the Ascended Master El Morya . ||| 君子 之 道 ， 焉 可 诬 也 ？ 有始有卒者 ， 其 惟圣 人乎 ！ ” ， 13.14 冉子 退朝 。

Da'sh Da'sh | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 846726 | align_1: 9-8 | align_2: 10-12 | ner_entity: Da'sh-none |    So , let 's not worry how to translate Da'sh and concentrate our efforts instead on ridding the world of this barbaric menace . ||| 因此 ， 让 我们 不要 担心 如何 翻译 Da'sh 这个 词 ， 而 需要 将 我们 的 努力 集中 在 摆脱 这个 野蛮 的 威胁 上 。

Wolfed Wolfed | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 848141 | align_1: 10-8 | align_2: 11-16 | ner_entity: Wolfed-none |    MJ : I have n't read the script yet for Wolfed – it 's one of the movies that we 're going to be making and I 'm really excited about it . ||| MJ ： 我 还 没有 读 过 《 Wolfed （ 狼人 ） 》 的 剧本 呢 -- 它 是 我们 打算 作 的 一 部 电影 ， 我 很 兴奋 。

salooooooo7y salooooooo7y | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 852068 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-salooooooo7y |    salooooooo7y : God be with you , and help you beat your rotten enemies . ||| salooooooo7y [ 5 ] ： 愿神 与 你们 同 在 ， 助 你们 打倒 腐败 的 敌人 。

Nisham Nisham | w_freq: 1 - 1 | wiki_freq: 29 - 0 | sentence_idx: 853032 | align_1: 1-1 | align_2: 2-5 | ner_entity: Mohammed Nisham-Nisham |    Mohammed Nisham : Millionaire accused of murdering security guard because he was too slow opening his front gate ||| 穆罕默德·尼沙姆（Mohammed Nisham ）   ： 百万 富翁 被 指控 谋杀 了 保安   ， 因为 他 打开 前门 的 速度 太 慢 了

TruckersMP TruckersMP | w_freq: 5 - 5 | wiki_freq: 6 - 15 | sentence_idx: 854238 | align_1: 7-7 | align_2: 8-11 | ner_entity: TruckersMP-none |    2016 I heard the first time about TruckersMP as some of my friends asked me to drive some trips together . ||| 2016年 ， 我 第一 次 听到 有关 TruckersMP 的 信息 ， 因为 我 的 一些 朋友 要求 我 一起 开车 旅行 。

Apletaeva Apletaeva | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 864323 | align_1: 6-7 | align_2: 7-11 | ner_entity: Marina Apletaeva-none |    According to allergist and immunologist Marina Apletaeva , the vaccine that scientists are working on will be safe to use . ||| 据 过敏学家 和 免疫学家 玛丽娜·阿普列塔耶娃 （ Marina Apletaeva ） 所 说 ， 科学家 正在 研制 的 疫苗 可以 安全 使用 。

Fryman(One Fryman | w_freq: 1 - 1 | wiki_freq: 0 - 7 | sentence_idx: 864357 | align_1: 4-5 | align_2: 5-15 | ner_entity: Pamela Fryman(One-Pamela Fryman |    Directing will be Pamela Fryman(One Day at a Time , How I Met Your Mother ) . ||| 导演 ： 潘米拉·弗莱曼 ( Pamela Fryman ) （ 《 踏实 新 人生 》 ( One Day at a Time ) 、 《 追爱 总动员 》 ( How I Met Your Mother ) ）

MIMO MIMO | w_freq: 4 - 6 | wiki_freq: 686 - 95 | sentence_idx: 867330 | align_1: 1-1 | align_2: 2-6 | ner_entity: MIMO-none |    Massive MIMO technology and 5 G communications are often mentioned in the same sentence . ||| 大规模 MIMO ( Massive MIMO ) 技术 和 5G 通信 通常 在 同 一句话 中 提及 。

Bakhtin Bakhtin | w_freq: 1 - 1 | wiki_freq: 640 - 2 | sentence_idx: 875589 | align_1: 10-10 | align_2: 11-16 | ner_entity: Mikhail Bakhtin-none |    The sanest voice in the room is that of Mikhail Bakhtin remarking that all cultural understanding necessarily involves dialogue because all of us have blind spots and need the other to show us what can be found in them . ||| 房间 里 最 健全 的 声音 是 米哈伊尔·巴赫金 （ Mikhail Bakhtin ） 的 声音 ， 他 说 ， 所有 的 文化 理解 都 必须 涉及 对话 ， 因为 我们 所有人 都 有 盲点 ， 需要 另 一个 盲点 来 向 我们 展示 在 这些 盲点 中 能 找到 什么 。

ADVERTISING ISING | w_freq: 1 - 1 | wiki_freq: 11 - 8 | sentence_idx: 880063 | align_1: 7-6 | align_2: 8-11 | ner_entity: none-MY LIFE IN ADVERT ISING |    In the book , MY LIFE IN ADVERTISING , Claude Hopkins says , “ If a thing is useful they call it work , if useless they call it play . ||| 在 《 MY LIFE IN ADVERT ISING 》 一 书 中 ， Claude Hopkins 这样 写道 ： “ 一 件 事 如果 有用 ， 人们 就 把 它 称为 工作 ， 一 件 事 如果 没用 ， 人们 就 把 它 称为 游戏 。

EUSS EUSS | w_freq: 2 - 2 | wiki_freq: 7 - 0 | sentence_idx: 881062 | align_1: 13-10 | align_2: 14-15 | ner_entity: EUSS-none |    “ The focus should be on offering reassurances and avoiding misconceptions about the EUSS and on ensuring that EU Member States step up and provide a similar level of reassurance for UK nationals . ” ||| “ 重点 应该 放 在 提供 保证 和 避免 对 EUSS 的 误解 上 ， 并 确保 欧盟 成员国 加紧 为 英国 国民 提供 类似 水平 的 保证 。

Blankfein Blankfein | w_freq: 2 - 2 | wiki_freq: 132 - 1 | sentence_idx: 881836 | align_1: 2-2 | align_2: 3-7 | ner_entity: Blankfein-none |    Instead , Blankfein likes the idea of a currency backed by consensus . ||| 反之 ， Blankfein 表示 ， 自己 很 喜欢 一 种 由 共识 支撑 的 货币 概念 。

Deeloo deeloo | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 884479 | align_1: 24-24 | align_2: 25-32 | ner_entity: Deeloo-none |    “ I have learned that helping people save money or make money is the best thing I can do for them , ” said Deeloo , who moved to the United States with his mother and two sisters in 2009 before his father came to join them a year later . ||| “ 据 我 了解 ， 帮助 人们 省钱 或 赚钱 的 是 我 能 为 他们 做 的 最好 的 事情 ， ” 说 deeloo ， 谁 动 了 他 的 母亲 ， 并 在 2009年 两 个 姐妹 在 美国 之前 ， 他 的 父亲 来到 一 年后 加入 他们 的 行列 。

Renoviso Renoviso | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 885451 | align_1: 5-3 | align_2: 6-9 | ner_entity: Renoviso-none |    And companies like Casper or Renoviso enable purchases that may not happen very often , but are products that you will interact with every single day in your home . ||| 像 Casper 或 Renoviso 这样 的 公司 ， 可以 让 那些 可能 不 会 经常 发生 的 购买 行为 发生 ， 但是 这些 产品 是 你 每天 都 可以 在 家里 进行 互动 的 产品 。

PAUL 保罗·马纳福特 | w_freq: 3 - 2 | wiki_freq: 77 - 5 | sentence_idx: 891001 | align_1: 3-3 | align_2: 4-9 | ner_entity: none-保罗·马纳福特 |    THE CLINIC PERMITTED PAUL MANAFORT one 10-minute call each day . ||| 诊疗 所 允许 保罗·马纳福特 （ Paul Manafort ） 每天 打 十 分钟 的 电话 。

Parfumeur Parfumeur | w_freq: 1 - 2 | wiki_freq: 30 - 0 | sentence_idx: 891347 | align_1: 13-28 | align_2: 13-43 | ner_entity: Parfumeur-none |    The Diary of a Nose : A Year in the Life of a Parfumeur ||| 作品 ： 调香师 日记 : 爱马仕 香水 大师 艾连纳 的 创作 生活 与 哲学 、 The Diary of a Nose : A Year in the Life of a Parfumeur 、 The Diary of a Nose : A Year in the Life of a Parfumeur

ICMS ICMS | w_freq: 2 - 2 | wiki_freq: 70 - 3 | sentence_idx: 897901 | align_1: 1-1 | align_2: 2-5 | ner_entity: ICMS-none |    At ICMS you will experience our next generation education . ||| 在 ICMS 学习 期间 ， 你 将 体验 我们 的 “ 新一代 教育 ” 。

AK-47s AK-47 | w_freq: 3 - 13 | wiki_freq: 449 - 194 | sentence_idx: 898090 | align_1: 16-14 | align_2: 17-19 | ner_entity: AK-47s-AK-47 |    It is unusual . and no one in this country , including owners of AR-15s and AK-47s think that what is happening right now is okay . ” ||| 他 说 ： “ 在 这个 国家 ， 没有 人 ， 包括 AR-15 和 AK-47 的 拥有者 ， 都 认为 现在 正在 发生 的 事情 是 可以 的 。

Unlock Unlock | w_freq: 10 - 3 | wiki_freq: 315 - 9 | sentence_idx: 899587 | align_1: 3-2 | align_2: 4-7 | ner_entity: Unlock-none |    U is for Unlock : " I did n't know this team could do this ! " ||| U 即 Unlock （ 释放 潜能 ） ： “ 我 没 想到 这 团队 还 能 办到 这些 ！ ”

Scene- Scene | w_freq: 2 - 13 | wiki_freq: 0 - 127 | sentence_idx: 901036 | align_1: 2-2 | align_2: 3-13 | ner_entity: Broken Social Scene--none |    Broken Social Scene- You Forgot It in People ||| Broken Social Scene 的 店 内 演出 ， 那时 ， 他们 刚 发行 You Forgot It In People 。

Andreasen 纳塔莉·德希 | w_freq: 2 - 2 | wiki_freq: 441 - 9 | sentence_idx: 915382 | align_1: 4-3 | align_2: 5-8 | ner_entity: Heidi Andreasen-纳塔莉·德希 |    NED Wheelchair tennis Heidi Andreasen ( ||| 2007 美网 硬地 纳塔莉·德希 ( Nathalie Dechy ) (

tudayyi'i'l-thawb 安拉降下 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 919185 | align_1: 11-6 | align_2: 12-12 | ner_entity: none-安拉降下 |    And , moreover , the Apostle said to A'isha : La tudayyi'i'l-thawb hatta turaqqi'ihi . ||| 安拉 的 使者 说 ： “ 安拉降下 一 种 病 ， 就 降下 与 之 匹配 的 药物 ” 。

6A. 6A | w_freq: 1 - 7 | wiki_freq: 134 - 80 | sentence_idx: 920133 | align_1: 10-10 | align_2: 10-17 | ner_entity: none-Level 6A |    ( Please park your car at Red Zone , Level 6A. ||| （ 请 将 车 停泊 于 Red Zone , Level 6A , 我们 就 靠近 粉红色 墙处 )

