Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?
Varkiza Varkiza | w_freq: 2 - 4 | wiki_freq: 95 - 39 | sentence_idx: 444943 | align_1: 11-10 | align_2: 12-16 | ner_entity: Treaty of Varkiza-Treaty of Varkiza |    In February 1945 the various Greek parties signed the Treaty of Varkiza , with the support of all the Allies . ||| Im Februar 1945 , unterzeichneten verschiedene griechische Parteien Treaty of Varkiza ( Treaty of Varkiza ) , mit Unterstützung alle Verbündete .

CCUs CCUs | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 450036 | align_1: 17-17 | align_2: 18-24 | ner_entity: none-CCUs |    “ Will the Hulls ( or at least the Hull A ) be flying in AC before CCUs or whatever they ’re turning into in the future goes away forever ? ” – Valensiakol ||| “ Werden die Hulls ( oder zumindest die Hull A ) im AC fliegen , bevor die CCUs ( cross Chassis Upgrades ) , oder in was sie sich in Zukunft verwandeln werden , für immer verschwinden ? ” – Valensiakol

Quran Sure | w_freq: 183 - 57 | wiki_freq: 13254 - 2997 | sentence_idx: 451449 | align_1: 1-0 | align_2: 2-5 | ner_entity: Quran-none |    [ Quran 81.15 - 16 ] I swear by those that are invisible ( Khunnas خنس ) , that move , that sweep . ||| Sure 81(die Rundung ) Verse ( 15 ): Ich ( Allah ) schwöre bei den Rücklaufenden Sternen .

As'ad Dibenz | w_freq: 2 - 1 | wiki_freq: 305 - 6 | sentence_idx: 453030 | align_1: 1-2 | align_2: 2-8 | ner_entity: As'ad al-Azzouni-none |    by As'ad al-Azzouni ||| Synthese eines Dibenz [ e , h ] azulens

heralds Pharao | w_freq: 7 - 332 | wiki_freq: 1009 - 2745 | sentence_idx: 454580 | align_1: 4-3 | align_2: 5-14 | ner_entity: none-Pharao |    26:53 Then Pharaoh sent heralds to ( all ) the Cities , ||| 26:53 Da sandte Pharao ( Boten ) aus , die ( die Leute ) in den Städten versammelten ( und ihnen zuriefen )

Marxist Marxist | w_freq: 118 - 20 | wiki_freq: 14902 - 416 | sentence_idx: 454933 | align_1: 8-8 | align_2: 9-12 | ner_entity: Marxist-Marxist |    He also worked for Il Contemporaneo , a Marxist weekly . ||| Er arbeitete auch für Il Contemporaneo , ein Marxist ( Marxismus ) wöchentlich .

GOD Ochse | w_freq: 74 - 7 | wiki_freq: 576 - 537 | sentence_idx: 462881 | align_1: 14-8 | align_2: 15-12 | ner_entity: none-Ochse |    Thus in effect , Aaron was the mouth of Moses , and Moses was GOD to Aaron . ||| Moses ist Levi , und Moses ist der Ochse , der sich mit ihnen verbunden hatte .

Chulin Chulin | w_freq: 2 - 2 | wiki_freq: 52 - 3 | sentence_idx: 463183 | align_1: 4-4 | align_2: 5-8 | ner_entity: Chulin 4a-Chulin |    For example , in Chulin 4a , he comments about a phrase , " We do not read this . ||| Zum Beispiel , in Chulin ( Kodashim ) 4a , kommentiert er über einen Ausdruck , " Wir lesen das nicht .

Quran Qur | w_freq: 183 - 81 | wiki_freq: 13254 - 33 | sentence_idx: 463487 | align_1: 14-15 | align_2: 15-20 | ner_entity: Quran-Qur ’ an |    25:30 The messenger said , “ My Lord , my people have deserted this Quran . ||| 25:30. Und der Gesandte sagt : „ O mein Herr , mein Volk mied diesen Qur ’ an unter Missachtung . “

Handbook Handbook | w_freq: 33 - 12 | wiki_freq: 11446 - 1023 | sentence_idx: 466711 | align_1: 14-12 | align_2: 15-17 | ner_entity: Family Business Governance Handbook-Family Business Governance Handbook |    You will find more information about family governance in IFC 's Family Business Governance Handbook and in the 2012 Family Governance Report : Sources and Outcomes of Family Conflict of The Wharton Family Alliance . ||| Mehr Informationen zur Family Governance finden Sie im IFC Family Business Governance Handbook ( in EN ) und im Family Governance Report 2012 : Sources and Outcomes of Family Conflics von The Wharton Family Alliance .

PS5 PS5 | w_freq: 8 - 6 | wiki_freq: 148 - 20 | sentence_idx: 466815 | align_1: 19-19 | align_2: 20-24 | ner_entity: PS5-PS5 |    The PS4 was revealed during a special event in February 2013 , and a similar approach to announce the PS5 would make sense . ||| Die PS4 wurde enthüllt während einer besonderen Veranstaltung im Februar 2013 , und eine ähnliche Vorgehensweise , um die PS5 bekannt zu geben , würde Sinn machen .

eTA eTA | w_freq: 11 - 10 | wiki_freq: 48 - 7 | sentence_idx: 470500 | align_1: 31-28 | align_2: 32-33 | ner_entity: eTA-eTA |    Secondly , you can not leave the country if you were diagnosed with tuberculosis and finally , it 's your obligation to be aware of what the Australian tourist visa or eTA permits you to do in Australia . ||| Zweitens können Sie das Land nicht verlassen , wenn Sie mit Tuberkulose diagnostiziert wurden und schließlich ist es Ihre Verantwortung zu wissen , was das Touristenvisum Australien oder eTA ( ESTA ) Ihnen erlaubt , in Australien zu tun .

402 402 | w_freq: 10 - 8 | wiki_freq: 3530 - 1784 | sentence_idx: 474497 | align_1: 12-12 | align_2: 13-17 | ner_entity: Dayton Audio MK 402-402 |    Having introduced you to its smaller brethren , the Dayton Audio MK 402 , it is only fair to include the MK 442 in the list . ||| Nachdem Sie Sie mit den kleineren Brüdern , dem Dayton Audio MK 402 , vertraut gemacht haben , ist es nur fair , den MK 442 in die Liste aufzunehmen .

TGA TGA | w_freq: 3 - 3 | wiki_freq: 593 - 155 | sentence_idx: 475223 | align_1: 9-7 | align_2: 10-13 | ner_entity: TGA-TGA |    We were looking for a realistic presentation ( for TGA ) , so we had to make changes to the tools and other adjustments to the engine . ||| Wir strebten eine realistische Präsentation ( für TGA [ The Game Awards ] ) an , also mussten wir einige Änderungen an den Tools und Anpassungen an der Engine vornehmen .

d’Or d'Or | w_freq: 6 - 4 | wiki_freq: 405 - 491 | sentence_idx: 476809 | align_1: 6-6 | align_2: 7-13 | ner_entity: Ballon d’Or-Ballon d'Or |    We are talking about the Ballon d’Or as if we were talking about politics . ||| Sprechen wir heute über den Ballon d'Or , dann ist es so , als würden wir über Politik sprechen .

PSL PSL | w_freq: 6 - 6 | wiki_freq: 2656 - 550 | sentence_idx: 477094 | align_1: 6-7 | align_2: 7-11 | ner_entity: PSL-none |    So my advice : Choose the PSL you like best ( whether it ’s from DD or Mickey D ’s ) and enjoy it as an occasional treat . ||| Also mein Rat : Wählen Sie die PSL , die Sie am besten gefällt ( ob it's aus DD oder Mickey D's ) und genießen Sie es als eine gelegentliche behandeln .

Unicode Unicode | w_freq: 13 - 13 | wiki_freq: 8526 - 1604 | sentence_idx: 479104 | align_1: 21-17 | align_2: 22-23 | ner_entity: Unicode-Unicode |    It is extremely difficult to render the full Qur’an , with all the points , in computer code , such as Unicode . ||| Es ist äußerst schwierig , den vollen Quran , mit allen Punkten , im Computercode , wie Unicode ( Unicode ) zu machen .

B5 LG | w_freq: 18 - 45 | wiki_freq: 1183 - 2764 | sentence_idx: 482211 | align_1: 0-0 | align_2: 1-7 | ner_entity: none-LG München I |    B5 - 0723 , 0729 and 0730/2001 ||| LG München I , Entscheidung vom 20.10.2009 - 27 O 7314 / 09 -

Euro-state Euro-Staat | w_freq: 1 - 1 | wiki_freq: 0 - 2 | sentence_idx: 486303 | align_1: 5-4 | align_2: 6-9 | ner_entity: Euro-state-none |    Your obsession with creating this Euro-state means that you ’re happy to destroy democracy . ||| Ihre Besessenheit , diesen Euro-Staat schaffen zu wollen , bedeutet , dass Sie glücklich darüber sind , Demokratie zu zerstören .

Amu Amu | w_freq: 2 - 2 | wiki_freq: 1184 - 164 | sentence_idx: 487377 | align_1: 4-4 | align_2: 5-8 | ner_entity: Amu-none |    There are only five Amu then circling round ? ||| Es gibt nur fünf Amu , die sich dann umkreisen ?

Colosseum Kolosseum | w_freq: 24 - 23 | wiki_freq: 2094 - 424 | sentence_idx: 493709 | align_1: 6-5 | align_2: 7-10 | ner_entity: Colosseum-Kolosseum |    You have n't truly seen the Colosseum unless you 've explored the tunnels beneath the amphitheatre . ||| Sie haben nicht wirklich das Kolosseum gesehen , es sei denn , Sie die Tunnel unterhalb des Amphitheaters erkundet haben .

Baal Ba | w_freq: 42 - 14 | wiki_freq: 2281 - 1711 | sentence_idx: 494635 | align_1: 6-3 | align_2: 7-11 | ner_entity: Baal-Ba |    037.125 " Will ye call upon Baal and forsake the Best of Creators,- ||| 37:125 Wollt ihr Ba ’ l ( euren Götzen ) anrufen und den besten Schöpfer verlassen ,

Santander Santander | w_freq: 27 - 28 | wiki_freq: 6648 - 2355 | sentence_idx: 494800 | align_1: 4-3 | align_2: 5-8 | ner_entity: Carlos Fernández Santander-Carlos Fernández Santander |    According to Carlos Fernández Santander , at least 4,200 people were killed either extrajudicially or after summary trials . ||| Gemäß Carlos Fernández Santander ( Carlos Fernández Santander ) wurden mindestens 4.200 Menschen entweder außergerichtlich oder nach zusammenfassenden Proben getötet .

donepezil Donepezil | w_freq: 2 - 2 | wiki_freq: 74 - 35 | sentence_idx: 495005 | align_1: 8-12 | align_2: 9-19 | ner_entity: none-Donepezil |    ' We observed that patients who continued taking donepezil were better able to remember , understand , communicate and perform daily tasks for at least a year longer than those who stopped taking the drugs . ||| " Wir haben festgestellt , dass Patienten , die sich weiter mit Donepezil befanden , sich in der Lage waren , sich zu erinnern , zu verstehen , zu kommunizieren und tägliche Aufgaben für mindestens ein Jahr länger zu leisten , als diejenigen , die die Drogen nicht mehr aufgaben .

Scientists Scientists | w_freq: 262 - 20 | wiki_freq: 9644 - 469 | sentence_idx: 495344 | align_1: 4-4 | align_2: 5-10 | ner_entity: Federation of American Scientists-Federation of American Scientists |    The Federation of American Scientists , learn more about them here , here and here . ||| The Federation of American Scientists ( Vereinigung Amerikanischer Wissenschaftler ) – mehr über sie erfahrt hier , hier und hier .

Peleg Peleg | w_freq: 4 - 4 | wiki_freq: 472 - 99 | sentence_idx: 498085 | align_1: 8-3 | align_2: 9-9 | ner_entity: Peleg-Peleg |    The name of ha'echad , the one was Peleg , for in his days the earth was divided . ||| Der erste hieß Peleg - » Teilung « - , denn zu seinen Lebzeiten wurde das Land geteilt .

Win Win | w_freq: 105 - 29 | wiki_freq: 10035 - 912 | sentence_idx: 500854 | align_1: 3-4 | align_2: 4-9 | ner_entity: Ne Win-Ne Win |    During Gen. Ne Win ’s isolationist rule ( 1962–1988 ) , the city ’s infrastructure deteriorated . ||| Während des Generals Ne Win ( Ne Gewinn ) 's isolationistische Regel ( 1962 - 1988 ) verschlechterte sich die Infrastruktur der Stadt .

Danger Danger | w_freq: 31 - 10 | wiki_freq: 8300 - 965 | sentence_idx: 502016 | align_1: 10-8 | align_2: 11-14 | ner_entity: The Committee on the Present Danger-Committee on the Present Danger |    As a former member of The Committee on the Present Danger , I myself am a former Cold Warrior , and I know for a fact that Professor Cohen is correct . ||| Als ehemaliges Mitglied im Committee on the Present Danger ( Ausschusses für gegenwärtige Gefahren ) bin ich selbst ein ehemaliger Kalter Krieger , und ich weiß genau , dass Professor Cohen Recht hat .

WHO WHO | w_freq: 255 - 187 | wiki_freq: 13165 - 3801 | sentence_idx: 505861 | align_1: 10-10 | align_2: 11-16 | ner_entity: WHO-WHO |    This A(H1N1 ) pandemic is concocted and orchestrated by the WHO , and serves the same military , political and industrial interests as those of 1976 . ||| Das A ( H1N1)-Pandemie ist ausgedacht und inszeniert von der WHO ( World Health Organization ) , und dient dem gleichen militärischen , politischen und wirtschaftlichen Interessen wie die von 1976.

Marino Marino | w_freq: 25 - 23 | wiki_freq: 14196 - 5241 | sentence_idx: 508760 | align_1: 8-13 | align_2: 9-18 | ner_entity: San Marino-San Marino |    In some countries , like Switzerland and San Marino , the head of state is not a single person but a committee ( council ) of several persons holding that office . ||| In einigen Ländern , wie die Schweiz ( Die Schweiz ) und San Marino ( San Marino ) , ist das Staatsoberhaupt keine einzige Person , aber ein Komitee ( Rat ) von mehreren Personen , die dieses Büro halten .

Imran Glaubens | w_freq: 5 - 404 | wiki_freq: 4981 - 11034 | sentence_idx: 509912 | align_1: 10-7 | align_2: 11-12 | ner_entity: Imran-none |    ( He also heard ) when the woman of ' Imran said : ' O Lord ! ||| ( Damals ) als sie ( ihres Glaubens wegen verfolgt - ) sagte : Herr !

Pharaoh Pharaos | w_freq: 384 - 58 | wiki_freq: 5590 - 587 | sentence_idx: 510384 | align_1: 5-11 | align_2: 6-17 | ner_entity: Pharaoh-Pharaos |    26:11 “ The people of Pharaoh ; will they not fear God ? ” ||| Wollen sie denn nicht gottesfürchtig sein ? " " zum Volk Pharaos ( und frag sie ) , ob sie ( denn ) nicht gottesfürchtig sein wollen ! " " " " dem Volke Pharaos .

Al-Jawad Al-Jawad | w_freq: 1 - 1 | wiki_freq: 23 - 1 | sentence_idx: 511444 | align_1: 1-1 | align_2: 2-5 | ner_entity: Imam Al-Jawad-Imam Al-Jawad |    Imam Al-Jawad is the Representative of Allah ||| Imam Al-Jawad ( as ) ist der Repräsentant von Allah

Myrtha Myrtha | w_freq: 1 - 1 | wiki_freq: 61 - 27 | sentence_idx: 512558 | align_1: 9-10 | align_2: 10-16 | ner_entity: Myrtha-Myrtha |    But you are already a woman ... " says Myrtha approaching her and taking her by the hand . ||| Aber du bist ja schon eine Frau ... » sagt Myrtha , indem sie sich ihr nähert und sie bei der Hand nimmt .

Assagioli Assagioli | w_freq: 5 - 5 | wiki_freq: 91 - 37 | sentence_idx: 522228 | align_1: 13-12 | align_2: 14-20 | ner_entity: Roberto Assagioli-Roberto Assagioli |    * [ WEB The Will Project ] was a project proposed by Roberto Assagioli to explore all aspects and manifestations of the Will . ||| [ WEB war Das Wille-Projekt ] ein Projekt , das von Roberto Assagioli ( Roberto Assagioli ) vorgeschlagen ist , um alle Aspekte und Manifestationen des Willens zu erforschen .

Lola Lola | w_freq: 25 - 23 | wiki_freq: 10570 - 3879 | sentence_idx: 524200 | align_1: 9-9 | align_2: 10-13 | ner_entity: charlie And Lola-Charlie and Lola |    I Really Absolutely Must Have Glasses ( charlie And Lola ) ||| I Really Absolutely Must Have Glasses ( Charlie and Lola ( Deutsche Übersetzung )

Mom Mom | w_freq: 185 - 61 | wiki_freq: 4921 - 579 | sentence_idx: 531129 | align_1: 6-7 | align_2: 7-16 | ner_entity: Dear Future Mom-Dear Future Mom |    It ’s titled “ Dear Future Mom . ” ||| Es trägt den Titel „ Dear Future Mom “ ( „ Liebe zukünftige Mama “ ) .

Cantons Cantons | w_freq: 7 - 1 | wiki_freq: 1006 - 71 | sentence_idx: 536705 | align_1: 8-7 | align_2: 9-17 | ner_entity: Rojava Cantons-Constitution of the Rojava Cantons |    Article 41 of the Constitution of the Rojava Cantons clearly upholds property rights : ||| Artikel 41 der Constitution of the Rojava Cantons [ Verfassung der Kantone von Rojava ] bestätigt Eigentumsrechte eindeutig :

iPhone iPhone | w_freq: 468 - 375 | wiki_freq: 11135 - 2222 | sentence_idx: 537222 | align_1: 2-1 | align_2: 3-7 | ner_entity: iPhone-iPhone |    Having an iPhone helped , but it just was n’t the same . ” ||| Ein iPhone zu haben , hat zwar geholfen , aber es war einfach nicht das Gleiche . “

iPhone iPhone | w_freq: 468 - 375 | wiki_freq: 11135 - 2222 | sentence_idx: 537223 | align_1: 2-1 | align_2: 3-7 | ner_entity: iPhone-iPhone |    Having an iPhone helped , but it just was n't the same . " ||| Ein iPhone zu haben , hat zwar geholfen , aber es war einfach nicht das Gleiche . “

Summits Summits | w_freq: 12 - 8 | wiki_freq: 1354 - 305 | sentence_idx: 538650 | align_1: 5-5 | align_2: 6-13 | ner_entity: Volcanic Seven Summits-Seven Summits |    When climbing the Volcanic Seven Summits is concerned it is not difficult to find where to go ! ||| Beim Erklimmen der Vulkan Seven Summits [ Finden Sie die besten Link ] geht , ist nicht schwer zu finden , wohin sie gehen !

Tough liebe | w_freq: 25 - 2148 | wiki_freq: 3984 - 3557 | sentence_idx: 547857 | align_1: 5-2 | align_2: 6-7 | ner_entity: Love Must Be Tough-none |    The book Love Must Be Tough may be a good one for you to read . ||| Das buch liebe muss hart sein , kann eine gute für sie sein , um zu lesen .

d’Azur Azur | w_freq: 12 - 12 | wiki_freq: 129 - 3233 | sentence_idx: 551258 | align_1: 5-5 | align_2: 6-10 | ner_entity: Côte d’Azur-Côte d’ Azur |    Learning French on the Côte d’Azur means choosing to take time for life ||| Französisch an der Côte d’ Azur zu lernen , das bedeutet , sich Zeit zum Leben zu nehmen

Helpline Helpline | w_freq: 3 - 6 | wiki_freq: 476 - 19 | sentence_idx: 554148 | align_1: 12-12 | align_2: 13-17 | ner_entity: Homeopathic Helpline-Homeopathic Helpline |    I wanted to know what it was like working on the Homeopathic Helpline , which is such a valuable service . ||| Ich wollte wissen , was es bedeutete , für die ‘ Homeopathic Helpline ’ , zu arbeiten , die ein so wertvoller Service ist .

Bulfin Bulfin | w_freq: 1 - 2 | wiki_freq: 163 - 19 | sentence_idx: 558840 | align_1: 21-19 | align_2: 22-25 | ner_entity: William Bulfin-William Bulfin |    However , the game was not actively promoted until 1900 when it came to the attention of author and newspaperman William Bulfin . ||| Jedoch wurde das Spiel bis 1900 nicht aktiv gefördert , als es zur Aufmerksamkeit des Autors und Journalisten William Bulfin ( William Bulfin ) kam .

Celtics Celtics | w_freq: 10 - 10 | wiki_freq: 9750 - 1471 | sentence_idx: 567879 | align_1: 16-19 | align_2: 17-24 | ner_entity: Celtics-Celtics |    What Boston will do with point guard Rajon Rondo could be the biggest story regarding the Celtics from now through the winter months . ||| Was Boston mit dem Point Guard Rajon Rondo machen wird , könnte die größte Geschichte in Bezug auf die Celtics sein , die es von nun an bis in die Wintermonate gibt .

Sana'a Sana'a | w_freq: 1 - 4 | wiki_freq: 1764 - 49 | sentence_idx: 576915 | align_1: 13-14 | align_2: 14-21 | ner_entity: Sana'a-Sana'a |    The legal system includes separate commercial courts and a Supreme Court based in Sana'a . ||| Das Rechtssystem schließt getrennte kommerzielle Gerichte und ein Oberstes Gericht ein , das in Sana'a ( San'a ' ) basiert ist .

Pace Pace | w_freq: 9 - 18 | wiki_freq: 7755 - 1502 | sentence_idx: 579691 | align_1: 9-9 | align_2: 10-16 | ner_entity: none-Best Aerobic Pace |    And that to me is B.A.P. – Best Aerobic Pace . ||| Und das ist für mich B.A.P. – Best Aerobic Pace ( das beste aerobe Tempo ) .

Farming Farming | w_freq: 20 - 11 | wiki_freq: 3764 - 221 | sentence_idx: 585939 | align_1: 15-14 | align_2: 16-19 | ner_entity: The Natural Way Of Farming-The Natural Way Of Farming |    Here is a PDF-file of a book by Masanobu Fukuoka , The Natural Way Of Farming , if you want to go deeper into the matter . ) ||| Hier ist eine PDF-Datei eines Buches von Masanobu Fukuoka , The Natural Way Of Farming ( in Englisch ) , falls Sie tiefer in die Sache einsteigen möchten . )

Brahm Vak | w_freq: 1 - 1 | wiki_freq: 572 - 19 | sentence_idx: 589677 | align_1: 1-1 | align_2: 2-6 | ner_entity: Brahm-Vak |    And Brahm was to them the Supreme Being . ||| Und Vak ( das Wort ) war wahrhaftig der höchste Brahma

Kinloss Kinloss | w_freq: 1 - 2 | wiki_freq: 531 - 128 | sentence_idx: 589865 | align_1: 4-4 | align_2: 5-9 | ner_entity: RAF Kinloss-RAF Kinloss |    A third , RAF Kinloss will be closed as an RAF unit in 2013–14 . ||| Ein Drittel , RAF Kinloss ( RAF Kinloss ) wird als eine Einheit von RAF in 2013 - 14 geschlossen .

Dialogue Dialogue | w_freq: 114 - 21 | wiki_freq: 7398 - 462 | sentence_idx: 591004 | align_1: 19-23 | align_2: 20-28 | ner_entity: Euro-Arab Dialogue-Euro-Arab Dialogue |    The institution responsible for this transformation , and that continues to propagate its ideological message , is the Euro-Arab Dialogue , developed by European and Arab politicians and intellectuals over the past thirty years . ||| Die Institution , die für diese Transformation verantwortlich ist , und die damit weitermacht , deren ideologische Botschaft weiterzuverbreiten , ist der Euro-Arab Dialogue ( europäisch-arabischer Dialog ) , der von europäischen und arabischen Politikern und Intellektuellen während der letzten dreißig Jahre entwickelt wurde .

Ishmael Ismael | w_freq: 7 - 8 | wiki_freq: 3118 - 1010 | sentence_idx: 591445 | align_1: 5-3 | align_2: 6-11 | ner_entity: Ishmael-Ismael |    “ You will name him Ishmael , for the Lord has heard of your misery . ” ||| Den solle sie Ismael ( " Gott hört " ) nennen , " denn der HERR hat auf dein Elend gehört . "

Allah Allahs | w_freq: 728 - 112 | wiki_freq: 12189 - 337 | sentence_idx: 593602 | align_1: 7-9 | align_2: 8-13 | ner_entity: Allah-Allahs |    I said , “ Peace , and Allah ’s Mercy be on him . ” ||| Ich hörte wie gesagt wird : ' Die Barmherzigkeit Allahs ( c.c . ) möge auf Ihm sein . '

Bhakti Bhakti | w_freq: 5 - 6 | wiki_freq: 2081 - 204 | sentence_idx: 596470 | align_1: 8-9 | align_2: 9-13 | ner_entity: Bhakti-Bhakti |    As with most things on the path of Bhakti , there are no prescribed rules as to how one should perform rituals , as each person has a unique and different relationship to God . ||| Wie bei den meisten Dingen auf dem Weg des Bhakti , der Hingabe , gibt keine vorgeschriebenen Regeln , wie man Rituale durchführen sollte , da jeder Mensch eine einzigartige und unterschiedliche Beziehung zu Gott hat .

Prompt prompten | w_freq: 6 - 1 | wiki_freq: 412 - 41 | sentence_idx: 608072 | align_1: 9-8 | align_2: 10-13 | ner_entity: Prompt Global Strike-none |    We are closely following the development of the so-called Prompt Global Strike system , which is being actively developed by some countries . ||| Wir verfolgen die Entwicklung des Systems des sogenannten prompten weltweiten Schlages ( Prompt Global Strike System ) sehr genau , das von einigen Ländern aktiv ausgearbeitet wird .

Laden Laden | w_freq: 89 - 348 | wiki_freq: 7412 - 6879 | sentence_idx: 614169 | align_1: 7-5 | align_2: 8-9 | ner_entity: Hamza bin Laden-Hamza bin Laden |    And then I also wanted Hamza bin Laden because he 's a young man , around 30 , looks just like his father . ||| Ich wollte auch Hamza bin Laden [ toeten ] weil er ein junger Mann ist , etwa 30 Jahre alt , er sieht wie sein Vater aus .

Stronger Stärkere | w_freq: 15 - 16 | wiki_freq: 2501 - 281 | sentence_idx: 615041 | align_1: 5-5 | align_2: 6-10 | ner_entity: The Stronger-Das Stärkere |    His notable contribution was The Stronger ( 1889 ) . ||| Sein bemerkenswerter Beitrag war Das Stärkere ( Das Stärkere ) ( 1889 ) .

Scientology Scientology | w_freq: 154 - 143 | wiki_freq: 8705 - 767 | sentence_idx: 621881 | align_1: 7-7 | align_2: 8-13 | ner_entity: Church of Scientology-Scientology |    They work only for the Church of Scientology and have signed billion year contracts . ||| Sie arbeiten nur für die Kirche von Scientology ( Kirche von Scientology ) und haben Milliarde Jahr-Verträge unterzeichnet .

ayatollahs Ayatollahs | w_freq: 9 - 10 | wiki_freq: 47 - 4 | sentence_idx: 622904 | align_1: 4-5 | align_2: 5-10 | ner_entity: none-Ayatollahs |    What about the mad ayatollahs obtaining atomic bombs and annihilating us ? ” ||| Was ist mit den verrückten Ayatollahs , die die Atombomben erhalten und uns vernichten wollen ? “

Salat as-salat | w_freq: 4 - 1 | wiki_freq: 337 - 0 | sentence_idx: 633015 | align_1: 5-4 | align_2: 6-11 | ner_entity: none-as-salat |    Al-Janazah prayer is part of Salat ( prayer ): one of the Five Pillars of Islam . ||| das rituelle Gebet [ as-salat ( ar . ) oder namaz ( pers. ) ] ist einer der Fünf Säulen des Islams .

Kashfi Kashfi | w_freq: 2 - 4 | wiki_freq: 73 - 31 | sentence_idx: 639136 | align_1: 1-1 | align_2: 2-6 | ner_entity: Ja'far Kashfi-Ja'far Kashfi |    Ja'far Kashfi defines " ta'wil " as ' to lead back or to bring something back to its origin or archetype ' . ||| Ja'far Kashfi ( Ja'far Kashfi ) definiert ta'wil als , ' um zurück zu führen oder etwas seinem Ursprung oder Archetyp zurückzubringen ' .

Malawi Malawi | w_freq: 41 - 40 | wiki_freq: 14949 - 2293 | sentence_idx: 640943 | align_1: 7-6 | align_2: 8-11 | ner_entity: Malawi-Malawi |    It is nonsense to say I left Malawi because I was in trouble . ||| Es ist Nonsens , dass ich Malawi verlassen haben soll , weil ich in Schwierigkeiten steckte .

Newmarch Newmarch | w_freq: 1 - 2 | wiki_freq: 223 - 30 | sentence_idx: 643837 | align_1: 13-10 | align_2: 14-15 | ner_entity: Rosa Newmarch-Rosa Newmarch |    In the same year he went to England at the invitation of Rosa Newmarch . ||| In dasselbe Jahr er ging nach England an Einladung Rosa Newmarch ( Rosa Newmarch ) .

Inspiration Inspiration | w_freq: 22 - 428 | wiki_freq: 4566 - 5021 | sentence_idx: 646625 | align_1: 7-6 | align_2: 8-10 | ner_entity: none-Soul And Inspiration |    ( You ’re My ) Soul and Inspiration by The Righteous Brothers ||| ( You're My ) Soul And Inspiration , bekannt geworden durch The Righteous Brothers

Tatmadaw Tatmadaw | w_freq: 2 - 3 | wiki_freq: 822 - 15 | sentence_idx: 648059 | align_1: 24-22 | align_2: 25-28 | ner_entity: Tatmadaw-Tatmadaw |    It has been alleged that the SPDC forcibly recruited children – some as young as 10 – to serve in its army , the Tatmadaw . ||| Es hat gewesen behauptete , dass SPDC gewaltsam Kinder - einige ebenso jung rekrutierte wie 10 - um in seiner Armee , Tatmadaw ( Tatmadaw ) zu dienen .

Win Win | w_freq: 105 - 29 | wiki_freq: 10035 - 912 | sentence_idx: 649344 | align_1: 2-4 | align_2: 3-9 | ner_entity: Ne Win-Ne Win |    During Ne Win 's isolationist rule ( 1962–1988 ) , the city 's infrastructure deteriorated . ||| Während des Generals Ne Win ( Ne Gewinn ) 's isolationistische Regel ( 1962 - 1988 ) verschlechterte sich die Infrastruktur der Stadt .

Trafficking Trafficking | w_freq: 25 - 5 | wiki_freq: 3274 - 70 | sentence_idx: 660117 | align_1: 13-12 | align_2: 14-18 | ner_entity: End Child Prostitution and Trafficking-End Child Prostitution and Trafficking |    We are an active participant of the ECPAT ( End Child Prostitution and Trafficking ) initiative , for which we regularly provide logistics support . ||| Wir beteiligen uns aktiv an der ECPAT [ End Child Prostitution and Trafficking ( Beendigung von Kinderprostitution und Menschenhandel)]-Initiative , bezüglich derer wir regelmäßig logistische Unterstützung erbringen .

Clothes Kleidung | w_freq: 20 - 695 | wiki_freq: 1988 - 14878 | sentence_idx: 661704 | align_1: 16-20 | align_2: 17-25 | ner_entity: Old Clothes-Alte Kleidung |    Also in 1925 she appeared in small roles in the films The Only Thing and Old Clothes . ||| Auch 1925 erschien sie in kleinen Rollen in den Filmen Das Einzige Ding ( Das Einzige Ding ) und Alte Kleidung ( Alte Kleidung ) .

Supper Abendessens | w_freq: 14 - 6 | wiki_freq: 4566 - 163 | sentence_idx: 661978 | align_1: 16-10 | align_2: 17-18 | ner_entity: Lord 's Supper-none |    On the other hand , he denied having defended Wycliffe 's doctrine of the Lord 's Supper , or the forty-five articles ; he had only opposed their summary condemnation . ||| Andererseits , er bestritt , die Doktrin von Wycliffe des Abendessens des Herrn ( Das Abendessen des Herrn ) oder die fünfundvierzig Artikel verteidigt ; er hatte nur ihrer zusammenfassenden Verurteilung entgegengesetzt .

Valposchiavo Valposchiavo | w_freq: 1 - 1 | wiki_freq: 8 - 8 | sentence_idx: 666226 | align_1: 23-21 | align_2: 24-25 | ner_entity: Valposchiavo-Valposchiavo |    One of the most beautiful places in Europe ( yes , that is right ) is a place that hardly anyone knows : Valposchiavo . ||| Einer der schönsten Orte in Europa ( ja , das stimmt ) ist ein Ort , den kaum jemand kennt : Valposchiavo ( Puschlav ) .

