Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?
grido grido | w_freq: 1 - 2 | wiki_freq: 30 - 8 | sentence_idx: 671683 | align_1: 1-1 | align_2: 2-6 | ner_entity: Il grido-Il grido |    Il grido ( The Outcry , 1957 ) was a return to working class stories , depicting a factory worker and his daughter . ||| Il grido ( Il grido ) ( Der Ausruf , 1957 ) war eine Rückkehr zu Arbeitergeschichten , einen Fabrikarbeiter und seine Tochter zeichnend .

Bayesian Bayesian | w_freq: 5 - 3 | wiki_freq: 4003 - 19 | sentence_idx: 685882 | align_1: 17-14 | align_2: 18-19 | ner_entity: Bayesian-Bayesian |    In fact , ( ii ) and ( iii ) do n't provide enough information to use Bayesian reasoning to reach those conclusions . ||| Tatsächlich , ( ii ) und ( iii ) geben genug Auskunft , um Bayesian ( Bayesian ) das Denken zu verwenden , zu jenen Schlüssen zu gelangen .

PACT-ACT PACT-ACT | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 687011 | align_1: 11-10 | align_2: 12-16 | ner_entity: PACT-ACT-PACT-ACT |    If you would like to order some extra snus before the PACT-ACT it could be a good idea to freeze it . ||| Wenn Sie etwas zusätzlichen Snus bestellen möchten , bevor der PACT-ACT in Kraft tritt , könnte es eine gute Idee sein , ihn einzufrieren .

Grattan Grattan | w_freq: 1 - 2 | wiki_freq: 1346 - 101 | sentence_idx: 690868 | align_1: 8-6 | align_2: 9-11 | ner_entity: Henry Grattan-Henry Grattan |    This was similar to the policy of Henry Grattan a century earlier . ||| Das war der Politik von Henry Grattan ( Henry Grattan ) ein Jahrhundert früher ähnlich .

Firon Fir | w_freq: 12 - 20 | wiki_freq: 15 - 125 | sentence_idx: 697164 | align_1: 9-8 | align_2: 10-14 | ner_entity: Firon-none |    And certainly We tried before them the people of Firon , and there ||| Und Wir setzten bereits vor ihnen das Volk Fir ’ auns der Versuchung aus .

Boe Boe | w_freq: 2 - 2 | wiki_freq: 903 - 246 | sentence_idx: 704580 | align_1: 5-3 | align_2: 6-11 | ner_entity: Boe-Boe |    It ’s only present on Boe where he actually needs it ( to Javert : If I had to kill you know I ’d do what must be done ) . ||| Die ist bei Boe nur an den Stellen vorhanden , an denen er sie tatsächlich benötigt ( zu Javert : If I had to kill you know I ’ d do what must be done ) .

panslavic panslavic | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 712205 | align_1: 8-7 | align_2: 9-11 | ner_entity: panslavic-none |    In this period he began to develop his panslavic views . ||| In dieser Periode begann er , seinen panslavic ( Panslavism ) Ansichten zu entwickeln .

Slovakian Slowakisch | w_freq: 17 - 3 | wiki_freq: 1471 - 383 | sentence_idx: 712698 | align_1: 10-10 | align_2: 11-15 | ner_entity: Slovakian-none |    Its key instruments were and are : ASPEKT ( in Slovakian ) and pink and blue world.sk ||| Ihre wichtigsten Instrumente waren und sind : ASPEKT ( in Slowakisch , vereinzelt in Englisch ) and pink and blue world.sk ( in Englisch )

Trefeglwys Neundorf | w_freq: 1 - 1 | wiki_freq: 30 - 579 | sentence_idx: 713578 | align_1: 3-3 | align_2: 4-8 | ner_entity: Trefeglwys-Neundorf |    11 am in Trefeglwys : The sky is likely to stay clear . ||| 11 Uhr in Neundorf ( bei schleiz ) : Der Himmel ist bedeckt .

ayatollahs Ayatollahs | w_freq: 9 - 10 | wiki_freq: 47 - 4 | sentence_idx: 717852 | align_1: 4-5 | align_2: 5-10 | ner_entity: none-Ayatollahs |    What about the mad ayatollahs obtaining atomic bombs and annihilating us ? ” ||| Was ist mit den verrückten Ayatollahs , die die Atombomben erhalten und uns vernichten wollen ? "

Spoorweg-Maatschappij Spoorweg-Maatschappij | w_freq: 1 - 2 | wiki_freq: 98 - 57 | sentence_idx: 722564 | align_1: 22-22 | align_2: 23-28 | ner_entity: Hollandsche IJzeren Spoorweg-Maatschappij-Hollandsche IJzeren Spoorweg-Maatschappij |    The Dutch parliament balked at the high level of investment needed , but a group of private investors started the Hollandsche IJzeren Spoorweg-Maatschappij on 1 June 1836 . ||| Holländisches Parlament schreckte vor dem hohen Niveau der erforderlichen Investition zurück , aber eine Gruppe von privaten Kapitalanlegern fing den Hollandsche IJzeren Spoorweg-Maatschappij ( Hollandsche IJzeren Spoorweg-Maatschappij ) am 1. Juni 1836 an .

Parnassus Parnassus | w_freq: 1 - 2 | wiki_freq: 1111 - 166 | sentence_idx: 722709 | align_1: 6-5 | align_2: 7-10 | ner_entity: The Parnassus-Parnassus |    Among prints of the paintings The Parnassus ( with considerable differences ) and Galatea were also especially well-known . ||| Unter Drucken der Bilder Der Parnassus ( Der Parnassus ) ( mit beträchtlichen Unterschieden ) und Galatea waren auch besonders wohl bekannt .

ESF ESF | w_freq: 36 - 23 | wiki_freq: 696 - 246 | sentence_idx: 730012 | align_1: 12-14 | align_2: 13-19 | ner_entity: ESF-ESF |    It also serves as a forum for discussing issues relevant to the ESF between stakeholders in the different countries . ||| Er dient auch als Forum für die Erörterung von Fragen , die für den ESF von Bedeutung sind , zwischen den Akteuren in den verschiedenen Ländern .

Belzec Belzec | w_freq: 4 - 4 | wiki_freq: 381 - 375 | sentence_idx: 730355 | align_1: 18-17 | align_2: 19-25 | ner_entity: Belzec-Belzec |    This fact is amply sufficient to shatter the official version according to which less than ten Jews survived Belzec . ||| Diese Tatsache reicht bereits völlig aus , um der offiziellen Version , wonach weniger als zehn Juden Belzec überlebt haben , den Todesstoss zu versetzen .

Crowell Crowell | w_freq: 2 - 2 | wiki_freq: 2258 - 169 | sentence_idx: 730783 | align_1: 2-2 | align_2: 3-6 | ner_entity: Crowell-Crowell |    I informed Crowell I was ready to send him copies of those photos . ||| Ich teilte Crowell mit , daß ich bereit sei , ihm Kopien dieser Fotos zuzusenden .

Kashfi Kashfi | w_freq: 2 - 4 | wiki_freq: 73 - 31 | sentence_idx: 731163 | align_1: 1-1 | align_2: 2-6 | ner_entity: Ja’far Kashfi-Ja'far Kashfi |    Ja’far Kashfi defines ta’wil as ‘ to lead back or to bring something back to its origin or archetype ’ . ||| Ja'far Kashfi ( Ja'far Kashfi ) definiert ta'wil als , ' um zurück zu führen oder etwas seinem Ursprung oder Archetyp zurückzubringen ' .

Bibi Bibi | w_freq: 54 - 53 | wiki_freq: 3206 - 1057 | sentence_idx: 732192 | align_1: 14-15 | align_2: 15-20 | ner_entity: Bibi-Bibi |    And the Americans have sent emissaries , including Secretary Leon Panetta , to tell Bibi we oppose an Israeli attack . ||| Und die Amerikaner haben Abgesandte , darunter auch Sekretär Leon Panetta , geschickt , um Bibi zu sagen , dass wir gegen einen israelischen Angriff sind .

EFF EFF | w_freq: 17 - 18 | wiki_freq: 1325 - 150 | sentence_idx: 732876 | align_1: 13-13 | align_2: 14-17 | ner_entity: EFF-EFF |    Disastrous IP Legislation Is Back – And It 's Worse than Ever ( EFF ) ||| WEB Katastrophales IP-Gesetz ist zurück – Und es ist schlimmer denn je ( EFF , auf Englisch )

pellepelle-europe.com pellepelle-europe.com | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 733280 | align_1: 4-4 | align_2: 5-10 | ner_entity: pellepelle-europe.com-pellepelle-europe.com |    Some information provided to pellepelle-europe.com is disclosed to our partners in the following cases : ||| Einige Daten , die pellepelle-europe.com zur Verfügung gestellt werden , können unseren Partnern in den folgenden Fällen offengelegt werden :

Edigram Edigram | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 737377 | align_1: 23-21 | align_2: 24-26 | ner_entity: Edigram-Edigram |    This led to the development of a form of communication that is a hybrid between a telegram and an email , namely the Edigram . ||| Das führte zur Entwicklung einer Form der Kommunikation , die eine Hybride zwischen einem Telegramm und einer E-Mail , nämlich der Edigram ( Edigram ) ist .

MRAs MRAs | w_freq: 2 - 2 | wiki_freq: 48 - 3 | sentence_idx: 737913 | align_1: 8-9 | align_2: 9-16 | ner_entity: MRAs-MRAs |    “ Men ’s right ’s activists ” ( MRAs ) claim that family law and social institutions discriminate against men . ||| Die " Men ’s Right ’s Activists " ( MRAs , auf Deutsch " Männerrecht-Aktivisten " ) behaupten , dass Familienrecht und soziale Institutionen Männer diskriminieren .

WTO WTO | w_freq: 163 - 96 | wiki_freq: 3840 - 870 | sentence_idx: 743334 | align_1: 6-6 | align_2: 7-12 | ner_entity: WTO-WTO |    The last ministerial conference of the WTO , held in Bali / Indonesia in December 2013 , had been overshadowed by a controversy over food security between a group of 33 developing countries ( G33 ) and industrialized countries . ||| Einführung Die letzte Ministerkonferenz der Welthandelsorganisation WTO ( World Trade Organisation ) , die im Dezember 2013 in Bali / Indonesien stattfand , wurde durch einen Streit über Ernährungssicherheit zwischen einer Gruppe von 33 Entwicklungsländern ( G33 ) und Industriestaaten überschattet .

Alamin Alamin | w_freq: 1 - 1 | wiki_freq: 41 - 0 | sentence_idx: 751464 | align_1: 15-11 | align_2: 16-17 | ner_entity: Alamin-none |    We recite them to you in truth , and Allah wills no injustice to the Alamin . ||| Sie umfassen die Wahrheit und Allah will keine Ungerechtigkeit für die Alamin ( Menschheit und Dschinn ) .

RPA RPA | w_freq: 29 - 19 | wiki_freq: 1024 - 126 | sentence_idx: 752834 | align_1: 11-8 | align_2: 12-13 | ner_entity: Hmong RPA-Hmong RPA |    Tone letters may also be used , for example in Hmong RPA and several minority languages in China . ||| Ton-Briefe können auch , zum Beispiel in Hmong RPA ( Hmong RPA ) und mehrere Minderheitssprachen in China verwendet werden .

Mi’kmaq Mi'kmaq | w_freq: 1 - 2 | wiki_freq: 377 - 206 | sentence_idx: 766279 | align_1: 5-5 | align_2: 6-10 | ner_entity: Mi’kmaq-none |    Their allies , the native Mi’kmaq nation , kept careful watch over their possessions , though . ||| Ihre Verbündeten , der Eingeborene Mi'kmaq ( Mi'kmaq Leute ) Nation , behielten sorgfältige Bewachung über ihre Besitzungen , dennoch .

thailand thailand | w_freq: 3 - 46 | wiki_freq: 90 - 0 | sentence_idx: 767943 | align_1: 4-5 | align_2: 5-10 | ner_entity: thailand-thailand |    Plan your holiday to thailand saving money , have more fun , and meet the right thai girls for you . ||| Planen sie ihren urlaub in thailand , indem sie geld sparen , mehr spaß haben und die richtigen thai-mädchen für sie treffen .

Kitase-san Kitase-san | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 771240 | align_1: 19-22 | align_2: 20-27 | ner_entity: Kitase-san-Kitase-san |    Our research and development department worked with them on its launch , and I joined the crew after producer Kitase-san called me . ||| Unsere Forschungs- und Entwicklungsabteilung arbeitete mit ihnen an der Fertigstellung , und ich schloss mich dem Team an , nachdem ich von Kitase-san , dem Produzenten , gerufen wurde .

SmartMe smartme | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 771350 | align_1: 9-8 | align_2: 10-13 | ner_entity: SmartMe-none |    Puliafito , 51 , calls this two-year prototype effort SmartMe . ||| Puliafito , 51 , nennt diese zweijährige prototyp-anstrengung smartme ( ausgesprochen smartmay ) .

Chifley Chifley | w_freq: 1 - 2 | wiki_freq: 958 - 84 | sentence_idx: 774227 | align_1: 15-18 | align_2: 16-23 | ner_entity: Ben Chifley-Ben Chifley |    But Labor was firmly entrenched in power and in 1946 Curtin 's successor , Ben Chifley , was comfortably re-elected . ||| Aber Arbeit wurde in der Macht fest verschanzt , und 1946 wurde der Nachfolger von Curtin , Ben Chifley ( Ben Chifley ) , bequem wiedergewählt .

Kamara Kamara | w_freq: 1 - 2 | wiki_freq: 1597 - 313 | sentence_idx: 774270 | align_1: 1-1 | align_2: 2-6 | ner_entity: Ait Kamara-Ait Kamara |    Ait Kamara is destroyed ; 517 are killed . ||| Ait Kamara ( Ait Kamara ) wird zerstört ; 517 werden getötet .

Sadness Sadness | w_freq: 8 - 1 | wiki_freq: 939 - 206 | sentence_idx: 774919 | align_1: 7-7 | align_2: 8-16 | ner_entity: The Other Side of Sadness-The Other Side of Sadness |    In his book The Other Side of Sadness he describes how people in China deal with the death of a family member . ||| In seinem Buch The Other Side of Sadness ( die andere Seite der Traurigkeit ) beschreibt er , wie Menschen in China mit dem Tod eines Familienmitglieds umgehen .

Syrians Syrer | w_freq: 93 - 71 | wiki_freq: 3109 - 837 | sentence_idx: 778019 | align_1: 3-3 | align_2: 4-7 | ner_entity: Syrians-none |    The five million Syrians now in Turkey , Lebanon , and Jordan are the latest and most dramatic example of this pattern . ||| Die fünf Millionen Syrer , die sich jetzt in der Türkei , im Libanon und in Jordanien aufhalten , sind das letzte und dramatischste Beispiel für dieses Muster .

Antón Antón | w_freq: 2 - 3 | wiki_freq: 1017 - 280 | sentence_idx: 781247 | align_1: 9-8 | align_2: 10-13 | ner_entity: San Antón-San Antón |    The area would later receive the name of San Antón , a historically important part of modern Ponce . ||| Das Gebiet würde später den Namen von San Antón ( San Antón ) , ein historisch wichtiger Teil von modernem Ponce erhalten .

Scare Panik | w_freq: 8 - 197 | wiki_freq: 1703 - 3543 | sentence_idx: 785463 | align_1: 13-13 | align_2: 14-20 | ner_entity: Second Red Scare-Zweite Rote Panik |    This period , up to 1957 , is known as the Second Red Scare . ||| Diese Periode , bis zu 1957 , ist bekannt als die Zweite Rote Panik ( Die zweite Rote Panik ) .

Gisors Gisors | w_freq: 1 - 2 | wiki_freq: 254 - 290 | sentence_idx: 787950 | align_1: 12-15 | align_2: 13-20 | ner_entity: Gisors-Gisors |    Henry offered to negotiate with his sons , but these discussions at Gisors soon broke down . ||| Henry erklärte sich bereit , mit seinen Söhnen zu verhandeln , aber diese Diskussionen an Gisors ( Gisors ) brachen bald zusammen .

LAMB=29 LAMB=29 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 804587 | align_1: 6-6 | align_2: 7-11 | ner_entity: none-A LAMB=29 |    This number 29 stands for A LAMB=29 . ||| Diese Zahl 29 steht für A LAMB=29 ( Ein Lamm ) .

Medicare+Choice Medicare+Choice | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 807474 | align_1: 6-5 | align_2: 7-11 | ner_entity: Medicare+Choice-Medicare+Choice |    These programs were known as “ Medicare+Choice ” or “ Part C ” plans . ||| Diese Programme waren als " Medicare+Choice ( Gesundheitsfürsorge + Wahl ) " oder Pläne " des Teils C " bekannt .

Lhamo Lhamo | w_freq: 1 - 1 | wiki_freq: 427 - 66 | sentence_idx: 812418 | align_1: 15-8 | align_2: 16-14 | ner_entity: Palden Lhamo-Palden Lhamo |    Along with giving us your signatures , you must all swear in front of Palden Lhamo and the Three Jewels that you will not worship the Deity . " ||| Zusammen mit euren Unterschriften müsst ihr vor Palden Lhamo [ einer anderen Gottheit ] und den drei Juwelen schwören , dass ihr die Gottheit nicht verehrt . “

Bourdon Bourdon | w_freq: 3 - 4 | wiki_freq: 873 - 396 | sentence_idx: 816553 | align_1: 38-38 | align_2: 39-43 | ner_entity: William Bourdon-William Bourdon |    ( The Court of Appeal upheld a sentence of nine years on 3 January 2010 in a trial that " confirmed the complete absence of independence of the Tunisian legal system " the defendant 's French lawyer William Bourdon said . ) ||| ( Das Berufungsgericht hielt einen Satz von neun Jahren am 3. Januar 2010 in einer Probe hoch , die " bestätigte , dass die ganze Abwesenheit der Unabhängigkeit des tunesischen Rechtssystems " der französische Rechtsanwalt des Angeklagten William Bourdon ( William Bourdon ) sagte . )

AfDB AfDB | w_freq: 4 - 3 | wiki_freq: 308 - 20 | sentence_idx: 818606 | align_1: 6-5 | align_2: 7-10 | ner_entity: AfDB-AfDB |    Although the African Development Bank ( AfDB ) hopes to create 25 million new jobswithin a decade through its Jobs for Youth in Africa initiative , it is not immediately clear where those opportunities will come from . ||| Obwohl die Afrikanische Entwicklungsbank ( AfDB , African Development Bank ) hofft , mit ihrer Initiative zur Schaffung von Arbeitsplätzen für Jugendliche innerhalb eines Jahrzehnts 25 Millionen neue Jobs zu schaffen , ist nicht wirklich klar , woher diese Möglichkeiten kommen sollen .

Miracles Miracles | w_freq: 31 - 3 | wiki_freq: 4337 - 227 | sentence_idx: 820183 | align_1: 10-9 | align_2: 11-20 | ner_entity: The Course in Miracles-The Course in Miracles |    I have given written messages like “ The Course in Miracles , ” but we find it is overly complex and detailed for most people . ||| Ich habe schriftliche Botschaften wie " The Course in Miracles " ( „ Ein Kurs in Wundern “ ) gegeben , aber wir finden , dass sie für die meisten Leute zu komplex und detailliert sind .

ISRAEL21c Israel21c | w_freq: 2 - 2 | wiki_freq: 8 - 0 | sentence_idx: 821545 | align_1: 2-2 | align_2: 3-7 | ner_entity: ISRAEL21c-Israel21c |    Jangzapali tells ISRAEL21c he is deeply grateful for the Abraham family ’s generosity . ||| Jangzapali erklärte Israel21c gegenüber , wie dankbar er für die Großzügigkeit der Familie von Abraham sei .

ECR ECR-Fraktion | w_freq: 6 - 1 | wiki_freq: 1317 - 9 | sentence_idx: 823823 | align_1: 1-6 | align_2: 2-13 | ner_entity: ECR Group-none |    The ECR Group fully supports Icelandic accession to the European Union , although the decision is firmly a matter for Icelanders alone in a referendum . ||| Charles Tannock , im Namen der ECR-Fraktion . – Herr Präsident , die EKR-Fraktion unterstützt uneingeschränkt den Beitritt Islands zur Europäischen Union , obwohl die Entscheidung sicherlich in einem Referendum alleine bei den Isländern liegt .

Tashy Tashy | w_freq: 1 - 1 | wiki_freq: 10 - 0 | sentence_idx: 837603 | align_1: 1-1 | align_2: 2-5 | ner_entity: Tashy-Tashy |    Oh Tashy , it ’s so easy to sing , ' I ’ll go where you want me to go ' , but what if that means He wants a little girl to become GYC president ? ||| Mensch Tashy [ Natasha ] , es singt sich so einfach : ›I'll go where you want me to go.‹ Doch was , wenn das bedeutet , dass ein kleines Mädchen GYC-Präsidentin wird ?

Knew Knew | w_freq: 24 - 9 | wiki_freq: 2779 - 292 | sentence_idx: 843089 | align_1: 5-6 | align_2: 6-10 | ner_entity: If You Only Knew-If You Only Knew |    2009 : If You Only Knew directed by Mason Dixon ||| 2009 : „ If You Only Knew “ unter der Regie von Mason Dixon

Midian Midians | w_freq: 7 - 1 | wiki_freq: 333 - 4 | sentence_idx: 850225 | align_1: 39-37 | align_2: 40-45 | ner_entity: Midian-Midians |    And if they reject thee , already before them did the people of Noah and ‘ Ad and Thamud reject ( prophets ) , And the people of Abraham and the people of Lot , And the dwellers of Midian . ||| Und wenn sie dich der Lüge zeihen , so hat schon vor ihnen das Volk Noahs und Ads und Thamuds ( 43. ) und das Volk Abrahams und das Volk Lots ( 44. ) und die Bewohner Midians ( ihre Propheten ) der Lüge geziehen .

ARG arg | w_freq: 3 - 7 | wiki_freq: 904 - 828 | sentence_idx: 850974 | align_1: 12-10 | align_2: 13-15 | ner_entity: ARG-none |    This did n't stop them from creating the most extensive and insane ARG ever made . ||| Dies hinderte sie nicht daran , das umfangreichste und wahnsinnigste arg zu kreieren , das jemals gemacht wurde .

Laycock Laycock | w_freq: 2 - 3 | wiki_freq: 1183 - 91 | sentence_idx: 852185 | align_1: 8-10 | align_2: 9-15 | ner_entity: John Laycock-John Laycock |    Upon his return , Lee worked in John Laycock ’s law firm for $ 500 per month . ||| Nach seiner Rückkehr arbeitete Lee in der Anwaltskanzlei von John Laycock ( John Laycock ) 's für 500 $ pro Monat .

Pallant Pallant | w_freq: 1 - 1 | wiki_freq: 159 - 45 | sentence_idx: 855073 | align_1: 0-0 | align_2: 1-4 | ner_entity: Pallant-Pallant |    Pallant sees five basic ingredients of a conclusion as follows , though these will not always be used in the same conclusion . : ||| Pallant ( 2009 ) sieht fünf grundlegende Zutaten einer Schlussfolgerung wie folgt , obwohl diese nicht immer in der gleichen Schlussfolgerung verwendet werden :

Tierschutz Tierschutz | w_freq: 2 - 33 | wiki_freq: 18 - 1423 | sentence_idx: 866406 | align_1: 25-21 | align_2: 26-25 | ner_entity: Soko Tierschutz-Soko Tierschutz |    His decision was driven by failures in support from his institution and others in the aftermath of a campaign by the German animal group Soko Tierschutz . ||| Ausschlaggebend für seine Entscheidung waren Misserfolge bei der Unterstützung durch seine Institution und andere nach einer Kampagne der deutschen Tierrechtsgruppe Soko Tierschutz ( SOKO ) .

Lampedusa Lampedusa | w_freq: 27 - 26 | wiki_freq: 524 - 485 | sentence_idx: 872267 | align_1: 9-10 | align_2: 10-14 | ner_entity: Lampedusa-Lampedusa |    We currently have 100 activists from 20 countries on Lampedusa monitoring how many people die every year . ||| Wir sind momentan mit 100 Aktivisten aus 20 Ländern auf Lampedusa , um darauf hinzuweisen , wie viele Menschen jedes Jahr sterben .

HGH HGH | w_freq: 41 - 38 | wiki_freq: 293 - 39 | sentence_idx: 873804 | align_1: 11-15 | align_2: 12-20 | ner_entity: HGH-none |    Remember many athletes spend thousands of dollars every month to inject HGH to improve their performance . ||| Denken Sie daran , dass viele Athleten tausende Dollar jeden Monat ausgeben , um sich HGH spritzen zu lassen , um ihre Leistung zu verbessern .

Verdonk Verdonk | w_freq: 1 - 1 | wiki_freq: 280 - 112 | sentence_idx: 878596 | align_1: 8-5 | align_2: 9-10 | ner_entity: Verdonk-Verdonk |    All of the methods of correction disclosed by Verdonk can be adapted for the present invention . ||| Alle Korrekturverfahren , die von Verdonk offenbart worden sind , können für die vorliegende Erfindung angepaßt werden .

Steinem Steinem | w_freq: 4 - 5 | wiki_freq: 866 - 88 | sentence_idx: 880253 | align_1: 6-5 | align_2: 7-10 | ner_entity: Gloria Steinem-Gloria Steinem |    As she told the writer Gloria Steinem during the 1968 presidential campaign , " I never had time to think about things like that—who I wanted to be , or who I admired , or to have ideas . ||| Als sie erzählte Schriftsteller Gloria Steinem ( Gloria Steinem ) während 1968 Präsidentenkampagne , " Ich hatte nie Zeit , um an Dinge wie das zu denken - wen ich zu wollte sein , oder wen ich bewunderte , oder Ideen zu haben .

Melfi Melfi | w_freq: 3 - 2 | wiki_freq: 852 - 275 | sentence_idx: 884295 | align_1: 6-6 | align_2: 7-12 | ner_entity: Constitutions of Melfi-Melfi |    He also issued the Constitutions of Melfi ( August 1231 ) , as an attempt to solve the political and administrative problems of the country , which had dramatically been shown by the recent war . ||| Er gab auch die Verfassungen von Melfi ( Verfassungen von Melfi ) ( August 1231 ) als ein Versuch aus , die politischen und administrativen Probleme des Landes zu beheben , das durch den neuen Krieg drastisch gezeigt worden war .

Iblìs Iblis | w_freq: 1 - 5 | wiki_freq: 0 - 211 | sentence_idx: 884652 | align_1: 12-11 | align_2: 13-15 | ner_entity: Iblìs-Iblis |    So she was turned out of Paradise , and , consorting with Iblìs , became the mother of devils . ||| So wurde sie aus dem Paradies verwiesen und , zusammen mit Iblis ( Satan ) , zur Mutter der Teufel .

Petition Petition | w_freq: 17 - 131 | wiki_freq: 1993 - 4214 | sentence_idx: 891163 | align_1: 5-8 | align_2: 6-13 | ner_entity: none-Petition |    The problems I portrayed in Petition are big problems facing Chinese society , problems that will have to be solved in the near future . ||| Die Probleme , die ich im Film “ Petition ” gezeigt habe , sind große Probleme der chinesischen Gesellschaft , die in der näheren Zukunft gelöst werden müssen .

Pantocrator Pantokrator | w_freq: 1 - 1 | wiki_freq: 263 - 258 | sentence_idx: 892670 | align_1: 12-15 | align_2: 13-19 | ner_entity: Pantocrator-none |    The Son , who made himself Servant , is Lord , the Pantocrator . ||| Der Sohn , der sich zum Diener gemacht hat , ist der Herr , der Pantokrator ( Allherrscher ) .

Yugoslavs Jugoslawen | w_freq: 4 - 5 | wiki_freq: 821 - 1384 | sentence_idx: 895355 | align_1: 11-14 | align_2: 12-19 | ner_entity: Yugoslavs-none |    People who identify with the former Yugoslav state may self-identify as Yugoslavs . ||| Leute , die sich mit dem ehemaligen jugoslawischen Staat identifizieren , können sich als Jugoslawen ( Jugoslawen ) selbstidentifizieren .

shit Sch | w_freq: 131 - 8 | wiki_freq: 4782 - 324 | sentence_idx: 897666 | align_1: 6-6 | align_2: 7-11 | ner_entity: none-Sch |    15 solid seconds of ' holy shit this is happening . " ||| 15 lange Sekunden von ‚ heilige Sch * * * , das passiert hier gerade wirklich ‘ . “

Sondland Sondland | w_freq: 1 - 1 | wiki_freq: 245 - 86 | sentence_idx: 907971 | align_1: 7-8 | align_2: 8-13 | ner_entity: Sondland-Sondland |    " This alleged discussion recalled by Ambassador Sondland never happened . " ||| " Diese angebliche Diskussion , die von Botschafter Sondland angeführt wurde , fand nie statt " .

Gable Gable | w_freq: 4 - 5 | wiki_freq: 3539 - 705 | sentence_idx: 921230 | align_1: 24-26 | align_2: 25-31 | ner_entity: Clark Gable-Clark Gable |    He became active in both society and politics , but Crawford was far more interested in her career and had an affair with Clark Gable . ||| Er wurde aktiv sowohl in der Gesellschaft als auch in Politik , aber Crawford interessierte sich viel mehr für ihre Karriere und hatte Angelegenheit mit Clark Gable ( Clark Gable ) .

Kristof Kristof | w_freq: 5 - 6 | wiki_freq: 793 - 293 | sentence_idx: 923549 | align_1: 5-6 | align_2: 6-12 | ner_entity: Kristof-Kristof |    In another essay by Mr. Kristof called “ Do You Care More About a Dog Than a Refugee ? ” ||| In einem anderen Essay von Herrn Kristof , der sich mit dem Titel " Kümmertest du dich mehr um einen Hund als ein Flüchtling ? "

Q60:10 Kafir | w_freq: 1 - 5 | wiki_freq: 0 - 27 | sentence_idx: 928846 | align_1: 0-3 | align_2: 1-12 | ner_entity: none-Kafir |    Q60:10 When believing women come to you , test their faith . ||| 8 Scheidung vom Kafir 60:10. O ihr , die ihr glaubt , wenn gläubige Frauen als Flüchtlinge zu euch kommen , so prüft sie .

cp1160 CP1160 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 933721 | align_1: 8-5 | align_2: 9-10 | ner_entity: none-CP1160 |    The first thing that strikes you about the cp1160 is its size . ||| Das Erste , was am CP1160 ins Auge fällt , ist seine Größe .

Jaisalmer Jaisalmer | w_freq: 2 - 3 | wiki_freq: 842 - 88 | sentence_idx: 935922 | align_1: 8-8 | align_2: 9-13 | ner_entity: Jaisalmer-Jaisalmer |    There are two other airports in Kota and Jaisalmer , but are not open for commercial / civilian flights . ||| Es gibt zwei andere Flughäfen in Kota und Jaisalmer ( Jaisalmer Flughafen ) , aber ist für kommerzielle / zivile Flüge noch nicht offen .

Shasta Shasta | w_freq: 6 - 6 | wiki_freq: 3347 - 288 | sentence_idx: 939811 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Shasta |    Shasta to see if the Lord would show or tell me more of what was going to happen . ||| Shasta zu gehen , um zu sehen , ob der Herr mir mehr darüber zeigen oder sagen würde , was geschehen würde .

Sticks Sticks | w_freq: 3 - 4 | wiki_freq: 2140 - 337 | sentence_idx: 940447 | align_1: 9-7 | align_2: 10-11 | ner_entity: Talking Sticks-none |    One of these is the promotion of using Talking Sticks which he apparently introduces as more or less generically indigenous . ||| Eines davon ist der Einsatz von Talking Sticks bzw. Redestäben , die er offenbar als mehr oder weniger generisch indigen einführt .

Blueprint Blueprint | w_freq: 15 - 16 | wiki_freq: 1688 - 194 | sentence_idx: 943807 | align_1: 9-7 | align_2: 10-12 | ner_entity: Blueprint-Blueprint |    That 's why , in 2015 , we launched Blueprint – a free global education and certification programme , available in 15 languages . ||| Deshalb haben wir 2015 das Projekt „ Blueprint “ ins Leben gerufen – ein kostenloses und globales Bildungs- und Zertifizierungsprogramm , das in 15 Sprachen verfügbar ist .

